Thời gian,Tiêu đề,URL,Nội dung,positive,neutral,negative
2025-09-23 08:13:00,Ông Donald Trump tuyên bố áp 100.000 USD cho visa H-1B: FPT bị ảnh hưởng ra sao?,https://cafef.vn/ong-donald-trump-tuyen-bo-ap-100000-usd-cho-visa-h1b-fpt-bi-anh-huong-ra-sao-188250923081306045.chn,"Theo FPT, hiện tại công ty có vài chục nhân viên tại chỗ ở Mỹ theo thị thực H-1B (chiếm ~6% tổng số nhân viên tại chỗ ở Mỹ của FPT và chiếm chưa đến 0,2% tổng số nhân viên của Công ty TNHH Phần mềm FPT - FPT Software).
Tổng thống Mỹ Donald Trump tuyên bố áp dụng mức phí một lần là 100.000 USD cho những người xin thị thực H-1B mới. Biện pháp này không áp dụng cho những người gia hạn visa hoặc đang sở hữu thị thực, và sẽ có hiệu lực bắt đầu từ chu kỳ tiếp theo, ngoại trừ những người được cấp visa trong chu kỳ 2025.
Chương trình H-1B cho phép các công ty Mỹ bảo lãnh cho người lao động nước ngoài có kỹ năng chuyên môn như nhà khoa học, kỹ sư và lập trình viên máy tính làm việc tại Mỹ trong ba năm, có thể gia hạn thêm 3 năm nữa.
Trước khi có thông báo mới này, mức phí thị thực H-1B dao động từ khoảng 2.000 đến 5.000 USD tùy thuộc vào quy mô của nhà tuyển dụng và các chi phí liên quan.
Visa H-1B là loại thị thực không định cư, được chính phủ Mỹ thiết kế nhằm thu hút lao động có trình độ chuyên môn cao trong các lĩnh vực đòi hỏi kỹ năng đặc biệt. Các ngành công nghệ thông tin, kỹ thuật, y khoa, tài chính và nghiên cứu khoa học là những nơi tập trung nhiều nhất số lao động H-1B.
Theo CTCK Vietcap, việc tăng phí mạnh như vậy có thể gây ra những thách thức cho việc sắp xếp nguồn nhân lực và làm tăng nhẹ chi phí lao động cho các công ty dịch vụ CNTT hoạt động tại Mỹ, bao gồm FPT và các công ty Ấn Độ.
Theo FPT, hiện tại công ty có vài chục nhân viên tại chỗ ở Mỹ theo thị thực H-1B (chiếm ~6% tổng số nhân viên tại chỗ ở Mỹ của FPT và chiếm chưa đến 0,2% tổng số nhân viên của Công ty TNHH Phần mềm FPT - FPT Software).
Ngoài ra, vì quy định mới chỉ áp dụng cho các ứng viên H-1B mới, FPT dự kiến tác động sẽ không đáng kể.
""Chúng tôi cho rằng tác động tiêu cực lớn hơn có thể sẽ rơi vào các nhà cung cấp dịch vụ CNTT của Ấn Độ do doanh thu của họ tập trung nhiều hơn vào thị trường Mỹ và số lượng nhân viên tại chỗ lớn hơn tại Mỹ theo diện thị thực H-1B (trung bình 1% tổng số nhân viên của các công ty dịch vụ CNTT của Ấn Độ, theo tính toán của chúng tôi)"" - báo cáo viết.
Vietcap cũng lưu ý rằng các công ty dịch vụ CNTT thường sử dụng mô hình cung cấp dịch vụ “bestshore”, kết hợp các nhóm nhân sự tại chỗ (onsite), gần quốc gia sở tại (nearshore) và ngoài quốc gia sở tại (offshore).
Quy định mới chủ yếu có thể làm tăng chi phí lao động đối với nhân viên tại chỗ mới tại Mỹ (những người quản lý mối quan hệ với khách hàng và giám sát việc cung cấp dịch vụ), trong khi chi phí lao động cho nhân viên tại chỗ hiện tại sẽ không thay đổi.
Ngoài ra, các chuyên gia tin rằng các nhóm gần quốc gia sở tại (chủ yếu ở Mỹ Latinh, chịu trách nhiệm phát triển và kiểm thử dự án và hợp tác với nhóm tại chỗ) và các nhóm ngoài quốc gia sở tại (ở nước nhà, chịu trách nhiệm phát triển và kiểm thử dự án) sẽ không bị ảnh hưởng.",,,
2025-09-18 11:22:00,"FPT hoàn thành tăng vốn điều lệ lên hơn 17 nghìn tỷ đồng, cổ đông nước ngoài nắm 41%",https://cafef.vn/fpt-hoan-thanh-tang-von-dieu-le-len-hon-17-nghin-ty-dong-co-dong-nuoc-ngoai-nam-41-188250918112232235.chn,"Nguồn vốn ngân sách nhà nước đang nắm giữ 5,7% vốn điều lệ tại FPT.
Công ty Cổ phần FPT (FPT Corporation) vừa có công bố thay đổi nội dung đăng ký doanh nghiệp, trong đó có việc tăng vốn điều lệ từ 14.813 tỷ đồng lên 17.035 tỷ đồng.
Trước đó, từ tháng 7, FPT đã thông báo phát hành cổ phiếu để tăng vốn từ nguồn vốn chủ sở hữu. Tỷ lệ thực hiện quyền là 20:3 (15%), tương ứng cổ đông sở hữu 20 cổ phiếu được nhận 3 cổ phiếu mới. Với hơn 1,48 tỷ cổ phiếu đang lưu hành; dự kiến FPT phát hành thêm hơn 222 triệu cổ phiếu mới.
Nguồn vốn phát hành từ lợi nhuận sau thuế chưa phân phối thuộc nguồn vốn chủ sở hữu tại thời điểm 31/12/2024 trên Báo cáo tài chính công ty mẹ năm 2024 đã được kiểm toán.
Sau thay đổi, vốn điều lệ của FPT tương đương 1,7 tỷ cổ phiếu, với vốn nước ngoài nắm giữ 41%, tư nhân 53,4%, và nguồn vốn ngân sách nhà nước 5,7%.
Liên quan đến hoạt động kinh doanh, trong nửa đầu năm 2025, FPT ghi nhận doanh thu 32.683 tỷ đồng, lợi nhuận trước thuế 6.166 tỷ đồng, lần lượt tăng 11,4% và 18,5% so với cùng kỳ năm ngoái. Lợi nhuận sau thuế cho cổ đông công ty mẹ đạt 4.432 tỷ đồng, tăng trưởng 20,7%, EPS (Earning Per Share) đạt 3.007 đồng/cổ phiếu, tăng trưởng 19,6% so với năm trước.
Khối Công nghệ (bao gồm Dịch vụ công nghệ thông tin trong nước và Dịch vụ công nghệ thông tin nước ngoài) tiếp tục giữ vai trò chủ chốt, đóng góp 61% doanh thu và 46% lợi nhuận trước thuế của toàn Tập đoàn, tương đương 20.128 tỷ đồng và 2.834 tỷ đồng, tăng trưởng lần lượt 11,3% và 15,4% so với cùng kỳ năm trước.
Dịch vụ Viễn thông ghi nhận doanh thu đạt 9.030 tỷ đồng, tăng trưởng 13,4% và lợi nhuận trước thuế đạt 2.017 tỷ đồng, tăng 18,9%.
Khối Giáo dục của FPT ghi nhận doanh thu tăng trưởng 3,3% so với cùng kỳ năm ngoái, đạt 3.537 tỷ đồng.",,,
2025-09-16 17:30:00,Tập đoàn công nghệ hàng đầu Việt Nam vừa có bản hợp đồng giá trị lớn nhất lịch sử 37 năm hoạt động,https://cafef.vn/tap-doan-cong-nghe-hang-dau-viet-nam-vua-co-ban-hop-dong-gia-tri-lon-nhat-lich-su-37-nam-hoat-dong-188250916163749126.chn,"Trước đó, doanh nghiệp này cũng đã ký nhiều hợp đồng quy mô lớn hàng trăm triệu USD.
Tập đoàn FPT là công ty tiên phong chuyển đổi số và dẫn đầu về tư vấn, cung cấp, triển khai các dịch vụ, giải pháp công nghệ - viễn thông tại Việt Nam. Doanh nghiệp này cũng là một trong những tập đoàn công nghệ hàng đầu Việt Nam.
Thông tin từ FPT cho hay, doanh nghiệp này trở thành đối tác chiến lược triển khai hợp đồng 5 năm trị giá 256 triệu USD cho tập đoàn năng lượng hàng đầu châu Á. Hợp đồng này đánh dấu bước tiến mới của FPT trong lĩnh vực chuyển đổi số toàn diện ứng dụng AI. Đây cũng là hợp đồng có giá trị lớn nhất trong lịch sử 37 năm của FPT.
Theo đó, với chuyên môn sâu trong lĩnh vực năng lượng và đội ngũ chuyên gia AI, công nghệ, FPT sẽ cung cấp hệ sinh thái dịch vụ chuyển đổi số toàn diện tích hợp AI cho tập đoàn năng lượng hàng đầu châu Á nhằm thúc đẩy đổi mới sáng tạo và tối ưu vận hành. Các sản phẩm dịch vụ FPT cung cấp cho khách hàng gồm phát triển phần mềm tùy chỉnh, kỹ thuật dữ liệu, di động, điện toán đám mây….
Là đối tác chiến lược, FPT sẽ quản lý triển khai, quản lý dự án, sản phẩm, quản lý thay đổi, khoa học dữ liệu và thiết kế cho người dùng cuối, đồng thời đảm nhận trọn vẹn các khâu từ phân tích yêu cầu, thiết kế giải pháp, phát triển, kiểm thử, triển khai, hỗ trợ cho đến tài liệu hóa.
FPT cam kết bảo đảm quy trình luôn được tối ưu hóa và tự động hóa, đi kèm hệ thống chỉ số đo lường chặt chẽ, đồng thời tuân thủ nghiêm ngặt các tiêu chuẩn của khách hàng về chất lượng kỹ thuật, quản trị triển khai và khả năng nắm bắt kịp thời các công nghệ mới.
Những năm gần đây, FPT đẩy mạnh ứng dụng trí tuệ nhân tạo (AI) trong các dịch vụ, giải pháp công nghệ, nhằm hỗ trợ khách hàng toàn cầu thích ứng với xu hướng chuyển đổi số. Tập đoàn xác định Đông Nam Á và châu Á là những thị trường chiến lược, thông qua việc phát triển nguồn nhân lực tinh hoa, khuyến khích đổi mới sáng tạo và tạo ra tác động thiết thực cho tổ chức, doanh nghiệp.
Trong lĩnh vực năng lượng, FPT đã có hơn 20 năm kinh nghiệm, sở hữu đội ngũ 1.500 kỹ sư chuyên sâu cùng hàng trăm dự án công nghệ, chuyển đổi số quy mô toàn cầu đã triển khai thành công.
Trước đó, FPT cũng đã ký nhiều hợp đồng quy mô lớn hàng trăm triệu USD như hợp đồng 225 triệu USD tại Mỹ, hợp đồng 110 triệu USD tại Singapore và hợp đồng 115 triệu USD tại Đức…
Tổ hợp giáo dục quy mô 20.000 người học tại Huế của FPT
Liên quan đến hoạt động kinh doanh, trong nửa đầu năm 2025, FPT ghi nhận doanh thu 32.683 tỷ đồng, lợi nhuận trước thuế 6.166 tỷ đồng, lần lượt tăng 11,4% và 18,5% so với cùng kỳ năm ngoái. Lợi nhuận sau thuế cho cổ đông công ty mẹ đạt 4.432 tỷ đồng, tăng trưởng 20,7%, EPS (Earning Per Share) đạt 3.007 đồng/cổ phiếu, tăng trưởng 19,6% so với năm trước.
Khối Công nghệ (bao gồm Dịch vụ công nghệ thông tin trong nước và Dịch vụ công nghệ thông tin nước ngoài) tiếp tục giữ vai trò chủ chốt, đóng góp 61% doanh thu và 46% lợi nhuận trước thuế của toàn Tập đoàn, tương đương 20.128 tỷ đồng và 2.834 tỷ đồng, tăng trưởng lần lượt 11,3% và 15,4% so với cùng kỳ năm trước.
Dịch vụ Viễn thông ghi nhận doanh thu đạt 9.030 tỷ đồng, tăng trưởng 13,4% và lợi nhuận trước thuế đạt 2.017 tỷ đồng, tăng 18,9%.
Khối Giáo dục của FPT ghi nhận doanh thu tăng trưởng 3,3% so với cùng kỳ năm ngoái, đạt 3.537 tỷ đồng.",,,
2025-09-16 13:49:00,FPT ký kết hợp tác AI mở ra cơ hội lên đến 30 triệu USD với tập đoàn hàng đầu Đông Nam Á,https://cafef.vn/fpt-ky-ket-hop-tac-ai-mo-ra-co-hoi-len-den-30-trieu-usd-voi-tap-doan-hang-dau-dong-nam-a-188250916134934625.chn,"Hợp tác này đánh dấu cột mốc quan trọng trong nỗ lực của FPT trong việc hiện đại hóa lĩnh vực công nghiệp bằng AI và chuyển đổi số.
Tập đoàn FPT, công ty toàn cầu trong lĩnh vực chuyển đổi số, đã chính thức ký thỏa thuận chiến lược với một trong những tập đoàn công nghiệp có quy mô hàng đầu Đông Nam Á. Hợp tác mở ra cơ hội hợp đồng có giá trị 30 triệu USD, để thúc đẩy chuyển đổi toàn diện về AI trong hoạt động sản xuất cho khách hàng trên toàn khu vực.
Hợp tác này đánh dấu cột mốc quan trọng trong nỗ lực của FPT trong việc hiện đại hóa lĩnh vực công nghiệp bằng AI và chuyển đổi số. Với hơn 20 năm kinh nghiệm cung cấp dịch vụ công nghệ cho các khách hàng toàn cầu trong lĩnh vực sản xuất, FPT sẽ triển khai các giải pháp AI bao phủ toàn bộ chuỗi giá trị — từ vận hành doanh nghiệp và nâng cao hiệu suất nhà máy đến các chức năng hậu cần, qua đó giúp khách hàng hình thành mô hình sản xuất hiệu quả và thông minh dựa trên AI.
Lộ trình chuyển đổi toàn diện dự kiến sẽ triển khai theo ba giai đoạn chiến lược. Giai đoạn đầu tiên bắt đầu từ năm 2025 với trọng tâm là xây dựng nền tảng AI vững chắc thông qua việc áp dụng các công nghệ như OCR để xử lý tài liệu, số hóa quy trình sản xuất, tích hợp dữ liệu máy móc và sử dụng thị giác máy tính đảm bảo an toàn lao động cũng như hoạt động chấm công.
Giai đoạn hai, dự kiến vào năm 2026, sẽ tập trung vào việc nâng cao trí tuệ vận hành nhờ các giải pháp dự báo, tối ưu hóa và lập kế hoạch dựa trên AI. Những nỗ lực này sẽ cho phép tập đoàn công nghiệp này đưa ra các quyết định thông minh hơn, dựa trên dữ liệu, trong những lĩnh vực then chốt như thu mua, sản xuất và quản lý lực lượng lao động.
Từ năm 2027 trở đi, dự án sẽ tập trung vào việc xây dựng một hệ sinh thái sản xuất thông minh, tối ưu hóa với khả năng ra quyết định được hỗ trợ bởi AI. Quá trình chuyển đổi này sẽ đi cùng việc áp dụng các công nghệ như song sinh kỹ thuật số (digital twins), trợ lý AI và tác nhân tự động nhằm tinh gọn vận hành, trong khi AI hội thoại sẽ giúp nâng cao chất lượng dịch vụ khách hàng.
“Quan hệ hợp tác này là minh chứng cho tầm nhìn chung của chúng tôi trong việc xây dựng các nhà máy của tương lai,” ông Levi Nguyen, Giám đốc FPT Thái Lan, Tập đoàn FPT phát biểu. “Với chiến lược AI-first, FPT mong muốn đi đầu trong chuyển đổi AI công nghiệp, vận dụng mọi thế mạnh chuyên môn, năng lực AI và kinh nghiệm để hỗ trợ khách hàng tái định hình hoạt động, thiết lập tiêu chuẩn mới cho sản xuất thông minh tại Đông Nam Á.”
Được công nhận là công ty dịch vụ CNTT lớn nhất trong bảng xếp hạng Fortune’s Southeast Asia 500, FPT đã xây dựng được uy tín mạnh mẽ như một đối tác chuyển đổi số tin cậy của nhiều doanh nghiệp hàng đầu khu vực Đông Nam Á như AIA, Central Group, Honda, IHH Healthcare Singapore, Mitsubishi, Panasonic, RS Group, SCB, và Unilever. Ngoài ngành sản xuất, FPT còn hỗ trợ khách hàng trong nhiều ngành đa dạng khác như ngân hàng – tài chính, bán lẻ, ô tô, y tế, năng lượng, hàng tiêu dùng và hàng không. Với nhu cầu chuyển đổi số ngày càng gia tăng, khu vực Đông Nam Á được xem là một trong những thị trường trọng yếu nhất của FPT tại châu Á – Thái Bình Dương. Tại Đông Nam Á, FPT đang hiện diện tại 7 quốc gia và có hàng nghìn chuyên gia đáp ứng nhu cầu chuyển đổi số đang ngày càng gia tăng tại khu vực này.",,,
2025-09-16 08:00:00,FPT ký hợp đồng kỷ lục 256 triệu USD với tập đoàn năng lượng hàng đầu châu Á,https://cafef.vn/fpt-ky-hop-dong-ky-luc-256-trieu-usd-voi-tap-doan-nang-luong-hang-dau-chau-a-188250916080038152.chn,"Các hợp đồng quy mô trăm triệu USD không chỉ mang về cho FPT nguồn doanh thu ổn định trong dài hạn mà còn chứng minh năng lực cạnh tranh trên quy mô toàn cầu, đặc biệt trong lĩnh vực chuyển đổi số và công nghệ AI.
Ngày 16/9/2025, FPT - Công ty toàn cầu trong lĩnh vực chuyển đổi số vừa công bố trở thành đối tác chiến lược triển khai hợp đồng 5 năm trị giá 256 triệu USD với tập đoàn năng lượng hàng đầu châu Á. Hợp đồng này đánh dấu bước tiến mới của FPT trong lĩnh vực chuyển đổi số toàn diện ứng dụng AI. Đây cũng là hợp đồng có giá trị lớn nhất trong lịch sử 37 năm của FPT.
Theo đó, với chuyên môn sâu trong lĩnh vực năng lượng và đội ngũ chuyên gia AI, công nghệ hùng hậu, FPT sẽ cung cấp hệ sinh thái dịch vụ chuyển đổi số toàn diện tích hợp AI cho tập đoàn năng lượng hàng đầu châu Á nhằm thúc đẩy đổi mới sáng tạo và tối ưu vận hành. Các sản phẩm dịch vụ FPT cung cấp cho khách hàng gồm phát triển phần mềm tùy chỉnh, kỹ thuật dữ liệu, di động, điện toán đám mây….
Là đối tác chiến lược, FPT sẽ quản lý triển khai, quản lý dự án, sản phẩm, quản lý thay đổi, khoa học dữ liệu và thiết kế cho người dùng cuối, đồng thời đảm nhận trọn vẹn các khâu từ phân tích yêu cầu, thiết kế giải pháp, phát triển, kiểm thử, triển khai, hỗ trợ cho đến tài liệu hóa. Với cam kết cải tiến liên tục, FPT bảo đảm quy trình luôn được tối ưu hóa và tự động hóa, đi kèm hệ thống chỉ số đo lường chặt chẽ, đồng thời tuân thủ nghiêm ngặt các tiêu chuẩn của khách hàng về chất lượng kỹ thuật, quản trị triển khai và khả năng nắm bắt kịp thời các công nghệ mới.
Trong hai thập kỷ hợp tác, FPT luôn đồng hành cùng tập đoàn dẫn đầu ngành năng lượng trong hành trình chuyển đổi số, từ việc hiện đại hóa hạ tầng doanh nghiệp cốt lõi, triển khai công nghệ tiên tiến cho đến tinh gọn hóa vận hành số. Thông qua đó, FPT đã không ngừng khẳng định năng lực thích ứng linh hoạt và bền bỉ góp phần thúc đẩy sự phát triển bền vững, đồng thời định hình nên các chuẩn mực mới của ngành năng lượng.
Những năm gần đây, FPT tiếp tục mở rộng phạm vi hỗ trợ khách hàng, đặc biệt tập trung vào các dịch vụ và giải pháp ứng dụng trí tuệ nhân tạo - công nghệ đang dẫn đến những thay đổi mạnh mẽ trên phạm vi toàn cầu. FPT cũng đang hướng tới mục tiêu đưa Đông Nam Á và châu Á trở thành một trong các thị trường nước ngoài chiến lược, ứng dụng AI sâu rộng, thông qua việc phát triển nguồn nhân lực tinh hoa, khuyến khích đổi mới sáng tạo và tạo ra tác động thiết thực cho các tổ chức, doanh nghiệp.
Năng lượng là một trong những lĩnh vực mà FPT dày dạn kinh nghiệm, cung cấp dịch vụ, giải pháp công nghệ trong hơn 20 năm qua, với đội ngũ 1.500 kỹ sư có kiến thức và năng lực công nghệ chuyên sâu. Tập đoàn cũng đã triển khai thành công hàng trăm dự án công nghệ, chuyển đổi số cho khách hàng trong lĩnh vực năng lượng trên quy mô toàn cầu.
Trước đó, FPT cũng đã ký nhiều hợp đồng quy mô lớn hàng trăm triệu USD như hợp đồng 225 triệu USD tại Mỹ, hợp đồng 110 triệu USD tại Singapore và hợp đồng 115 triệu USD tại Đức… Các hợp đồng này không chỉ mang về cho FPT nguồn doanh thu ổn định trong dài hạn mà còn chứng minh năng lực cạnh tranh trên quy mô toàn cầu, đặc biệt trong lĩnh vực chuyển đổi số và công nghệ AI",,,
2025-09-16 00:10:00,"FPT báo lãi ròng gần 6.000 tỷ, doanh thu khối công nghệ vượt 1 tỷ USD sau 8 tháng",https://cafef.vn/fpt-bao-lai-rong-gan-6000-ty-doanh-thu-khoi-cong-nghe-vuot-1-ty-usd-sau-8-thang-188250915221126698.chn,"Tính riêng trong tháng 8, lợi nhuận sau thuế của FPT đạt 944 tỷ đồng, tăng 11% so với cùng kỳ năm trước.
Tập đoàn FPT vừa công bố kết quả kinh doanh 8 tháng đầu năm 2025 với doanh thu đạt 43.818 tỷ đồng, tăng 10,5% so với cùng kỳ 2024. Lợi nhuận trước thuế (LNTT) đạt 8.315 tỷ đồng, tăng 17,5% so với cùng kỳ.
Lợi nhuận sau thuế 8 tháng đầu năm đạt 7.148 tỷ đồng, tăng 18,6% so với cùng kỳ 2024. Trong đó, lợi nhuận sau thuế thuộc về cổ đông công ty mẹ đạt 5.939 tỷ đồng, tăng gần 19%. EPS tương ứng đạt 3.498 đồng.
Tính riêng trong tháng 8, FPT đạt 5.727 tỷ đồng doanh thu, tăng 6% so với cùng kỳ 2024. Lợi nhuận sau thuế đạt 944 tỷ đồng, tăng 11% so với tháng 8/2024. Lãi ròng đạt 792 tỷ đồng, tăng 10% so với cùng kỳ năm ngoái.
Trong 8 tháng đầu năm, khối Công nghệ (bao gồm Dịch vụ CNTT trong nước và Dịch vụ CNTT nước ngoài) ghi nhận doanh thu đạt 27.123 tỷ đồng, tăng gần 11% so với cùng kỳ năm trước. Trong đó mảng Dịch vụ CNTT thị trường nước ngoài tiếp tục duy trì đà tăng trưởng, đạt doanh thu 22.437 tỷ đồng, tương đương với mức tăng 12,6%. Thị trường chính Nhật Bản tiếp tục giữ mức tăng trưởng 27,2%, đạt doanh thu 9.893 tỷ đồng.
FPT ghi nhận tâm lý tích cực hơn trong các cuộc trao đổi, hợp tác với khách hàng và kỳ vọng sẽ xuất hiện tín hiệu phục hồi trong nửa cuối năm 2025. Khối lượng đơn hàng ký mới tại thị trường nước ngoài đạt 25.970 tỷ đồng, tăng 12,2%.
Mới đây, FPT đã ký thành công hợp đồng trị giá hơn 250 triệu USD với một tập đoàn năng lượng hàn ﻿ g đầu châu Á, đồng thời ký thêm một thỏa thuận hợp tác tại khu vực Châu Á – Thái Bình Dương với kỳ vọng mang lại cơ hội hợp tác hơn 30 triệu USD. Các thương vụ này khẳng định năng lực triển khai các dự án công nghệ quy mô lớn và củng cố vị thế của Tập đoàn trong chiến lược mở rộng hợp tác với các khách hàng toàn cầu.
Nhờ đẩy mạnh hoạt động bán hàng và tối ưu hóa các gói dịch vụ internet, doanh thu và lợi nhuận trước thuế của mảng Dịch vụ Viễn thông đều ghi nhận mức tăng trưởng tích cực, lần lượt đạt 12,3% và 19,9%.
Theo cập nhật của Vietcap từ cuộc họp nhà đầu tư mới đây, ban lãnh đạo FPT đưa ra kế hoạch theo kịch bản cơ sở mới với tăng trưởng doanh thu là 15% so với cùng kỳ và tăng trưởng lợi nhuận là 18%-19% so với cùng kỳ — thấp hơn so với mục tiêu tại ĐHĐCĐ là tăng trưởng doanh thu 20% và tăng trưởng LNTT 21%.
Trên thị trường, cổ phiếu FPT chốt phiên 15/9 đạt 101.900 đồng/cp.",,,
2025-09-04 00:00:00,"FPT: 12.9.2025, giao dịch 222.176.999 cp niêm yết bổ sung",https://cafef.vn/du-lieu/FPT-2289776/fpt-1292025-giao-dich-222176999-cp-niem-yet-bo-sung.chn,,,,
2025-09-04 00:00:00,FPT: Anh rể ông Trương Gia Bình - Chủ tịch HĐQT đã mua 7.100 cp,https://cafef.vn/du-lieu/FPT-2290683/fpt-anh-re-ong-truong-gia-binh-chu-tich-hdqt-da-mua-7100-cp.chn,,,,
2025-08-28 00:00:00,"FPT: 29.8.2025, niêm yết bổ sung 222.176.999 cp",https://cafef.vn/du-lieu/FPT-2288129/fpt-2982025-niem-yet-bo-sung-222176999-cp.chn,,,,
2025-08-27 15:51:00,"Sau khi nhận nhiệm vụ từ Thủ tướng, ông Trương Gia Bình 'lấy lại' hơn 700 tỷ đồng tài sản",https://cafef.vn/sau-khi-nhan-nhiem-vu-tu-thu-tuong-ong-truong-gia-binh-lay-lai-hon-700-ty-dong-tai-san-188250827155208635.chn,"Phiên giao dịch ngày 27/8, tiếp tục đà tăng trưởng của phiên hôm trước, cổ phiếu FPT đã tăng 5% lên mức 105.000 đồng/cp, với hơn 19,4 triệu cổ phiếu được khớp lệnh. Vốn hóa thị trường của công ty lên gần 179.000 tỷ đồng.
Trước đó, Văn phòng Chính phủ vừa có Văn bản số 436/TB-VPCP ngày 22/8/2025 thông báo kết luận của Thủ tướng Chính phủ tại của họp với Ban Nghiên cứu phát triển Kinh tế tư nhân.
Theo đó, để nâng cao hơn nữa vai trò của khu vực kinh tế tư nhân, người đứng đầu Chính phủ giao Ban IV cùng ông Trương Gia Bình - Chủ tịch FPT, và ông Don Lâm - nhà sáng lập VinaCapital, nghiên cứu thành lập Quỹ phát triển kinh tế tư nhân. Ban IV báo cáo Thủ tướng trong tháng 8 này.
Kể từ ngày 22 đến nay, cổ phiếu FPT đã tăng khoảng 6%. ﻿ Khối tài sản của ông Trương Gia Bình cũng tăng thêm khoảng 704 tỷ đồng.
Song song với việc giao nhiệm vụ cho ông Trương Gia Bình và ông Don Lâm, Thủ tướng yêu cầu Ban IV phối hợp chặt chẽ với Bộ Tài chính để triển khai Chương trình Toàn cảnh kinh tế tư nhân Việt Nam. Chương trình cần xác định rõ chủ đề, mục tiêu từng năm, lựa chọn công cụ và phương thức tổ chức bảo đảm thành công, huy động sức mạnh tổng hợp.
Thủ tướng cũng giao Ban IV nghiên cứu, tìm kiếm các điển hình tốt, mô hình sản xuất kinh doanh hiệu quả; triển khai công tác truyền thông để tôn vinh, khuyến khích học tập, tạo sức lan tỏa; đồng thời đề nghị các cơ quan truyền thông khác phối hợp triển khai. Việc tôn vinh phải xứng đáng, công bằng và minh bạch, rà soát, thẩm định kỹ lưỡng, tránh tôn vinh mang tính hình thức.
Một nhiệm vụ khác được Thủ tướng giao là xây dựng Bộ chỉ số đánh giá hiệu quả triển khai Nghị quyết 68 và môi trường kinh doanh. Bộ Tài chính có trách nhiệm xây dựng bộ chỉ số để đo lường, giám sát việc thực hiện các nhiệm vụ và đánh giá sự phát triển của doanh nghiệp, hộ kinh doanh.
Trong khi đó Ban IV phải xây dựng bộ chỉ số theo dõi, đánh giá, xác định mức độ thông thoáng môi trường kinh doanh của Việt Nam; xác định các vướng mắc, hạn chế của doanh nghiệp; đảm bảo tính độc lập, khách quan.
Các nhiệm vụ này cần được xem xét, báo cáo Thủ tướng trong tháng 8.",,,
