date,alpha_1_Momentum_Sentiment_Confirmation,alpha_2_Mean_Reversion_Amplified,alpha_3_Trend_vs_Market_Fear_Divergence,alpha_4_MACD_Crossover_Economic_Confirmation,alpha_5_Volatility_Sentiment_Spike,return_t_plus_1
2025-01-02,,,,,,-0.014667
2025-01-03,,,,,,-0.020749
2025-01-06,,,,,,0.000000
2025-01-07,,,,,,0.007370
2025-01-08,,,,,,-0.009145
2025-01-09,,,,,,-0.017536
2025-01-10,,,,,,0.013621
2025-01-13,,,,,,-0.001854
2025-01-14,,,,,,0.013463
2025-01-15,,,,,,0.004123
2025-01-16,,,,,,0.007299
2025-01-17,,,,,,-0.001812
2025-01-20,,,,,,-0.005445
2025-01-21,,,,,,-0.005931
2025-01-22,,,,,,0.019275
2025-01-23,,,,,,-0.004052
2025-01-24,,,,,,-0.005425
2025-02-03,,,,,,0.016818
2025-02-04,,,,,,-0.001788
2025-02-05,,,,,,0.000000
2025-02-06,,,,,,-0.005374
2025-02-07,,,,,,-0.046826
2025-02-10,,,,,,0.027397
2025-02-11,,,,,,-0.009655
2025-02-12,,,,,,0.001857
2025-02-13,,,,,,0.007878
2025-02-14,,,,,,0.001839
2025-02-17,,,,,,0.015145
2025-02-18,,,,,,-0.001808
2025-02-19,,,,,,0.001812
2025-02-20,,,,,,-0.003617
2025-02-21,,,,,,0.047187
2025-02-24,,,,,,-0.006932
2025-02-25,,,,,,0.008726
2025-02-26,,,,,,0.025519
2025-02-27,,,,,,-0.016027
2025-02-28,,,,,,0.001715
2025-03-03,,,,,,-0.006846
2025-03-04,,,,,,-0.010771
2025-03-05,,,,,,0.014373
2025-03-06,,,,,,0.003435
2025-03-07,,,,,,-0.003423
2025-03-10,,,,,,0.007299
2025-03-11,,,,,,-0.012361
2025-03-12,,,,,,-0.003884
2025-03-13,,,,,,-0.005199
2025-03-14,,,,,,0.010889
2025-03-17,,,,,,-0.009048
2025-03-18,,,,,,-0.012609
2025-03-19,,,,,,-0.003963
2025-03-20,,,,,,0.000000
2025-03-21,,,,,,0.000000
2025-03-24,,,,,,0.002210
2025-03-25,,,,,,0.012792
2025-03-26,,,,,,-0.001742
2025-03-27,,,,,,-0.013089
2025-03-28,,,,,,-0.014589
2025-03-31,,,,,,0.009421
2025-04-01,,,,,,0.009333
