date,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,return_t+1
2025-01-02,-0.500000,0.500000,,0.000000,,-0.014667
2025-01-03,-0.500000,0.468735,,0.000000,0.000000,-0.020749
2025-01-06,-0.500000,0.527115,,0.000000,0.000000,0.000000
2025-01-07,-0.500000,0.498253,,0.000000,0.000000,0.007370
2025-01-08,-0.462403,0.081982,,0.497640,0.000000,-0.009145
2025-01-09,-0.464214,0.130571,,0.000000,0.000000,-0.017536
2025-01-10,-0.467425,0.442888,,0.000000,0.000000,0.013621
2025-01-13,-0.400985,0.051706,,0.000000,0.000000,-0.001854
2025-01-14,-0.401985,0.035438,,0.000000,0.000000,0.013463
2025-01-15,-0.336065,-0.277655,,0.000000,0.000000,0.004123
2025-01-16,-0.316130,-0.257189,,0.000000,0.000000,0.007299
2025-01-17,-0.280501,-0.349248,,0.000000,0.000000,-0.001812
2025-01-20,0.085943,-0.142618,,-0.094141,0.004186,-0.005445
2025-01-21,-0.290899,0.079717,,0.000000,-0.005723,-0.005931
2025-01-22,-0.299366,0.295592,,0.310244,0.000000,0.019275
2025-01-23,-0.200651,-0.402811,,0.000000,0.000000,-0.004052
2025-01-24,-0.208946,-0.133404,,0.432075,0.000000,-0.005425
2025-02-03,-0.220083,0.016445,,0.303892,0.000000,0.016818
2025-02-04,-0.138906,-0.422176,,0.000000,0.000000,-0.001788
2025-02-05,-0.143584,-0.229749,0.018124,0.373093,0.000000,0.000000
2025-02-06,-0.143584,-0.163587,0.016369,0.000000,0.000000,-0.005374
2025-02-07,0.833790,0.061845,1.997435,-0.000521,0.007152,-0.046826
2025-02-10,-0.256838,1.802942,-0.033985,0.000000,-0.042674,0.027397
2025-02-11,-0.145560,0.190047,-0.006808,0.000000,0.000000,-0.009655
2025-02-12,-0.164778,0.117391,-0.014859,0.000000,0.000000,0.001857
2025-02-13,-0.157466,0.027809,-0.011803,0.000000,0.000000,0.007878
2025-02-14,-0.125951,-0.234395,-0.003637,0.000000,0.000000,0.001839
2025-02-17,-0.118440,-0.212698,-0.001633,0.000000,0.000000,0.015145
2025-02-18,-0.058856,-0.582662,0.012186,0.188190,0.000000,-0.001808
2025-02-19,-0.064335,-0.187994,0.009361,0.000000,0.000000,0.001812
2025-02-20,-0.056886,-0.138826,0.010113,0.000000,0.000000,-0.003617
2025-02-21,-0.069135,-0.011809,0.005841,0.000000,0.000000,0.047187
2025-02-24,0.089666,-1.633703,0.047983,0.000000,0.000000,-0.006932
2025-02-25,0.063611,-0.345663,0.036698,0.153838,0.000000,0.008726
2025-02-26,0.088110,-0.311170,0.041208,0.169470,0.000000,0.025519
2025-02-27,0.150454,-0.649167,0.060930,0.207593,0.000000,-0.016027
2025-02-28,0.088654,-0.078668,0.039578,0.195438,0.000000,0.001715
2025-03-03,0.093037,-0.055998,0.037274,0.178764,0.000000,-0.006846
2025-03-04,0.067011,0.165090,0.027221,0.146962,0.000000,-0.010771
2025-03-05,0.075557,0.378566,0.203751,0.565061,0.000600,0.014373
2025-03-06,0.075687,-0.119834,0.049529,0.167787,-0.000522,0.003435
2025-03-07,0.079818,-0.222657,0.026932,0.074559,-0.000072,-0.003423
2025-03-10,0.065969,-0.092682,0.021139,0.055648,0.000000,0.007299
2025-03-11,0.088463,-0.242851,0.025799,0.048899,0.000000,-0.012361
2025-03-12,0.670583,0.261596,1.295126,0.016478,0.009019,-0.003884
2025-03-13,0.022136,0.287274,0.007164,-0.006857,-0.007957,-0.005199
2025-03-14,0.001793,0.200117,0.001744,-0.034372,0.000000,0.010889
