Thời gian,positive,neutral,negative,số_bài_báo,sentiment_score,dominant_sentiment
2024-02-01,0.5461,0.4369,0.017,1,0.5291,positive
2024-02-02,0.4291,0.5657,0.0051,1,0.424,neutral
2024-02-05,0.9511,0.0482,0.0008,1,0.9502999999999999,positive
2024-02-06,0.7159,0.2833,0.0008,1,0.7151,positive
2024-02-07,0.4553,0.538,0.0067,1,0.4486,neutral
2024-02-16,0.4306,0.5648,0.0046,1,0.426,neutral
2024-02-20,0.8733,0.1256,0.0011,1,0.8722,positive
2024-02-23,0.4553,0.5438,0.0009,1,0.45439999999999997,neutral
2024-02-26,0.7469,0.2523,0.0009,1,0.746,positive
2024-02-27,0.6066,0.3866,0.0068,3,0.5998,positive
2024-02-28,0.2113,0.7843,0.0043,1,0.207,neutral
2024-02-29,0.3667,0.5133,0.12,3,0.24670000000000003,neutral
2024-03-01,0.3025,0.696,0.0015,1,0.301,neutral
2024-03-06,0.8603,0.1336,0.0062,3,0.8541,positive
2024-03-08,0.551,0.4479,0.0011,1,0.5499,positive
2024-03-12,0.485,0.5126,0.0025,1,0.4825,neutral
2024-03-13,0.7801,0.2194,0.0005,1,0.7796000000000001,positive
2024-03-20,0.4961,0.5032,0.0007,2,0.4954,neutral
2024-03-21,0.7266,0.0674,0.206,1,0.5206000000000001,positive
2024-03-25,0.9172,0.0813,0.0016,1,0.9156,positive
2024-03-27,0.0451,0.9528,0.0021,1,0.043000000000000003,neutral
2024-04-06,0.3335,0.6541,0.0124,1,0.3211,neutral
2024-04-08,0.8254,0.1732,0.0014,1,0.8240000000000001,positive
2024-04-11,0.5951,0.3904,0.0144,5,0.5807,positive
2024-04-12,0.6863,0.1664,0.1473,2,0.539,positive
2024-04-13,0.9128,0.0862,0.001,1,0.9117999999999999,positive
2024-04-15,0.1362,0.6361,0.2278,1,-0.09160000000000001,neutral
2024-04-16,0.5692,0.4259,0.0049,1,0.5643,positive
2024-04-26,0.7151,0.2789,0.006,2,0.7091,positive
2024-04-28,0.0146,0.9843,0.0011,1,0.0135,neutral
2024-05-06,0.8191,0.1736,0.0074,1,0.8117000000000001,positive
2024-05-09,0.7256,0.2733,0.001,1,0.7246,positive
2024-05-11,0.231,0.7554,0.0136,1,0.2174,neutral
2024-05-13,0.327,0.4295,0.2435,2,0.08350000000000002,neutral
2025-01-02,0.6147,0.3846,0.0007,1,0.614,positive
2025-01-16,0.9746,0.0248,0.0006,1,0.974,positive
2025-01-20,0.5573,0.2544,0.1883,1,0.369,positive
2025-01-24,0.8689,0.1304,0.0007,1,0.8682,positive
2025-01-26,0.3609,0.6367,0.0023,2,0.3586,neutral
2025-01-27,0.9301,0.0691,0.0008,1,0.9293,positive
2025-01-29,0.7326,0.2667,0.0007,1,0.7319,positive
2025-02-03,0.6078,0.3902,0.0021,1,0.6057,positive
2025-02-09,0.6361,0.2229,0.141,1,0.4951,positive
2025-02-10,0.912,0.0828,0.0052,3,0.9068,positive
2025-02-11,0.4352,0.4816,0.0833,2,0.3519,neutral
2025-02-18,0.5568,0.4409,0.0023,3,0.5545,positive
2025-02-21,0.0208,0.9767,0.0025,1,0.0183,neutral
2025-02-24,0.2956,0.702,0.0024,1,0.29319999999999996,neutral
2025-02-26,0.2358,0.7606,0.0036,1,0.23220000000000002,neutral
2025-02-27,0.9561,0.0424,0.0015,1,0.9546,positive
2025-02-28,0.4104,0.5869,0.0027,1,0.4077,neutral
2025-03-04,0.6404,0.3587,0.0009,1,0.6395,positive
2025-03-06,0.419,0.5516,0.0294,2,0.3896,neutral
2025-03-10,0.7991,0.197,0.0039,2,0.7952,positive
2025-03-12,0.5838,0.4156,0.0007,1,0.5831,positive
2025-03-14,0.164,0.8341,0.0019,1,0.1621,neutral
2025-03-15,0.4568,0.5405,0.0027,1,0.4541,neutral
2025-03-17,0.6017,0.3976,0.0007,1,0.601,positive
2025-03-31,0.0426,0.9565,0.0009,1,0.0417,neutral
2025-04-09,0.2488,0.7426,0.0086,2,0.2402,neutral
2025-04-10,0.4957,0.4146,0.0896,2,0.40609999999999996,positive
2025-04-11,0.4116,0.2043,0.3841,1,0.027500000000000024,positive
2025-04-12,0.0157,0.9821,0.0022,1,0.013499999999999998,neutral
2025-04-14,0.8131,0.1849,0.002,1,0.8111,positive
2025-04-15,0.378,0.6213,0.0007,1,0.3773,neutral
2025-04-16,0.3955,0.6039,0.0006,1,0.39490000000000003,neutral
2025-04-17,0.7588,0.2107,0.0305,8,0.7283000000000001,positive
2025-04-18,0.41,0.5892,0.0008,1,0.40919999999999995,neutral
2025-04-21,0.6024,0.3969,0.0007,1,0.6017,positive
2025-04-28,0.3199,0.6794,0.0007,1,0.31920000000000004,neutral
2025-04-29,0.4172,0.5821,0.0007,2,0.41650000000000004,neutral
2025-05-02,0.983,0.0158,0.0012,1,0.9818,positive
2025-05-03,0.9836,0.0156,0.0007,2,0.9829,positive
2025-05-06,0.6964,0.3026,0.001,2,0.6954,positive
2025-05-08,0.6373,0.3605,0.0023,1,0.635,positive
