Thời gian,positive,neutral,negative,số_bài_báo
2024-01-05,0.0232,0.9656,0.0112,1
2024-01-08,0.1607,0.7997,0.0397,2
2024-01-09,0.0453,0.9357,0.0191,2
2024-01-10,0.2111,0.7794,0.0095,1
2024-01-11,0.0287,0.9549,0.0164,2
2024-01-12,0.0666,0.8927,0.0407,1
2024-01-15,0.0025,0.9968,0.0007,1
2024-01-16,0.0663,0.8892,0.0445,4
2024-01-17,0.0725,0.8954,0.032,4
2024-01-18,0.0458,0.926,0.0282,3
2024-01-19,0.2735,0.7126,0.0139,4
2024-01-24,0.0191,0.9799,0.0011,4
2024-01-26,0.144,0.7987,0.0573,4
2024-01-29,0.0288,0.9502,0.0209,4
2024-01-30,0.0263,0.969,0.0047,2
2024-01-31,0.1161,0.8486,0.0353,5
2024-02-01,0.4522,0.5429,0.0049,5
2024-02-06,0.0098,0.9868,0.0034,1
2024-02-13,0.5557,0.3285,0.1157,1
2024-02-22,0.1818,0.814,0.0042,3
2024-02-26,0.0157,0.6861,0.2982,2
2024-02-27,0.3731,0.6241,0.0029,2
2024-03-01,0.0109,0.9074,0.0817,1
2024-03-04,0.1011,0.8845,0.0144,4
2024-03-07,0.4892,0.4779,0.0329,1
2024-03-20,0.0089,0.9905,0.0005,1
2024-03-23,0.2703,0.7279,0.0018,1
2024-04-01,0.0325,0.9626,0.0049,3
2024-04-02,0.0116,0.9871,0.0012,2
2024-04-03,0.0009,0.9984,0.0006,1
2024-04-04,0.0879,0.8756,0.0365,1
2024-04-05,0.0063,0.9903,0.0034,2
2024-04-16,0.2629,0.5759,0.1612,2
2024-04-23,0.9899,0.0066,0.0035,1
2024-04-24,0.0787,0.419,0.5023,2
2024-04-26,0.0213,0.9773,0.0014,1
2024-05-02,0.375,0.6229,0.0021,1
2024-05-04,0.602,0.1837,0.2143,1
2024-05-07,0.2564,0.7315,0.0122,3
2024-05-09,0.0374,0.9551,0.0076,5
2024-05-13,0.9114,0.0879,0.0008,1
2024-05-17,0.1176,0.845,0.0374,3
2024-05-21,0.4027,0.5918,0.0055,3
2024-05-22,0.5145,0.4817,0.0037,2
2024-05-23,0.1258,0.8505,0.0237,1
2024-05-24,0.0336,0.8671,0.0993,3
2024-05-27,0.002,0.9974,0.0005,1
2024-05-28,0.4603,0.5271,0.0126,2
2024-05-29,0.2268,0.7665,0.0066,1
2024-05-30,0.1909,0.8073,0.0018,1
2024-05-31,0.0203,0.9721,0.0077,1
2024-06-05,0.0222,0.9543,0.0234,1
2024-06-07,0.0026,0.9955,0.0019,1
2024-06-12,0.082,0.881,0.037,3
2024-06-17,0.2775,0.6933,0.0292,1
2024-06-19,0.0045,0.9915,0.004,1
2024-06-20,0.3735,0.5991,0.0274,1
2024-06-25,0.4893,0.5101,0.0006,2
2024-06-27,0.0057,0.994,0.0003,1
2024-07-01,0.0061,0.9929,0.001,1
2024-07-03,0.4581,0.4643,0.0776,1
2024-07-04,0.0009,0.9986,0.0006,2
2024-07-05,0.489,0.5043,0.0067,3
2024-07-06,0.8178,0.1695,0.0127,1
2024-07-09,0.1892,0.8086,0.0022,1
2024-07-11,0.0025,0.9963,0.0013,5
2024-07-12,0.5662,0.2608,0.1731,1
2024-07-18,0.0124,0.9699,0.0177,3
2024-07-26,0.0078,0.9799,0.0123,2
2024-08-07,0.1043,0.8934,0.0023,1
2024-08-14,0.0058,0.8916,0.1026,1
2024-08-15,0.003,0.993,0.004,1
2024-08-27,0.4693,0.5238,0.0069,1
2024-08-28,0.8821,0.1149,0.0031,1
2024-09-14,0.672,0.3234,0.0046,1
2024-09-24,0.02,0.962,0.018,1
2024-09-25,0.0628,0.9324,0.0048,1
2024-10-02,0.324,0.5723,0.1038,1
2024-10-03,0.0021,0.9957,0.0022,1
2024-10-07,0.2392,0.7569,0.0039,4
2024-10-10,0.0088,0.9895,0.0017,1
