Thời gian,positive,neutral,negative,số_bài_báo
2024-01-04,0.6047,0.179,0.2164,1
2024-01-09,0.0069,0.9898,0.0033,1
2024-01-12,0.0152,0.9658,0.019,1
2024-01-17,0.0632,0.1584,0.7784,1
2024-01-24,0.0084,0.991,0.0006,1
2024-01-30,0.0304,0.4851,0.4845,2
2024-01-31,0.0022,0.9975,0.0003,1
2024-02-02,0.6514,0.3328,0.0159,1
2024-02-07,0.2429,0.6156,0.1415,1
2024-02-19,0.0127,0.9867,0.0006,1
2024-02-27,0.0006,0.9965,0.0029,1
2024-03-01,0.1593,0.823,0.0177,1
2024-03-04,0.0114,0.01,0.9785,1
2024-03-07,0.1792,0.3307,0.4901,1
2024-03-19,0.0675,0.0334,0.8991,1
2024-03-28,0.2475,0.0211,0.7314,1
2024-04-01,0.0006,0.9979,0.0014,1
2024-04-08,0.9625,0.0371,0.0004,1
2024-04-16,0.3123,0.6436,0.0441,1
2024-04-24,0.003,0.045,0.952,1
2024-04-25,0.0018,0.9958,0.0024,1
2024-04-26,0.0068,0.9738,0.0194,1
2024-05-03,0.0038,0.9705,0.0257,1
2024-05-08,0.9928,0.0069,0.0003,1
2024-05-09,0.5302,0.4472,0.0225,1
2024-05-14,0.4312,0.4621,0.1067,4
2024-05-16,0.4825,0.4983,0.0191,4
2024-05-17,0.0023,0.9969,0.0008,1
2024-05-20,0.3352,0.6615,0.0032,1
2024-05-22,0.5536,0.3226,0.1238,4
2024-05-23,0.2991,0.4431,0.2579,2
2024-05-24,0.7728,0.1518,0.0754,1
2024-05-27,0.0734,0.796,0.1305,1
2024-05-28,0.9671,0.0287,0.0042,1
2024-06-04,0.0048,0.9947,0.0006,1
2024-06-05,0.5121,0.2408,0.2471,2
2024-06-06,0.1869,0.7998,0.0133,4
2024-06-15,0.955,0.0446,0.0004,1
2024-06-19,0.793,0.1977,0.0093,1
2024-06-26,0.0069,0.9898,0.0033,1
2024-06-27,0.055,0.1786,0.7664,1
2024-07-01,0.0164,0.9549,0.0287,4
2024-07-04,0.3505,0.6384,0.011,1
2024-07-05,0.7288,0.2704,0.0007,1
2024-07-12,0.0293,0.9702,0.0005,1
2024-07-15,0.9084,0.0895,0.0021,1
2024-07-19,0.0425,0.9572,0.0004,1
2024-07-22,0.0127,0.2333,0.7541,1
2024-07-23,0.0063,0.0034,0.9903,1
2024-07-26,0.0826,0.8771,0.0403,2
2024-07-30,0.0148,0.6482,0.337,3
2024-07-31,0.1097,0.0082,0.8822,1
2024-08-06,0.9038,0.0894,0.0069,1
2024-08-09,0.0373,0.8208,0.1419,1
2024-08-27,0.0006,0.9965,0.0029,1
2024-08-28,0.8885,0.0311,0.0804,1
2024-09-06,0.0475,0.4615,0.491,3
2024-09-10,0.5253,0.3822,0.0925,2
2024-09-26,0.1051,0.0352,0.8597,1
2024-10-01,0.0154,0.6688,0.3157,1
2024-10-09,0.093,0.838,0.069,2
2024-10-16,0.1469,0.6751,0.1781,1
2024-10-21,0.0135,0.0529,0.9335,1
2024-11-05,0.0036,0.9577,0.0388,2
2024-11-14,0.0473,0.0284,0.9242,1
2024-11-22,0.0399,0.9322,0.0279,1
2024-11-29,0.0178,0.9744,0.0078,1
2024-12-06,0.0087,0.9903,0.001,1
2024-12-11,0.0227,0.9062,0.071,2
2024-12-12,0.0053,0.993,0.0017,1
2024-12-18,0.3333,0.6644,0.0022,3
2024-12-25,0.0289,0.8008,0.1703,1
2025-01-15,0.0397,0.9283,0.032,2
2025-01-24,0.1453,0.8514,0.0033,1
2025-02-03,0.02,0.3177,0.6623,1
2025-02-05,0.0037,0.9949,0.0014,1
2025-02-27,0.0107,0.9875,0.0019,1
2025-03-06,0.1044,0.5562,0.3395,2
2025-03-21,0.1622,0.6465,0.1913,1
2025-04-09,0.0018,0.9958,0.0024,1
2025-04-11,0.1752,0.03,0.7948,1
2025-04-14,0.2509,0.5052,0.2439,2
2025-04-15,0.9924,0.0074,0.0002,1
2025-04-18,0.0254,0.9742,0.0004,1
2025-04-23,0.0035,0.9963,0.0002,1
2025-04-29,0.0385,0.7869,0.1746,1
2025-05-06,0.5142,0.4361,0.0497,1
2025-06-04,0.3718,0.6263,0.0019,1
2025-06-11,0.4911,0.5043,0.0046,2
2025-06-18,0.0118,0.987,0.0012,2
2025-06-27,0.9571,0.0425,0.0004,1
2025-06-30,0.002,0.9966,0.0014,1
2025-07-01,0.309,0.6849,0.0061,1
2025-07-03,0.0633,0.8938,0.0429,2
2025-07-08,0.7749,0.2241,0.0011,2
2025-07-15,0.2398,0.6935,0.0667,4
2025-07-16,0.531,0.3983,0.0708,2
2025-07-17,0.1618,0.7109,0.1273,1
2025-07-21,0.5512,0.3672,0.0816,3
2025-07-23,0.7091,0.2001,0.0908,3
2025-07-25,0.2902,0.6684,0.0414,3
2025-07-28,0.4834,0.4899,0.0267,2
2025-07-31,0.1593,0.81,0.0307,4
2025-08-14,0.0246,0.9743,0.0012,1
2025-08-15,0.0199,0.956,0.0241,2
2025-08-18,0.0524,0.0483,0.8993,1
2025-08-20,0.3975,0.2275,0.3751,1
2025-09-03,0.0082,0.9838,0.0079,2
2025-09-11,0.0351,0.9643,0.0005,1
2025-09-15,0.018,0.9817,0.0003,1
2025-09-23,0.1377,0.0526,0.8097,1
2025-10-01,0.0274,0.8587,0.1139,1
2025-10-09,0.0288,0.6795,0.2918,1
2025-10-15,0.0067,0.9436,0.0497,1
2025-10-24,0.0037,0.9959,0.0004,1
