Thời gian,positive,neutral,negative,số_bài_báo
2024-01-18,0.2148,0.007,0.7781,1
2024-01-26,0.0037,0.9929,0.0034,1
2024-01-28,0.7512,0.2484,0.0004,1
2024-01-29,0.0073,0.9129,0.0798,2
2024-02-02,0.0057,0.9916,0.0027,1
2024-02-15,0.8452,0.1523,0.0024,1
2024-02-23,0.0046,0.9426,0.0528,1
2024-03-01,0.0797,0.3512,0.5691,1
2024-03-12,0.4409,0.113,0.4461,3
2024-03-14,0.3822,0.6173,0.0004,1
2024-03-19,0.0043,0.9942,0.0015,1
2024-05-03,0.8616,0.1378,0.0005,1
2024-05-04,0.0146,0.9149,0.0706,2
2024-05-06,0.0067,0.9928,0.0005,1
2024-05-13,0.0073,0.6979,0.2948,2
2024-05-16,0.3313,0.6584,0.0103,3
2024-05-24,0.7728,0.1518,0.0754,1
2024-05-27,0.0043,0.9942,0.0015,1
2024-06-03,0.897,0.1024,0.0006,1
2024-06-05,0.4097,0.5891,0.0012,4
2024-06-15,0.955,0.0446,0.0004,1
2024-07-04,0.0253,0.9599,0.0148,1
2024-07-10,0.0062,0.9877,0.006,1
2024-07-29,0.0008,0.9972,0.002,1
2024-08-20,0.0041,0.7414,0.2546,2
2024-10-11,0.0043,0.9942,0.0015,1
2024-11-07,0.0043,0.9942,0.0015,1
2024-12-25,0.0423,0.9444,0.0133,1
2025-01-03,0.8418,0.1182,0.04,1
2025-01-17,0.8505,0.1492,0.0004,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-01-21,0.6157,0.3639,0.0203,1
2025-02-05,0.0043,0.9942,0.0015,1
2025-02-15,0.6998,0.2883,0.0119,1
2025-02-26,0.0023,0.9948,0.0029,2
2025-02-27,0.7426,0.2389,0.0185,1
2025-02-28,0.0005,0.9934,0.006,1
2025-03-20,0.687,0.3121,0.001,1
2025-03-21,0.0117,0.8922,0.0962,1
2025-03-24,0.0043,0.9942,0.0015,1
2025-04-10,0.8616,0.1375,0.0009,1
2025-04-14,0.0156,0.9636,0.0208,2
2025-04-15,0.4494,0.5488,0.0017,1
2025-04-16,0.11,0.8588,0.0312,2
2025-04-18,0.0045,0.3725,0.623,1
2025-04-24,0.0068,0.9862,0.007,3
2025-05-09,0.0955,0.8768,0.0278,3
2025-05-11,0.298,0.7004,0.0016,1
2025-05-13,0.0013,0.9457,0.0531,1
2025-06-02,0.0416,0.5498,0.4085,1
2025-06-19,0.0163,0.847,0.1367,1
2025-06-20,0.024,0.959,0.017,1
2025-06-21,0.0171,0.9131,0.0698,1
2025-06-23,0.2914,0.7061,0.0024,1
2025-06-25,0.0417,0.9416,0.0167,1
2025-07-04,0.019,0.1711,0.81,1
2025-07-16,0.6833,0.3151,0.0016,4
2025-07-17,0.9698,0.0294,0.0008,1
2025-07-20,0.5172,0.4716,0.0112,1
2025-07-21,0.0055,0.9522,0.0423,2
2025-07-22,0.11,0.8834,0.0066,1
2025-07-23,0.0122,0.9502,0.0375,1
2025-07-24,0.8319,0.1186,0.0494,1
2025-07-25,0.5383,0.4276,0.0341,3
2025-07-29,0.0051,0.9866,0.0082,2
2025-07-31,0.715,0.2513,0.0336,2
2025-08-01,0.0011,0.9944,0.0044,1
2025-08-06,0.0146,0.976,0.0093,1
2025-08-12,0.0224,0.9678,0.0098,2
2025-08-13,0.019,0.0498,0.9312,1
