Thời gian,positive,neutral,negative,số_bài_báo
2024-01-19,0.2424,0.7501,0.0075,1
2024-01-30,0.0253,0.9738,0.0009,1
2024-02-01,0.0111,0.9878,0.0011,1
2024-02-02,0.5016,0.4813,0.0171,1
2024-02-05,0.3656,0.596,0.0384,1
2024-02-15,0.4681,0.5148,0.0171,2
2024-03-05,0.4553,0.5374,0.0073,2
2024-03-06,0.6889,0.3043,0.0068,1
2024-03-07,0.0902,0.9038,0.006,1
2024-03-11,0.0112,0.9424,0.0464,1
2024-03-19,0.1869,0.8009,0.0122,2
2024-04-01,0.0518,0.7986,0.1496,4
2024-04-05,0.6806,0.3128,0.0066,1
2024-04-15,0.0089,0.9175,0.0736,1
2024-04-24,0.0922,0.8859,0.0219,1
2024-04-26,0.0083,0.763,0.2286,2
2024-05-06,0.0066,0.9925,0.0009,1
2024-05-07,0.0115,0.9874,0.0011,1
2024-05-08,0.0027,0.9815,0.0158,1
2024-05-13,0.0046,0.9881,0.0073,1
2024-05-24,0.1782,0.8086,0.0133,3
2024-06-03,0.0781,0.9078,0.014,1
2024-06-04,0.0411,0.9579,0.001,1
2024-06-05,0.5578,0.4415,0.0007,1
2024-06-10,0.0261,0.972,0.0019,2
2024-06-11,0.1684,0.7779,0.0537,1
2024-06-12,0.2908,0.7051,0.0042,2
2024-06-19,0.0216,0.9767,0.0016,1
2024-06-25,0.05,0.9471,0.0029,1
2024-06-26,0.0042,0.9954,0.0004,1
2024-06-27,0.0038,0.9943,0.002,1
2024-06-28,0.0097,0.9266,0.0637,1
2024-07-10,0.0189,0.9799,0.0012,1
2024-07-16,0.2785,0.683,0.0384,3
2024-07-23,0.0673,0.8793,0.0535,1
2024-07-26,0.0243,0.9688,0.007,1
2024-07-30,0.0123,0.9816,0.0061,1
2024-08-12,0.0141,0.9622,0.0238,1
2024-08-14,0.0341,0.1561,0.8098,1
2024-08-20,0.1096,0.8063,0.0841,1
2024-09-10,0.0096,0.9865,0.004,1
2024-09-20,0.0044,0.995,0.0006,1
2024-09-24,0.0849,0.8711,0.0441,1
2024-10-11,0.0299,0.9569,0.0132,1
2024-10-21,0.2241,0.7583,0.0176,1
2024-10-22,0.0022,0.9973,0.0004,1
2024-10-25,0.0653,0.876,0.0587,2
2025-01-20,0.8601,0.1318,0.0081,1
2025-01-24,0.0486,0.9496,0.0017,1
2025-02-06,0.009,0.9874,0.0036,1
2025-02-07,0.47,0.5004,0.0296,1
2025-02-13,0.0752,0.9105,0.0143,1
2025-03-03,0.0201,0.8056,0.1743,1
2025-03-06,0.8155,0.182,0.0025,1
2025-03-10,0.4892,0.5021,0.0087,1
2025-03-12,0.4049,0.5918,0.0033,2
2025-03-20,0.2013,0.7982,0.0005,2
2025-04-03,0.0162,0.9793,0.0045,3
2025-04-04,0.0267,0.3979,0.5753,1
2025-04-28,0.0046,0.9934,0.002,4
2025-05-06,0.0058,0.9677,0.0265,1
2025-05-16,0.0013,0.998,0.0008,1
2025-05-21,0.2079,0.7636,0.0285,3
2025-05-22,0.1577,0.1581,0.6842,1
2025-05-27,0.0009,0.9986,0.0005,1
2025-05-29,0.0027,0.9942,0.0032,1
2025-06-02,0.0024,0.9972,0.0004,2
2025-06-04,0.0015,0.9979,0.0007,1
2025-06-09,0.0511,0.9254,0.0235,3
2025-06-12,0.2495,0.1345,0.616,1
2025-06-17,0.0741,0.6265,0.2994,4
2025-06-26,0.0071,0.9819,0.011,3
2025-06-27,0.1,0.82,0.08,3
2025-06-30,0.0174,0.0084,0.9742,2
2025-07-02,0.0103,0.9577,0.032,1
2025-07-03,0.014,0.9647,0.0214,2
2025-07-04,0.0784,0.8693,0.0523,2
2025-07-07,0.0091,0.9876,0.0033,1
2025-07-09,0.0378,0.1561,0.8061,1
2025-07-16,0.0373,0.1087,0.854,1
2025-07-17,0.0062,0.989,0.0048,3
2025-07-21,0.0282,0.9398,0.032,2
2025-07-24,0.1266,0.8175,0.0559,4
2025-07-25,0.0116,0.968,0.0204,2
2025-07-30,0.0114,0.9839,0.0047,1
2025-08-11,0.0103,0.9821,0.0076,1
2025-08-13,0.016,0.7115,0.2725,3
2025-08-15,0.0103,0.9577,0.032,2
2025-08-28,0.0115,0.9007,0.0878,1
2025-09-17,0.0048,0.9938,0.0015,1
2025-09-18,0.0004,0.9972,0.0025,1
2025-09-22,0.1731,0.7054,0.1215,1
2025-10-01,0.0334,0.2142,0.7524,1
2025-10-17,0.0369,0.945,0.0181,2
