Thời gian,positive,neutral,negative,số_bài_báo
2024-01-02,0.166,0.515,0.319,3
2024-01-03,0.4464,0.5458,0.0077,2
2024-01-05,0.7099,0.2774,0.0127,2
2024-01-08,0.9966,0.0008,0.0027,1
2024-01-15,0.1679,0.6942,0.1379,1
2024-01-16,0.204,0.7921,0.0038,1
2024-01-18,0.0068,0.9618,0.0313,2
2024-01-25,0.7273,0.2628,0.0099,2
2024-01-30,0.3732,0.3631,0.2638,4
2024-01-31,0.4338,0.2807,0.2855,2
2024-02-02,0.5433,0.2181,0.2386,4
2024-02-04,0.4363,0.1397,0.424,1
2024-02-05,0.394,0.4687,0.1373,3
2024-02-08,0.8395,0.1361,0.0244,2
2024-02-11,0.8365,0.1202,0.0433,1
2024-02-20,0.4353,0.4222,0.1425,1
2024-02-22,0.3468,0.5653,0.0879,2
2024-02-24,0.5344,0.4558,0.0098,1
2024-02-28,0.2814,0.6712,0.0474,1
2024-02-29,0.6675,0.2956,0.037,6
2024-03-05,0.5862,0.19,0.2238,1
2024-03-21,0.4457,0.5095,0.0448,5
2024-03-22,0.4836,0.4999,0.0165,1
2024-03-23,0.5416,0.4576,0.0007,1
2024-03-27,0.1366,0.4727,0.3907,1
2024-03-28,0.6339,0.265,0.1012,4
2024-03-29,0.6834,0.3117,0.0049,2
2024-03-30,0.6381,0.3125,0.0494,2
2024-04-01,0.5232,0.2067,0.2701,1
2024-04-04,0.2007,0.3453,0.454,1
2024-04-06,0.1885,0.6536,0.1579,1
2024-04-08,0.6848,0.2395,0.0757,1
2024-04-09,0.2142,0.6325,0.1534,1
2024-04-13,0.7103,0.2615,0.0283,6
2024-04-14,0.6718,0.3249,0.0033,2
2024-04-15,0.4269,0.4733,0.0998,3
2024-04-17,0.7791,0.2189,0.002,2
2024-04-26,0.0535,0.1116,0.8349,1
2024-04-28,0.9049,0.0943,0.0007,1
2024-04-29,0.8881,0.0953,0.0167,2
2024-04-30,0.7059,0.2735,0.0207,3
2024-05-01,0.61,0.386,0.004,1
2024-05-02,0.0316,0.865,0.1034,1
2024-05-03,0.3572,0.5761,0.0668,2
2024-05-08,0.4855,0.4005,0.1141,1
2024-05-12,0.83,0.1695,0.0005,1
2024-05-13,0.4514,0.3599,0.1888,3
2024-05-14,0.6638,0.1332,0.2029,2
2024-05-15,0.3399,0.3275,0.3326,2
2024-05-16,0.923,0.0761,0.0008,1
2024-05-20,0.1054,0.4442,0.4504,5
2024-05-23,0.0316,0.865,0.1034,1
2024-05-27,0.5739,0.4239,0.0023,1
2024-05-31,0.0008,0.9986,0.0006,1
2024-06-02,0.6137,0.3821,0.0042,1
2024-06-03,0.5153,0.3345,0.1502,2
2024-06-05,0.6717,0.2879,0.0405,2
2024-06-06,0.9966,0.0008,0.0027,1
2024-06-13,0.0061,0.993,0.0008,1
2024-06-19,0.0154,0.7018,0.2828,1
2024-06-20,0.2602,0.5771,0.1628,1
2024-06-26,0.319,0.677,0.0039,1
2024-06-28,0.4243,0.5625,0.0132,4
2024-06-29,0.4322,0.5628,0.005,1
2024-07-24,0.9966,0.0008,0.0027,1
2024-07-30,0.2513,0.3995,0.3492,3
2024-08-02,0.4406,0.5479,0.0115,1
2024-08-03,0.5121,0.2796,0.2083,2
2024-08-05,0.8715,0.1178,0.0107,2
2024-08-14,0.8042,0.1805,0.0152,2
2024-08-15,0.3454,0.6372,0.0173,1
2024-08-16,0.6024,0.201,0.1966,1
2024-08-17,0.2578,0.698,0.0442,2
2024-08-19,0.4964,0.4503,0.0533,1
2024-08-20,0.3401,0.636,0.0239,1
2024-08-23,0.2863,0.1733,0.5404,1
2024-08-26,0.7082,0.2903,0.0015,1
2024-08-28,0.6199,0.3772,0.0029,1
2024-08-29,0.6107,0.3882,0.0012,1
2024-09-03,0.465,0.5156,0.0194,1
2024-09-04,0.2808,0.7183,0.0009,1
2024-09-05,0.6312,0.2152,0.1535,3
2024-09-09,0.8984,0.1013,0.0004,1
2024-09-14,0.7628,0.2222,0.015,1
2024-09-20,0.4175,0.4389,0.1436,3
2024-09-29,0.6811,0.2622,0.0567,1
2024-10-01,0.2444,0.6957,0.0599,1
2024-10-04,0.6644,0.3328,0.0027,1
2024-10-12,0.0316,0.865,0.1034,1
2024-10-13,0.8888,0.1102,0.001,1
2024-10-15,0.8148,0.1835,0.0016,1
2024-10-22,0.5795,0.3653,0.0552,1
2024-10-30,0.2822,0.2162,0.5016,2
