Thời gian,positive,neutral,negative,số_bài_báo
2024-01-16,0.4965,0.495,0.0085,1
2024-01-31,0.292,0.7067,0.0014,1
2024-02-01,0.3061,0.2391,0.4548,1
2024-03-01,0.9891,0.0094,0.0015,1
2024-03-04,0.835,0.005,0.16,1
2024-03-08,0.976,0.0091,0.0149,1
2024-03-11,0.1535,0.733,0.1136,1
2024-03-12,0.9982,0.0002,0.0017,1
2024-04-01,0.004,0.9877,0.0083,1
2024-04-08,0.9761,0.0161,0.0078,1
2024-04-09,0.391,0.3694,0.2397,1
2024-04-19,0.075,0.9138,0.0112,1
2024-04-26,0.5192,0.2616,0.2192,4
2024-05-02,0.5084,0.3685,0.1231,2
2024-05-03,0.2597,0.0066,0.7337,1
2024-05-04,0.4231,0.489,0.0879,2
2024-05-06,0.0159,0.8953,0.0888,1
2024-05-08,0.9857,0.0129,0.0014,1
2024-05-09,0.0261,0.6075,0.3664,1
2024-07-05,0.2573,0.7248,0.0179,3
2024-07-08,0.2854,0.7138,0.0009,1
2024-07-13,0.5065,0.4891,0.0043,1
2024-07-31,0.2999,0.6812,0.0189,2
2024-08-01,0.0009,0.004,0.995,1
2024-08-07,0.4335,0.4007,0.1658,1
2024-08-14,0.6375,0.3619,0.0006,1
2024-08-30,0.4757,0.4996,0.0247,1
2024-10-30,0.0653,0.8661,0.0686,1
2024-11-02,0.4957,0.5027,0.0017,1
2024-12-07,0.4543,0.5438,0.0019,1
2024-12-23,0.9476,0.0448,0.0077,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-01-24,0.3894,0.5743,0.0362,2
2025-01-27,0.5362,0.2143,0.2495,1
2025-01-29,0.7326,0.2667,0.0007,1
2025-02-07,0.968,0.0305,0.0015,1
2025-02-11,0.5988,0.3348,0.0663,2
2025-02-14,0.5106,0.4862,0.0033,2
2025-02-18,0.231,0.7668,0.0022,1
2025-02-26,0.9983,0.001,0.0007,1
2025-03-03,0.5435,0.455,0.0015,1
2025-03-07,0.9616,0.0228,0.0156,1
2025-03-10,0.3002,0.5628,0.1369,2
2025-03-12,0.8484,0.1353,0.0163,1
2025-03-13,0.0285,0.9702,0.0013,2
2025-03-18,0.967,0.0206,0.0124,1
2025-03-28,0.4695,0.4814,0.049,1
2025-03-31,0.0079,0.9912,0.001,1
2025-04-01,0.1363,0.5555,0.3081,1
2025-04-08,0.5896,0.4033,0.0071,1
2025-04-18,0.5103,0.4187,0.071,1
2025-04-26,0.3669,0.632,0.0012,2
2025-04-29,0.8394,0.1588,0.0018,1
2025-05-02,0.5905,0.326,0.0835,1
2025-05-03,0.9906,0.0088,0.0006,1
2025-05-05,0.224,0.3388,0.4371,1
2025-05-08,0.7449,0.2313,0.0238,6
2025-05-22,0.8822,0.0327,0.0851,1
2025-05-25,0.4201,0.4256,0.1544,1
2025-05-30,0.0822,0.9106,0.0072,1
2025-06-01,0.4781,0.4901,0.0318,1
2025-06-02,0.3904,0.403,0.2066,3
2025-06-05,0.3326,0.3859,0.2815,2
2025-06-13,0.641,0.3577,0.0013,1
2025-06-16,0.813,0.1853,0.0017,2
2025-06-23,0.7302,0.2086,0.0612,2
2025-06-24,0.0035,0.9952,0.0012,1
2025-07-07,0.9705,0.0217,0.0077,1
2025-07-09,0.9874,0.0003,0.0123,1
2025-07-19,0.8632,0.09,0.0468,1
2025-07-21,0.0522,0.0105,0.9373,1
2025-07-24,0.8305,0.1689,0.0006,1
2025-07-29,0.2303,0.0026,0.7671,1
2025-07-31,0.4689,0.5004,0.0307,1
2025-08-01,0.075,0.883,0.042,1
2025-08-03,0.7585,0.1978,0.0437,1
2025-08-25,0.6502,0.349,0.0008,1
2025-09-03,0.0232,0.4501,0.5267,1
2025-09-19,0.9556,0.0435,0.0009,1
2025-09-30,0.1281,0.0224,0.8495,1
2025-10-01,0.9448,0.0035,0.0517,1
2025-10-02,0.142,0.5256,0.3324,1
2025-10-07,0.7237,0.2341,0.0422,1
2025-10-23,0.0374,0.9534,0.0092,2
2025-10-24,0.0009,0.2137,0.7855,1
2025-10-27,0.5134,0.4821,0.0045,2
