Thời gian,positive,neutral,negative,số_bài_báo
2024-01-03,0.9987,0.001,0.0003,1
2024-01-04,0.0003,0.0838,0.9159,1
2024-01-10,0.3342,0.6652,0.0006,3
2024-01-23,0.9648,0.0297,0.0055,1
2024-01-31,0.503,0.1682,0.3288,3
2024-02-06,0.4675,0.5313,0.0012,2
2024-02-21,0.432,0.3466,0.2214,1
2024-02-27,0.4309,0.5682,0.0008,3
2024-03-01,0.0332,0.961,0.0057,1
2024-03-13,0.3475,0.6511,0.0014,1
2024-03-21,0.7835,0.2149,0.0016,1
2024-03-27,0.973,0.0256,0.0013,1
2024-03-28,0.4607,0.5384,0.0009,1
2024-04-02,0.7453,0.2538,0.001,1
2024-04-05,0.9968,0.0014,0.0019,1
2024-04-08,0.087,0.9112,0.0019,1
2024-04-15,0.0308,0.9686,0.0007,1
2024-04-16,0.5791,0.2542,0.1667,1
2024-04-17,0.8278,0.1713,0.0009,2
2024-04-22,0.5129,0.4865,0.0006,1
2024-04-26,0.7103,0.2183,0.0714,1
2024-05-07,0.5342,0.4639,0.0019,2
2024-05-17,0.5636,0.4139,0.0225,1
2024-05-20,0.7597,0.2397,0.0006,2
2024-05-29,0.5126,0.4676,0.0199,1
2024-06-07,0.0643,0.803,0.1327,1
2024-06-10,0.4891,0.0091,0.5018,1
2024-06-14,0.9795,0.0199,0.0006,1
2024-06-18,0.9673,0.0322,0.0005,1
2024-06-21,0.7573,0.2419,0.0008,1
2024-07-11,0.9619,0.0315,0.0065,2
2024-07-18,0.4891,0.0091,0.5018,1
2024-07-19,0.7743,0.0151,0.2106,1
2024-07-22,0.6578,0.3415,0.0007,1
2024-07-29,0.9724,0.0198,0.0079,1
2024-07-30,0.9849,0.0148,0.0003,1
2024-07-31,0.3421,0.655,0.0029,1
2024-08-01,0.0299,0.9688,0.0013,1
2024-08-08,0.9342,0.0646,0.0012,2
2024-08-14,0.7274,0.1635,0.1092,1
2024-08-19,0.9422,0.0525,0.0052,1
2024-08-20,0.9529,0.046,0.0012,1
2024-08-23,0.4341,0.5574,0.0085,1
2024-08-24,0.453,0.5451,0.0018,1
2024-09-05,0.0054,0.9939,0.0008,1
2024-09-12,0.9762,0.023,0.0008,6
2024-09-16,0.7645,0.2335,0.0021,4
2024-09-17,0.9074,0.0824,0.0102,4
2024-09-18,0.5929,0.2426,0.1645,2
2024-09-19,0.3498,0.6465,0.0037,3
2024-09-20,0.9703,0.0246,0.0051,2
2024-09-23,0.7433,0.0053,0.2514,2
2024-09-24,0.4265,0.2819,0.2916,2
2024-09-25,0.0012,0.4888,0.51,1
2024-09-26,0.3322,0.6664,0.0014,3
2024-10-01,0.0846,0.9066,0.0088,2
2024-10-04,0.7743,0.0151,0.2106,1
2024-10-07,0.0487,0.009,0.9424,1
2024-10-08,0.5993,0.0272,0.3735,4
2024-10-09,0.9958,0.0026,0.0016,2
2024-10-22,0.3364,0.0819,0.5817,2
2024-10-23,0.9995,0.0003,0.0003,1
2024-10-24,0.7743,0.0151,0.2106,1
2024-10-25,0.3053,0.6933,0.0014,2
2024-11-07,0.7743,0.0151,0.2106,1
2024-11-10,0.5966,0.3136,0.0897,1
2024-11-12,0.7476,0.2382,0.0142,2
2024-11-26,0.9727,0.0234,0.004,2
2024-11-28,0.9563,0.0428,0.0009,1
2024-12-04,0.8774,0.1195,0.0031,1
2024-12-06,0.9992,0.0006,0.0002,1
2024-12-12,0.9973,0.0017,0.001,1
2024-12-14,0.8884,0.1112,0.0004,1
2024-12-15,0.8311,0.168,0.0009,1
2024-12-19,0.5038,0.3388,0.1575,2
2024-12-24,0.9911,0.0081,0.0009,1
2025-01-15,0.9993,0.0004,0.0003,1
2025-01-16,0.619,0.0323,0.3487,2
2025-01-17,0.9602,0.0384,0.0014,1
2025-01-22,0.2432,0.7428,0.014,3
2025-01-23,0.8329,0.111,0.0561,3
2025-01-24,0.2094,0.4602,0.3305,3
2025-02-03,0.5645,0.4342,0.0013,1
2025-02-10,0.502,0.4968,0.0012,1
2025-02-14,0.9565,0.043,0.0005,1
2025-02-15,0.6998,0.2883,0.0119,1
2025-02-17,0.9992,0.0006,0.0002,1
2025-02-18,0.0588,0.5522,0.389,1
2025-02-21,0.0044,0.995,0.0006,1
2025-03-16,0.2246,0.5533,0.2221,1
2025-03-20,0.6,0.3982,0.0018,2
2025-03-21,0.7743,0.0151,0.2106,1
2025-03-31,0.2818,0.4855,0.2327,1
2025-04-04,0.9905,0.0086,0.0009,1
2025-04-07,0.4261,0.5597,0.0142,1
2025-04-11,0.0314,0.9679,0.0007,1
2025-04-14,0.2047,0.7945,0.0008,1
2025-04-16,0.987,0.0124,0.0005,1
2025-04-17,0.4933,0.0132,0.4936,2
2025-04-21,0.9975,0.0001,0.0024,1
2025-04-22,0.5597,0.4395,0.0007,1
2025-04-23,0.6366,0.3575,0.0059,2
2025-04-25,0.1161,0.2876,0.5963,1
2025-04-26,0.3944,0.4965,0.1092,1
2025-04-28,0.7321,0.2672,0.0008,4
2025-05-14,0.9644,0.0106,0.025,2
2025-05-15,0.6934,0.2931,0.0134,1
2025-05-16,0.9986,0.0008,0.0006,1
2025-05-20,0.9984,0.0009,0.0007,1
2025-05-22,0.2088,0.6324,0.1588,1
2025-05-29,0.975,0.0234,0.0016,1
2025-05-30,0.1586,0.0864,0.755,1
2025-05-31,0.6364,0.0264,0.3372,1
2025-06-04,0.7652,0.2249,0.0099,1
2025-06-10,0.3864,0.4966,0.117,1
2025-06-19,0.9967,0.0011,0.0022,1
2025-06-21,0.3325,0.6666,0.0009,1
2025-07-11,0.7891,0.1596,0.0513,1
