Thời gian,Tiêu đề,URL
16/06/2024 07:01,"Lợi nhuận VNPT năm 2023 giảm hơn 40%, cầm 1,8 tỷ USD gửi ngân hàng hưởng lãi 8 tỷ đồng/ngày",https://cafef.vn/loi-nhuan-vnpt-nam-2023-giam-hon-40-cam-18-ty-usd-gui-ngan-hang-huong-lai-8-ty-dongngay-188240615185544747.chn
02/04/2024 00:00,VNP: Thông báo số 69 của Tổng giám đốc Công ty Cổ phần Nhựa Việt Nam về việc tổ chức ĐHĐCĐ TN năm 2024,https://cafef.vn/du-lieu/VNPT-1972981/vnp-thong-bao-so-69-cua-tong-giam-doc-cong-ty-co-phan-nhua-viet-nam-ve-viec-to-chuc-dhdcd-tn-nam-2024.chn
19/02/2024 00:00,TTN: Quyết định HĐQT thông qua ký hợp đồng với các bên liên quan,https://cafef.vn/du-lieu/VNPT-1946774/ttn-quyet-dinh-hdqt-thong-qua-ky-hop-dong-voi-cac-ben-lien-quan.chn
15/08/2022 00:19,"Tạo việc làm cho hơn 100.000 người, các tập đoàn VNPT, Viettel, FPT đang trả lương ra sao?",https://cafef.vn/tao-viec-lam-cho-hon-100000-nguoi-cac-tap-doan-vnpt-viettel-fpt-dang-tra-luong-ra-sao-20220814212006788.chn
21/12/2020 08:46,VNPT lãi 7.100 tỷ đồng năm 2020,https://cafef.vn/vnpt-lai-7100-ty-dong-nam-2020-20201221084528545.chn
05/09/2020 08:10,"[Hot stock] Cổ phiếu TEL tăng trần 5 phiên liên tiếp, VNPT hoàn tất thoái vốn",https://cafef.vn/hot-stock-co-phieu-tel-tang-tran-5-phien-lien-tiep-vnpt-hoan-tat-thoai-von-20200904172058999.chn
16/06/2020 16:49,VNPT: Ông Phạm Đức Long sẽ làm Chủ tịch HĐTV,https://cafef.vn/du-lieu/VNPT-1053844/vnpt-ong-pham-duc-long-se-lam-chu-tich-hdtv.chn
07/02/2019 07:57,Hơn 40 doanh nghiệp lãi nghìn tỷ năm 2018,https://cafef.vn/hon-40-doanh-nghiep-lai-nghin-ty-nam-2018-20190129112607562.chn
25/12/2018 20:01,"VNPT đạt lợi nhuận 6.445 tỷ đồng, đây là năm thứ 5 liên tiếp tăng trưởng trên 20%",https://cafef.vn/vnpt-dat-loi-nhuan-6445-ty-dong-day-la-nam-thu-5-lien-tiep-tang-truong-tren-20-20181225110233682.chn
07/05/2018 09:41,"VNPT thoái vốn 102,5 tỷ đồng tại CTCP Dịch vụ Bưu chính Viễn thông Sài Gòn",https://cafef.vn/vnpt-thoai-von-1025-ty-dong-tai-ctcp-dich-vu-buu-chinh-vien-thong-sai-gon-20180507094040927.chn
12/04/2018 10:41,VNPT đặt mục tiêu LNTT năm 2018 tăng 15% lên 5.760 tỷ đồng,https://cafef.vn/vnpt-dat-muc-tieu-lntt-nam-2018-tang-15-len-5760-ty-dong-20180411092508959.chn
30/03/2018 08:57,TEL: Tập đoàn Bưu chính viễn thông Việt Nam chưa bán cp,https://cafef.vn/du-lieu/VNPT-966778/tel-tap-doan-buu-chinh-vien-thong-viet-nam-chua-ban-cp.chn
07/02/2018 11:26,Cổ phiếu TEL tăng trần trước thông tin VNPT muốn thoái toàn bộ 49% vốn tại Telcom,https://cafef.vn/co-phieu-tel-tang-tran-truoc-thong-tin-vnpt-muon-thoai-toan-bo-49-von-tai-telcom-2018020616345424.chn
06/02/2018 15:59,TEL: Tập đoàn Bưu chính viễn thông Việt Nam đăng ký bán 2.450.000 CP,https://cafef.vn/du-lieu/VNPT-1217236/tel-tap-doan-buu-chinh-vien-thong-viet-nam-dang-ky-ban-2450000-cp.chn
26/12/2017 17:12,"Trong khi đối thủ VNPT đều đặn mỗi năm tăng trưởng 20%, gã khổng lồ Viettel đã 2 năm liền dậm chân tại chỗ",https://cafef.vn/trong-khi-doi-thu-vnpt-deu-dan-moi-nam-tang-truong-20-ga-khong-lo-viettel-da-2-nam-lien-dam-chan-tai-cho-20171226171142989.chn
25/12/2017 23:03,"""Ông lớn"" viễn thông báo lãi 2017: Tăng trưởng của Viettel chỉ đạt 1,7%",https://cafef.vn/ong-lon-vien-thong-bao-lai-2017-tang-truong-cua-viettel-chi-dat-17-20171225230251771.chn
28/09/2017 10:24,VNPT: Báo cáo tình hình quản trị năm 2016,https://cafef.vn/du-lieu/VNPT-1147861/vnpt-bao-cao-tinh-hinh-quan-tri-nam-2016.chn
30/08/2017 10:39,Ế ẩm phiên VNPT đấu giá cổ phần của đơn vị quản lý nhà mạng S-Fone,https://cafef.vn/e-am-phien-vnpt-dau-gia-co-phan-cua-don-vi-quan-ly-nha-mang-sfone-20170830103844334.chn
24/07/2017 15:23,VMG Media lãi “1 ăn 7” khi thoái vốn khỏi công ty kinh doanh thẻ cào VNPT Epay với giá hơn 500 tỷ đồng,https://cafef.vn/vmg-media-lai-1-an-7-khi-thoai-von-khoi-cong-ty-kinh-doanh-the-cao-vnpt-epay-voi-gia-hon-500-ty-dong-20170724152240251.chn
14/07/2017 15:09,"Nửa đầu 2017: Lợi nhuận Viettel gấp 4,3 lần VNPT, MobiFone cộng lại",https://cafef.vn/nua-dau-2017-loi-nhuan-viettel-gap-43-lan-vnpt-mobifone-cong-lai-20170714150757808.chn
20/04/2017 16:25,PIA: Tập đoàn Bưu chính Viễn thông Việt Nam đã bán 440.672 CP,https://cafef.vn/du-lieu/VNPT-1054207/pia-tap-doan-buu-chinh-vien-thong-viet-nam-da-ban-440672-cp.chn
10/04/2017 20:40,VNPT đưa 49% vốn Telcom ra đấu giá với giá khởi điểm 16.793 đồng/cổ phần,https://cafef.vn/vnpt-dua-49-von-telcom-ra-dau-gia-voi-gia-khoi-diem-16793-dongco-phan-20170410164352827.chn
04/04/2017 07:00,Gần 4 vạn nhân viên VNPT dự kiến có thu nhập hơn 18 triệu đồng/tháng,https://cafef.vn/gan-4-van-nhan-vien-vnpt-du-kien-co-thu-nhap-hon-18-trieu-dongthang-20170403160834914.chn
15/03/2017 20:12,"Thủ tướng yêu cầu VNPT giải trình, làm rõ về 3 nhiệm vụ chậm trễ",https://cafef.vn/thu-tuong-yeu-cau-vnpt-giai-trinh-lam-ro-ve-3-nhiem-vu-cham-tre-20170315151531221.chn
15/03/2017 19:03,Yêu cầu VNPT giải trình chậm tái cơ cấu công ty Tài chính PTFinance,https://cafef.vn/yeu-cau-vnpt-giai-trinh-cham-tai-co-cau-cong-ty-tai-chinh-ptfinance-20170315190317237.chn
09/03/2017 07:00,VNPT bổ nhiệm Phó Tổng giám đốc phụ trách phát triển mảng CNTT,https://cafef.vn/vnpt-bo-nhiem-pho-tong-giam-doc-phu-trach-phat-trien-mang-cntt-20170308210748645.chn
