Thời gian,positive,neutral,negative,số_bài_báo
2024-01-02,0.7712,0.2091,0.0198,2
2024-01-05,0.9674,0.022,0.0106,2
2024-01-07,0.4854,0.5071,0.0075,1
2024-01-08,0.4725,0.4968,0.0307,2
2024-01-16,0.7218,0.1007,0.1775,2
2024-01-31,0.0018,0.9922,0.006,1
2024-02-02,0.7617,0.2302,0.0081,1
2024-02-27,0.4075,0.5875,0.005,1
2024-03-01,0.5905,0.2851,0.1244,2
2024-03-06,0.9941,0.0052,0.0007,1
2024-03-29,0.8567,0.1422,0.0011,1
2024-05-05,0.0334,0.5433,0.4233,1
2024-05-07,0.8385,0.1607,0.0008,1
2024-05-14,0.9941,0.0052,0.0007,1
2024-05-16,0.9941,0.0052,0.0007,1
2024-05-21,0.9184,0.081,0.0006,1
2024-05-22,0.5964,0.4026,0.0011,1
2024-05-24,0.5975,0.2893,0.1132,3
2024-05-31,0.0607,0.9384,0.0008,1
2024-06-07,0.9941,0.0052,0.0007,2
2024-06-10,0.9941,0.0052,0.0007,1
2024-06-12,0.2455,0.7496,0.0049,1
2024-06-19,0.9907,0.0072,0.0021,1
2024-06-21,0.9941,0.0052,0.0007,1
2024-07-01,0.9948,0.0022,0.003,1
2024-07-03,0.411,0.5673,0.0218,1
2024-08-13,0.3202,0.6,0.0799,2
2024-08-16,0.5471,0.4132,0.0397,1
2024-08-17,0.5687,0.4303,0.0009,1
2024-08-20,0.0572,0.9408,0.002,1
2024-08-23,0.4891,0.5086,0.0023,2
2024-08-29,0.4575,0.4946,0.0479,1
2024-09-13,0.4178,0.5691,0.0131,2
2024-09-17,0.1345,0.0122,0.8533,1
2024-09-20,0.5328,0.4646,0.0026,1
2024-10-03,0.2191,0.6869,0.094,1
2024-10-09,0.073,0.7911,0.1358,1
2024-10-22,0.0838,0.9142,0.002,1
2024-10-25,0.016,0.98,0.0039,1
2024-10-30,0.0278,0.0069,0.9653,1
2024-11-01,0.5449,0.4449,0.0102,1
2024-11-04,0.004,0.9933,0.0027,1
2024-11-11,0.9458,0.0514,0.0027,1
2024-11-19,0.6524,0.3204,0.0272,1
2024-11-29,0.9995,0.0002,0.0003,1
2024-12-13,0.1508,0.8102,0.0391,3
2024-12-17,0.049,0.9489,0.002,1
2024-12-18,0.2727,0.703,0.0244,1
2024-12-19,0.9935,0.005,0.0016,1
2024-12-23,0.3416,0.5054,0.153,4
2024-12-26,0.0154,0.9787,0.0059,1
2024-12-27,0.5724,0.4188,0.0087,3
2024-12-30,0.9989,0.0008,0.0003,1
2024-12-31,0.7688,0.2268,0.0044,4
2025-01-02,0.1336,0.8584,0.0081,1
2025-01-03,0.966,0.0303,0.0037,1
2025-01-07,0.5219,0.4255,0.0527,2
2025-01-10,0.3113,0.4509,0.2378,1
2025-01-17,0.9406,0.0479,0.0115,1
2025-01-20,0.4905,0.5056,0.0039,1
2025-01-21,0.9823,0.0174,0.0003,1
2025-01-22,0.0262,0.9402,0.0336,1
2025-01-24,0.5168,0.27,0.2132,2
2025-02-03,0.0046,0.0397,0.9557,1
2025-02-04,0.2546,0.7441,0.0013,1
2025-02-18,0.0098,0.8253,0.1649,2
2025-02-19,0.5104,0.135,0.3547,1
2025-02-26,0.8622,0.1252,0.0125,1
2025-03-03,0.5435,0.455,0.0015,1
2025-03-21,0.3556,0.6228,0.0216,1
2025-03-24,0.8585,0.1116,0.0299,1
2025-04-03,0.9105,0.089,0.0005,1
2025-04-11,0.9873,0.0121,0.0005,1
2025-04-23,0.7945,0.2002,0.0052,1
2025-04-24,0.745,0.2542,0.0008,3
2025-04-26,0.9981,0.0006,0.0013,2
2025-05-05,0.1356,0.8406,0.0238,1
2025-05-13,0.3368,0.3391,0.3241,1
2025-05-16,0.2376,0.7609,0.0015,1
2025-05-28,0.9955,0.0018,0.0027,1
2025-06-02,0.2295,0.7312,0.0393,4
2025-06-04,0.4143,0.5505,0.0353,1
2025-06-06,0.0125,0.9868,0.0007,1
2025-06-12,0.9955,0.0018,0.0027,1
2025-06-13,0.641,0.3577,0.0013,1
2025-06-16,0.341,0.658,0.0011,2
2025-06-18,0.0045,0.9949,0.0006,1
2025-06-20,0.9577,0.0389,0.0034,1
2025-06-23,0.8095,0.1461,0.0444,3
2025-06-30,0.8655,0.1334,0.0011,1
2025-07-01,0.1514,0.8062,0.0425,1
2025-07-03,0.9127,0.0862,0.0012,1
2025-07-04,0.6455,0.3527,0.0017,3
2025-07-09,0.0419,0.9449,0.0133,1
2025-07-11,0.5718,0.4267,0.0016,1
2025-07-17,0.9577,0.0389,0.0034,1
2025-07-23,0.0045,0.9949,0.0006,1
2025-07-29,0.0197,0.4194,0.5609,1
2025-07-30,0.8378,0.1118,0.0504,1
2025-07-31,0.9577,0.0389,0.0034,1
2025-08-07,0.9515,0.0372,0.0113,2
2025-08-12,0.4423,0.5558,0.0019,2
2025-08-14,0.9577,0.0389,0.0034,1
2025-08-15,0.9835,0.0035,0.013,1
2025-08-19,0.341,0.5203,0.1387,2
2025-08-22,0.0608,0.5825,0.3567,2
2025-08-24,0.9345,0.065,0.0006,1
2025-08-26,0.0045,0.9949,0.0006,1
2025-08-28,0.9577,0.0389,0.0034,1
2025-08-29,0.0077,0.9914,0.0008,1
2025-09-06,0.4156,0.1353,0.449,1
2025-09-09,0.9958,0.0037,0.0004,1
2025-09-10,0.4221,0.5152,0.0627,2
2025-09-15,0.9584,0.0407,0.0009,1
2025-09-16,0.7823,0.2169,0.0009,1
2025-09-19,0.0711,0.9069,0.022,1
2025-09-21,0.0033,0.6605,0.3362,1
2025-09-24,0.0077,0.9914,0.0008,1
2025-09-29,0.9445,0.0544,0.0011,1
2025-10-01,0.7561,0.2393,0.0045,1
2025-10-02,0.6933,0.3039,0.0027,2
2025-10-06,0.8338,0.1528,0.0134,2
2025-10-08,0.9577,0.0389,0.0034,1
2025-10-09,0.765,0.2294,0.0056,1
2025-10-14,0.9806,0.0184,0.001,1
2025-10-15,0.0199,0.9532,0.0268,1
