Thời gian,positive,neutral,negative,số_bài_báo
2024-01-04,0.0228,0.3432,0.634,1
2024-01-05,0.9173,0.0822,0.0005,1
2024-01-12,0.9099,0.087,0.0031,2
2024-01-14,0.9962,0.0034,0.0004,1
2024-01-17,0.9738,0.0258,0.0004,1
2024-01-19,0.5057,0.4938,0.0005,2
2024-01-22,0.8923,0.1067,0.001,1
2024-01-23,0.812,0.1848,0.0032,1
2024-01-25,0.0132,0.6218,0.3649,2
2024-01-31,0.0373,0.9625,0.0003,1
2024-02-01,0.0148,0.985,0.0003,1
2024-02-02,0.7647,0.2333,0.0019,1
2024-02-07,0.2893,0.6365,0.0742,2
2024-02-15,0.9215,0.077,0.0015,2
2024-02-27,0.8283,0.1699,0.0019,1
2024-02-29,0.7901,0.2094,0.0005,1
2024-03-01,0.9754,0.0242,0.0004,1
2024-03-04,0.6894,0.2566,0.054,2
2024-03-07,0.922,0.0769,0.0011,1
2024-03-08,0.2001,0.1106,0.6893,1
2024-03-14,0.3963,0.5294,0.0743,7
2024-03-18,0.1566,0.7769,0.0664,1
2024-03-22,0.9245,0.0746,0.0009,1
2024-03-27,0.9966,0.003,0.0004,1
2024-03-28,0.8247,0.1716,0.0037,2
2024-04-03,0.0257,0.9737,0.0006,1
2024-04-06,0.3335,0.6541,0.0124,1
2024-04-08,0.7383,0.2609,0.0008,1
2024-04-10,0.9773,0.0224,0.0003,1
2024-04-12,0.0078,0.9919,0.0002,1
2024-04-15,0.3915,0.3756,0.2329,2
2024-04-19,0.0091,0.9906,0.0003,1
2024-04-22,0.4969,0.5018,0.0012,2
2024-04-23,0.6368,0.3628,0.0004,2
2024-04-24,0.9821,0.0174,0.0006,2
2024-04-25,0.9664,0.0328,0.0008,2
2024-05-16,0.9818,0.0176,0.0006,1
2024-05-20,0.2875,0.7121,0.0005,2
2024-05-21,0.8155,0.1838,0.0007,2
2024-05-24,0.8107,0.143,0.0464,2
2024-05-28,0.845,0.1546,0.0004,1
2024-05-30,0.7226,0.2759,0.0015,1
2024-06-03,0.9866,0.0127,0.0007,1
2024-06-04,0.2482,0.7507,0.0011,3
2024-06-05,0.7767,0.2227,0.0006,2
2024-06-06,0.8614,0.1383,0.0003,1
2024-06-07,0.0016,0.9414,0.057,1
2024-06-10,0.8549,0.1447,0.0004,1
2024-06-11,0.8306,0.1688,0.0005,1
2024-06-14,0.7806,0.1981,0.0213,2
2024-06-15,0.955,0.0446,0.0004,1
2024-06-17,0.9628,0.0367,0.0004,1
2024-06-18,0.9964,0.0033,0.0003,1
2024-06-19,0.0524,0.9441,0.0035,2
2024-06-24,0.0106,0.9888,0.0006,2
2024-07-01,0.0143,0.9851,0.0006,1
2024-07-04,0.3012,0.5309,0.1679,2
2024-07-05,0.4606,0.493,0.0464,2
2024-07-07,0.8504,0.1488,0.0008,1
2024-07-08,0.9778,0.0219,0.0003,1
2024-07-16,0.0021,0.9976,0.0003,1
2024-07-18,0.4798,0.5192,0.001,2
2024-07-19,0.1087,0.8904,0.0009,1
2024-07-20,0.8277,0.0771,0.0952,1
2024-07-25,0.0011,0.9986,0.0003,1
2024-07-26,0.0029,0.994,0.0031,2
2024-07-29,0.5807,0.4137,0.0055,1
2024-07-31,0.008,0.9914,0.0006,1
2024-08-08,0.5487,0.4484,0.0029,1
2024-08-09,0.782,0.0875,0.1305,1
2024-08-15,0.9184,0.0794,0.0022,1
2024-08-26,0.0104,0.9892,0.0004,1
2024-09-01,0.8065,0.0535,0.14,2
2024-09-04,0.4494,0.5499,0.0007,1
2024-09-05,0.7573,0.24,0.0027,1
2024-09-19,0.5139,0.4853,0.0008,1
2024-09-30,0.1295,0.868,0.0024,2
2024-10-04,0.0022,0.9946,0.0032,1
2024-10-10,0.8485,0.1508,0.0007,2
2024-10-12,0.7223,0.2772,0.0004,1
2024-10-13,0.9918,0.0077,0.0005,1
2024-10-14,0.0149,0.8817,0.1033,5
2024-10-18,0.2265,0.7693,0.0042,1
2024-10-23,0.0015,0.9972,0.0013,2
2024-10-25,0.9762,0.0217,0.0021,1
2024-10-28,0.027,0.0671,0.9058,1
2024-11-01,0.9735,0.0209,0.0056,1
2024-11-04,0.365,0.6328,0.0021,1
2024-11-05,0.9676,0.0306,0.0018,2
2024-11-08,0.9928,0.0064,0.0008,1
2024-11-19,0.0075,0.9223,0.0702,2
2024-11-21,0.7152,0.0673,0.2175,1
2024-11-22,0.9834,0.0158,0.0008,1
2024-11-26,0.0064,0.5898,0.4038,1
2024-11-29,0.7549,0.2445,0.0006,2
2024-12-02,0.564,0.4318,0.0043,1
2024-12-05,0.9878,0.0118,0.0004,1
2024-12-10,0.997,0.0028,0.0002,1
2024-12-16,0.9545,0.0445,0.0009,1
2024-12-20,0.9321,0.0656,0.0023,1
2024-12-25,0.9686,0.0275,0.0039,2
2024-12-31,0.4635,0.5358,0.0007,2
2025-01-01,0.6225,0.3529,0.0246,1
2025-01-02,0.8809,0.1181,0.001,1
2025-01-03,0.4263,0.5522,0.0215,2
2025-01-17,0.8505,0.1492,0.0004,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-01-21,0.6157,0.3639,0.0203,1
2025-01-23,0.8938,0.1055,0.0007,2
2025-01-24,0.3329,0.6373,0.0298,4
2025-01-29,0.7973,0.0582,0.1445,1
2025-01-30,0.7142,0.1948,0.091,1
2025-02-03,0.3596,0.6096,0.0308,2
2025-02-04,0.6903,0.279,0.0307,4
2025-02-05,0.9884,0.0113,0.0003,2
2025-02-06,0.9536,0.046,0.0004,1
2025-02-07,0.0073,0.9925,0.0002,1
2025-02-08,0.8391,0.1593,0.0016,1
2025-02-09,0.6361,0.2229,0.141,1
2025-02-10,0.9571,0.0114,0.0315,1
2025-02-11,0.6293,0.3678,0.0029,1
2025-02-12,0.9912,0.0086,0.0002,1
2025-02-13,0.8455,0.1519,0.0025,1
2025-02-14,0.173,0.7025,0.1245,2
2025-02-15,0.6998,0.2883,0.0119,1
2025-02-16,0.4626,0.2743,0.2631,1
2025-02-17,0.9234,0.0761,0.0005,2
2025-02-19,0.5205,0.4781,0.0014,1
2025-02-25,0.9887,0.011,0.0003,2
2025-02-26,0.9955,0.0042,0.0003,1
2025-02-27,0.9561,0.0424,0.0015,1
2025-03-01,0.9766,0.0227,0.0007,1
2025-03-11,0.9925,0.0072,0.0003,1
2025-03-13,0.6777,0.1412,0.181,1
2025-03-14,0.7288,0.2108,0.0605,1
2025-03-15,0.6768,0.2855,0.0376,1
2025-03-18,0.5546,0.4113,0.0341,1
2025-03-19,0.6545,0.1169,0.2286,1
2025-03-20,0.633,0.3248,0.0421,4
2025-03-21,0.9955,0.0039,0.0006,1
2025-03-24,0.1641,0.7665,0.0694,4
2025-03-25,0.3335,0.6298,0.0368,1
2025-03-27,0.6423,0.1311,0.2266,2
2025-03-28,0.6581,0.2978,0.0441,1
2025-03-31,0.2818,0.4855,0.2327,1
2025-04-04,0.017,0.9813,0.0017,1
2025-04-08,0.6791,0.2761,0.0448,1
2025-04-09,0.156,0.8277,0.0163,1
