Thời gian,positive,neutral,negative,số_bài_báo
2024-01-02,0.1719,0.4503,0.3778,2
2024-01-30,0.0138,0.9851,0.0011,1
2024-02-05,0.0271,0.969,0.0039,1
2024-02-28,0.4148,0.5835,0.0017,2
2024-02-29,0.0657,0.9314,0.0029,1
2024-03-06,0.0196,0.9767,0.0038,1
2024-03-26,0.0032,0.9952,0.0015,1
2024-04-03,0.3501,0.6463,0.0035,1
2024-04-08,0.5946,0.4029,0.0024,1
2024-04-09,0.0521,0.9451,0.0029,1
2024-04-23,0.1183,0.879,0.0027,1
2024-04-25,0.7145,0.2843,0.0013,2
2024-05-09,0.162,0.8313,0.0067,2
2024-05-16,0.0402,0.9541,0.0057,1
2024-05-17,0.0358,0.9329,0.0313,1
2024-06-05,0.9555,0.0351,0.0095,1
2024-06-06,0.9124,0.0033,0.0843,1
2024-06-10,0.011,0.9447,0.0442,1
2024-06-25,0.1988,0.7898,0.0114,1
2024-07-02,0.009,0.99,0.001,1
2024-07-12,0.0199,0.371,0.6091,1
2024-07-15,0.0666,0.0806,0.8528,1
2024-07-24,0.07,0.4402,0.4897,1
2024-07-29,0.1039,0.8914,0.0047,1
2024-09-05,0.8769,0.0973,0.0258,2
2024-09-10,0.9791,0.0087,0.0122,1
2024-09-16,0.8358,0.0029,0.1613,1
2024-10-07,0.8358,0.0029,0.1613,1
2024-10-23,0.2537,0.7333,0.013,1
2024-10-28,0.9916,0.0068,0.0016,1
2024-11-01,0.8707,0.1213,0.008,1
2024-12-17,0.9784,0.0155,0.0061,1
2025-01-02,0.083,0.916,0.001,1
2025-02-04,0.0295,0.9683,0.0022,1
2025-02-19,0.1871,0.8113,0.0016,2
2025-02-27,0.0849,0.913,0.0021,1
2025-03-04,0.3674,0.6234,0.0092,1
2025-03-13,0.4851,0.4696,0.0453,1
2025-04-01,0.1845,0.8131,0.0025,1
2025-04-21,0.0387,0.96,0.0012,1
2025-04-24,0.1453,0.8535,0.0012,1
2025-04-25,0.0246,0.972,0.0034,2
2025-05-15,0.0022,0.993,0.0048,2
2025-05-21,0.0444,0.9135,0.0421,1
2025-07-01,0.006,0.9934,0.0006,1
2025-07-28,0.022,0.9745,0.0035,2
2025-07-29,0.0167,0.9818,0.0015,1
2025-08-18,0.0007,0.9983,0.001,1
2025-08-21,0.8622,0.1231,0.0147,1
2025-08-27,0.0334,0.9631,0.0035,2
2025-09-11,0.0041,0.5574,0.4384,1
2025-09-12,0.5057,0.1622,0.3321,2
2025-09-17,0.4003,0.1916,0.4081,1
2025-10-01,0.2168,0.0174,0.7658,1
2025-10-02,0.0016,0.223,0.7754,1
2025-10-15,0.0452,0.9529,0.0019,1
