Thời gian,positive,neutral,negative,số_bài_báo
2024-01-13,0.5853,0.4113,0.0034,1
2024-01-31,0.0132,0.4925,0.4944,2
2024-02-23,0.467,0.4199,0.1131,2
2024-03-04,0.0547,0.9431,0.0022,1
2024-03-05,0.0379,0.0035,0.9585,1
2024-03-06,0.2855,0.582,0.1325,1
2024-03-07,0.0715,0.269,0.6595,1
2024-03-12,0.174,0.8166,0.0094,1
2024-03-14,0.2721,0.5437,0.1843,1
2024-03-29,0.0108,0.9473,0.0419,1
2024-04-10,0.081,0.0049,0.9142,1
2024-04-12,0.1742,0.6511,0.1747,1
2024-04-18,0.2523,0.5616,0.1861,1
2024-04-26,0.0029,0.7218,0.2753,1
2024-05-02,0.7619,0.2293,0.0088,1
2024-05-11,0.2957,0.3263,0.378,2
2024-05-16,0.1998,0.7987,0.0015,1
2024-05-24,0.4006,0.0485,0.5509,1
2024-05-27,0.2493,0.7447,0.006,1
2024-05-31,0.6707,0.3273,0.002,1
2024-06-04,0.4198,0.5779,0.0023,1
2024-06-11,0.4111,0.5866,0.0023,1
2024-06-14,0.0334,0.7369,0.2297,1
2024-06-17,0.209,0.1322,0.6588,1
2024-06-18,0.5901,0.4074,0.0025,1
2024-06-26,0.0502,0.9036,0.0462,1
2024-06-28,0.441,0.5542,0.0047,1
2024-07-02,0.8834,0.0174,0.0993,1
2024-07-11,0.5046,0.092,0.4034,1
2024-07-17,0.5027,0.4384,0.059,1
2024-07-18,0.8021,0.1972,0.0007,1
2024-07-24,0.0247,0.3084,0.6669,1
2024-07-29,0.0058,0.4888,0.5054,2
2024-07-31,0.0011,0.9959,0.0031,1
2024-08-16,0.4724,0.5235,0.004,1
2024-08-28,0.0045,0.9013,0.0942,1
2024-09-05,0.1998,0.067,0.7331,1
2024-09-20,0.0006,0.9974,0.002,1
2024-10-15,0.9191,0.0122,0.0687,1
2024-10-24,0.0965,0.3152,0.5884,1
2024-10-30,0.0377,0.2707,0.6917,1
2024-10-31,0.6405,0.2718,0.0877,2
2024-11-06,0.0086,0.0134,0.9781,1
2024-12-26,0.9948,0.0002,0.005,1
2024-12-27,0.7419,0.2569,0.0012,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-01-24,0.0086,0.1584,0.833,1
2025-01-27,0.8358,0.1407,0.0235,1
2025-01-31,0.9664,0.0329,0.0006,1
2025-02-05,0.5926,0.4071,0.0003,1
2025-02-11,0.0038,0.9663,0.0299,1
2025-02-17,0.65,0.3484,0.0015,1
2025-02-18,0.0095,0.8961,0.0945,1
2025-02-20,0.0356,0.9633,0.001,1
2025-02-25,0.2196,0.5884,0.192,2
2025-03-13,0.083,0.4761,0.4409,1
2025-03-15,0.5451,0.4534,0.0015,1
2025-03-17,0.2463,0.7497,0.0041,1
2025-03-18,0.2625,0.7275,0.01,2
2025-04-01,0.2901,0.589,0.1209,2
2025-04-15,0.0037,0.1047,0.8916,1
2025-04-18,0.2772,0.4016,0.3213,3
2025-04-22,0.5952,0.4005,0.0043,1
2025-04-24,0.5396,0.4462,0.0142,2
2025-04-25,0.0034,0.9858,0.0108,1
2025-04-29,0.0023,0.8437,0.154,1
2025-06-07,0.4985,0.5008,0.0007,1
2025-06-09,0.1142,0.8854,0.0004,1
2025-06-16,0.0066,0.0014,0.992,1
2025-06-27,0.7523,0.2468,0.0009,2
2025-06-30,0.0114,0.2845,0.7041,1
2025-07-01,0.0574,0.4403,0.5023,2
2025-07-15,0.002,0.9845,0.0135,1
2025-07-31,0.1498,0.5649,0.2852,4
2025-08-06,0.0574,0.9283,0.0143,1
2025-08-07,0.3412,0.6123,0.0465,2
2025-08-15,0.0158,0.1871,0.7971,1
2025-08-29,0.0078,0.5386,0.4536,1
2025-09-04,0.12,0.1645,0.7156,1
2025-09-11,0.4245,0.5741,0.0014,1
2025-09-13,0.519,0.3967,0.0844,1
2025-09-16,0.0013,0.9852,0.0135,1
2025-09-18,0.4861,0.5112,0.0026,1
2025-09-26,0.0663,0.8599,0.0738,1
2025-09-27,0.105,0.8919,0.0032,1
2025-10-01,0.0012,0.9898,0.0091,1
2025-10-02,0.0985,0.8806,0.0209,1
2025-10-15,0.0042,0.0011,0.9947,1
