Thời gian,positive,neutral,negative,số_bài_báo
2024-01-09,0.0477,0.1055,0.8468,1
2024-01-16,0.0112,0.0184,0.9703,1
2024-01-17,0.0552,0.9202,0.0246,1
2024-01-18,0.0748,0.5007,0.4245,2
2024-01-19,0.0044,0.358,0.6376,1
2024-01-20,0.0255,0.0263,0.9483,1
2024-01-24,0.0092,0.9893,0.0015,1
2024-01-30,0.0152,0.1865,0.7983,1
2024-01-31,0.0054,0.2853,0.7093,1
2024-02-15,0.0012,0.9972,0.0016,1
2024-02-22,0.3878,0.4364,0.1758,1
2024-02-27,0.731,0.2531,0.0159,1
2024-02-28,0.1867,0.8096,0.0037,1
2024-03-05,0.1546,0.8357,0.0097,1
2024-03-27,0.2053,0.468,0.3267,2
2024-04-01,0.0008,0.9968,0.0025,1
2024-04-03,0.3495,0.6421,0.0085,1
2024-04-11,0.0012,0.9972,0.0016,1
2024-04-14,0.4551,0.5429,0.002,1
2024-04-17,0.5612,0.4359,0.0029,1
2024-04-19,0.0118,0.0463,0.9419,1
2024-04-23,0.1846,0.0127,0.8027,1
2024-04-25,0.3554,0.6278,0.0168,2
2024-05-02,0.1592,0.7421,0.0987,2
2024-05-04,0.0023,0.9963,0.0014,1
2024-05-07,0.3959,0.191,0.4131,2
2024-05-14,0.4953,0.4996,0.0052,2
2024-05-15,0.4277,0.4009,0.1714,1
2024-05-20,0.8828,0.1117,0.0055,2
2024-05-22,0.5964,0.4026,0.0011,1
2024-05-23,0.0008,0.9987,0.0005,1
2024-06-04,0.0018,0.9978,0.0005,1
2024-06-13,0.0025,0.9966,0.0009,1
2024-06-18,0.045,0.6291,0.3259,2
2024-06-21,0.0254,0.9234,0.0512,1
2024-06-25,0.4924,0.5009,0.0067,2
2024-07-01,0.0138,0.003,0.9832,1
2024-07-02,0.0405,0.0017,0.9579,1
2024-07-09,0.0017,0.9978,0.0005,1
2024-07-12,0.0015,0.998,0.0006,1
2024-07-18,0.0396,0.9586,0.0018,1
2024-07-26,0.0012,0.9972,0.0016,1
2024-07-30,0.0131,0.9387,0.0482,2
2024-08-06,0.0065,0.9925,0.001,1
2024-08-09,0.0065,0.9925,0.001,1
2024-08-30,0.0329,0.559,0.4081,1
2024-09-12,0.0007,0.9981,0.0012,1
2024-09-16,0.0021,0.9972,0.0007,1
2024-09-18,0.0006,0.9986,0.0007,1
2024-09-19,0.0036,0.9955,0.0009,1
2024-09-24,0.0056,0.9862,0.0082,1
2024-09-26,0.0099,0.0191,0.9709,1
2024-09-27,0.0008,0.9915,0.0077,1
2024-10-01,0.0158,0.9684,0.0158,1
2024-10-03,0.3058,0.4996,0.1946,1
2024-10-08,0.0105,0.9889,0.0006,2
2024-10-21,0.0018,0.9979,0.0003,1
2024-10-31,0.0294,0.6493,0.3214,1
2024-11-01,0.5449,0.4449,0.0102,1
2024-11-08,0.0185,0.3142,0.6673,1
2024-11-11,0.0079,0.9919,0.0002,1
2024-11-19,0.0136,0.9852,0.0012,2
2024-11-20,0.0011,0.9986,0.0003,1
2024-12-09,0.0008,0.9991,0.0001,1
2024-12-17,0.0027,0.9838,0.0135,3
2024-12-18,0.0036,0.9955,0.0009,1
2024-12-20,0.0212,0.9172,0.0616,1
2024-12-23,0.0009,0.9984,0.0008,2
2025-01-03,0.0029,0.9966,0.0004,1
2025-01-09,0.4392,0.5601,0.0007,1
2025-01-16,0.0619,0.9338,0.0043,1
2025-01-21,0.002,0.9894,0.0085,4
2025-01-22,0.0006,0.9988,0.0006,1
2025-01-24,0.0181,0.9465,0.0354,1
2025-02-03,0.0236,0.9722,0.0042,1
2025-02-10,0.0021,0.9938,0.004,1
2025-02-13,0.0025,0.9967,0.0009,1
