Thời gian,positive,neutral,negative,số_bài_báo
2024-01-11,0.0035,0.9961,0.0004,1
2024-01-15,0.0021,0.9872,0.0107,1
2024-01-16,0.0935,0.8546,0.0519,2
2024-01-17,0.1333,0.8656,0.0011,1
2024-01-23,0.051,0.9126,0.0365,1
2024-01-24,0.0138,0.9619,0.0243,1
2024-01-26,0.0047,0.0127,0.9826,1
2024-02-01,0.006,0.9878,0.0062,1
2024-02-06,0.039,0.9542,0.0068,1
2024-02-15,0.0729,0.7934,0.1337,4
2024-02-27,0.0787,0.4852,0.4361,3
2024-02-28,0.1188,0.5353,0.3459,2
2024-03-01,0.0379,0.93,0.0321,1
2024-03-07,0.0077,0.9462,0.0461,1
2024-03-14,0.0105,0.6087,0.3808,1
2024-03-18,0.0948,0.3006,0.6047,1
2024-04-02,0.94,0.0585,0.0015,1
2024-04-05,0.2367,0.7516,0.0117,2
2024-04-09,0.0862,0.9095,0.0043,1
2024-04-16,0.3851,0.5874,0.0276,1
2024-04-23,0.0023,0.9816,0.016,1
2024-05-17,0.5364,0.4494,0.0142,1
2024-05-22,0.5067,0.4907,0.0027,2
2024-05-29,0.0143,0.9711,0.0146,1
2024-06-04,0.0213,0.0558,0.9229,1
2024-06-18,0.0227,0.9712,0.0061,1
2024-06-19,0.0029,0.97,0.0271,1
2024-06-20,0.3454,0.6492,0.0053,2
2024-07-04,0.0105,0.9053,0.0842,1
2024-07-05,0.007,0.9088,0.0842,1
2024-07-11,0.0025,0.9959,0.0016,1
2024-07-24,0.0135,0.1063,0.8802,1
2024-07-31,0.0227,0.9511,0.0262,1
2024-08-15,0.0031,0.9409,0.056,2
2024-08-20,0.2167,0.0554,0.7279,1
2024-09-11,0.0258,0.8658,0.1084,4
2024-09-18,0.0804,0.0031,0.9165,1
2024-09-25,0.0219,0.6281,0.35,3
2024-09-26,0.0034,0.9961,0.0005,1
2024-10-31,0.0006,0.9987,0.0007,1
2024-11-01,0.2736,0.7147,0.0117,2
2024-11-05,0.0037,0.8875,0.1088,2
2024-11-06,0.0147,0.9691,0.0162,1
2024-11-15,0.1295,0.0089,0.8615,1
2024-11-26,0.011,0.7887,0.2003,2
2024-11-29,0.0199,0.896,0.0841,1
2024-12-03,0.5331,0.4532,0.0137,2
2024-12-11,0.9974,0.0002,0.0024,1
2024-12-17,0.0025,0.025,0.9724,1
2024-12-18,0.0077,0.987,0.0052,1
2024-12-23,0.9476,0.0448,0.0077,1
2024-12-31,0.2982,0.4243,0.2776,3
2025-01-06,0.3152,0.1144,0.5703,1
2025-01-07,0.2629,0.7171,0.02,2
2025-01-08,0.0054,0.9934,0.0012,1
2025-01-13,0.0199,0.896,0.0841,1
2025-02-04,0.961,0.028,0.011,1
2025-02-05,0.0111,0.9732,0.0157,1
2025-02-06,0.1063,0.014,0.8797,1
2025-02-14,0.0088,0.9562,0.035,1
2025-02-17,0.9965,0.0004,0.0031,1
2025-02-18,0.0162,0.6546,0.3292,1
2025-03-07,0.632,0.098,0.27,1
2025-03-19,0.1782,0.8185,0.0033,1
2025-03-20,0.0643,0.9315,0.0042,1
2025-03-25,0.214,0.7419,0.044,1
2025-03-27,0.4712,0.2691,0.2597,1
2025-04-09,0.4927,0.5062,0.001,1
2025-04-10,0.994,0.0008,0.0052,1
2025-04-11,0.0034,0.9032,0.0934,2
2025-04-18,0.5021,0.4558,0.0421,1
2025-04-24,0.9168,0.0169,0.0663,1
2025-05-05,0.0153,0.9643,0.0203,2
2025-05-06,0.1782,0.8185,0.0033,1
2025-05-08,0.0994,0.8625,0.0381,2
2025-05-12,0.2499,0.0189,0.7311,1
2025-05-15,0.9168,0.0169,0.0663,1
2025-05-16,0.2248,0.714,0.0612,1
2025-05-19,0.0272,0.7052,0.2677,1
2025-05-27,0.0134,0.9836,0.0029,1
2025-05-29,0.5484,0.4477,0.0039,1
2025-06-04,0.8441,0.1329,0.023,1
2025-06-07,0.4985,0.5008,0.0007,1
2025-06-09,0.052,0.9452,0.0028,1
2025-06-13,0.641,0.3577,0.0013,1
2025-06-16,0.6511,0.3477,0.0012,1
2025-06-17,0.4313,0.5669,0.0017,2
2025-06-20,0.9229,0.0746,0.0025,1
2025-06-23,0.7302,0.2086,0.0612,2
2025-07-04,0.4667,0.53,0.0033,1
2025-07-13,0.0586,0.9358,0.0056,1
2025-07-17,0.0021,0.997,0.001,1
2025-07-31,0.0122,0.9708,0.0169,2
2025-08-05,0.0089,0.9784,0.0127,1
2025-08-13,0.7289,0.2705,0.0006,1
2025-08-27,0.0182,0.946,0.0358,2
2025-09-11,0.0189,0.9727,0.0083,2
2025-09-12,0.0265,0.4488,0.5248,2
2025-09-21,0.7016,0.2975,0.0009,1
2025-09-22,0.0449,0.0294,0.9257,1
2025-10-09,0.0357,0.9555,0.0088,1
2025-10-15,0.0177,0.9072,0.0752,1
2025-10-20,0.506,0.3695,0.1245,1
2025-10-27,0.3039,0.6469,0.0492,3
