Thời gian,positive,neutral,negative,số_bài_báo
2024-01-05,0.6519,0.3435,0.0046,1
2024-01-10,0.9323,0.0419,0.0258,1
2024-01-31,0.5674,0.3326,0.1,2
2024-02-24,0.563,0.4185,0.0185,1
2024-02-28,0.497,0.4945,0.0086,2
2024-07-28,0.5201,0.4769,0.003,1
2024-08-14,0.0264,0.9102,0.0634,1
2024-08-15,0.9184,0.0794,0.0022,1
2024-08-30,0.7262,0.2726,0.0012,1
2024-10-23,0.5379,0.4604,0.0017,1
2024-11-01,0.9735,0.0209,0.0056,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-02-07,0.9938,0.0052,0.001,1
2025-02-09,0.6361,0.2229,0.141,1
2025-03-05,0.0946,0.8584,0.047,1
2025-03-06,0.0206,0.9645,0.0149,1
2025-03-08,0.9947,0.0034,0.002,1
2025-03-12,0.6416,0.35,0.0084,3
2025-04-26,0.7284,0.2558,0.0158,1
2025-05-16,0.0002,0.998,0.0018,1
2025-05-19,0.1634,0.8215,0.0151,1
2025-06-30,0.6628,0.2733,0.0639,1
2025-07-02,0.7646,0.2346,0.0008,1
2025-07-10,0.299,0.4429,0.2581,1
2025-07-14,0.4054,0.5713,0.0233,1
2025-08-02,0.6233,0.3757,0.001,1
2025-08-20,0.9871,0.0096,0.0032,1
2025-08-24,0.9345,0.065,0.0006,1
2025-08-25,0.1587,0.3716,0.4697,1
2025-08-27,0.982,0.0071,0.0109,1
2025-08-28,0.0026,0.0042,0.9933,1
2025-09-19,0.3602,0.4981,0.1417,1
2025-10-01,0.1207,0.8779,0.0014,1
2025-10-07,0.1128,0.8775,0.0096,1
