Thời gian,positive,neutral,negative,số_bài_báo
2024-01-04,0.8315,0.1676,0.0009,1
2024-01-20,0.8592,0.1359,0.0049,1
2024-01-22,0.7818,0.2177,0.0005,1
2024-01-29,0.9388,0.0517,0.0095,1
2024-01-31,0.9389,0.0587,0.0024,1
2024-02-01,0.6985,0.1775,0.124,1
2024-02-09,0.9976,0.0011,0.0013,1
2024-02-14,0.5271,0.1331,0.3398,1
2024-02-16,0.7287,0.2694,0.0019,1
2024-03-04,0.7382,0.2544,0.0073,1
2024-03-11,0.9726,0.0232,0.0041,1
2024-03-29,0.8465,0.1217,0.0319,1
2024-04-16,0.1766,0.5769,0.2465,1
2024-04-17,0.854,0.1454,0.0006,1
2024-04-22,0.812,0.1872,0.0009,1
2024-05-03,0.8528,0.1395,0.0077,1
2024-05-16,0.5925,0.3955,0.012,1
2024-07-12,0.6317,0.2837,0.0846,1
2024-07-20,0.0256,0.7144,0.26,1
2024-07-22,0.9226,0.0759,0.0015,1
2024-07-23,0.1665,0.355,0.4784,1
2024-08-01,0.6152,0.3662,0.0187,1
2024-08-23,0.9272,0.067,0.0058,1
2024-08-24,0.0554,0.9423,0.0023,1
2024-09-19,0.3937,0.5995,0.0068,1
2024-09-20,0.6235,0.3397,0.0369,1
2024-09-25,0.3578,0.6383,0.004,1
2024-09-29,0.1326,0.8433,0.0241,1
2024-10-19,0.6743,0.3236,0.0021,2
2024-12-09,0.6154,0.3825,0.002,1
2024-12-12,0.8529,0.0151,0.1321,1
2024-12-17,0.6373,0.3606,0.0021,1
2025-01-16,0.1641,0.8327,0.0032,1
2025-01-25,0.6156,0.3834,0.001,1
2025-02-14,0.7461,0.2013,0.0526,1
2025-02-15,0.6998,0.2883,0.0119,1
2025-02-16,0.8196,0.1799,0.0005,1
2025-02-19,0.479,0.4877,0.0333,1
2025-02-22,0.8089,0.185,0.0061,1
2025-03-04,0.932,0.067,0.001,1
2025-03-13,0.4947,0.5011,0.0042,2
2025-04-30,0.7393,0.2581,0.0025,1
2025-05-20,0.006,0.5003,0.4937,1
2025-07-02,0.4298,0.5684,0.0017,1
2025-07-10,0.0385,0.9316,0.03,1
2025-07-31,0.9812,0.018,0.0008,1
2025-08-18,0.5978,0.3865,0.0157,1
2025-08-25,0.9351,0.0641,0.0008,1
2025-09-20,0.9923,0.0042,0.0035,1
2025-10-01,0.5819,0.4171,0.001,1
2025-10-14,0.0679,0.93,0.0021,1
2025-10-15,0.3044,0.6874,0.0082,1
2025-10-20,0.6532,0.2872,0.0596,4
