Thời gian,Tiêu đề,URL,Nội dung,positive,neutral,negative
2025-10-10 00:00:00,DBC: Ông Trần Công Nam - Thành viên HĐQT đăng ký bán 103.500 cp,https://cafef.vn/du-lieu/DBC-2315617/dbc-ong-tran-cong-nam-thanh-vien-hdqt-dang-ky-ban-103500-cp.chn,,,,
2025-05-10 07:51:00,"Dabaco (DBC): Lãi 9 tháng ước tính gấp 2,5 lần cùng kỳ, ""về đích"" sớm kế hoạch năm 2025",https://cafef.vn/dabaco-dbc-lai-9-thang-uoc-tinh-gap-25-lan-cung-ky-ve-dich-som-ke-hoach-nam-2025-188251005075135295.chn,"Chủ tịch HĐQT DBC, Ông Nguyễn Như So, tại cuộc họp
Tại cuộc họp định kỳ ngày 03/10/2025, Hội đồng Quản trị CTCP Tập đoàn Dabaco Việt Nam đã thông qua các số liệu ước tính về kết quả hoạt động kinh doanh quý III và 9 tháng đầu năm 2025. Cụ thể, lợi nhuận sau thuế quý III ước đạt 342 tỷ đồng. Luỹ kế 9 tháng, con số này dự kiến đạt 1.357 tỷ đồng.
So với mức lợi nhuận 530 tỷ đồng của 9 tháng đầu năm 2024, kết quả ước tính của Dabaco cho thấy mức tăng trưởng khoảng 2,5 lần. Sau 3 quý, doanh nghiệp đã vượt khoảng 35% kế hoạch lợi nhuận được đặt ra cho cả năm 2025. Kết quả này được ghi nhận trong bối cảnh thị trường năm 2025 đối mặt với nhiều biến động như giá nguyên liệu đầu vào tăng cao và tình hình dịch bệnh trong chăn nuôi diễn biến phức tạp.
Động lực cho kết quả này đến từ mảng kinh doanh cốt lõi là thức ăn chăn nuôi và chăn nuôi gia súc. Theo Dabaco, công ty đã đảm bảo sản lượng tiêu thụ thức ăn chăn nuôi, đồng thời thực hiện công tác an toàn sinh học để bảo vệ tổng đàn.
Bên trong Khu chăn nuôi heo giống và heo thương phẩm của Dabaco Thanh Hoá. Ảnh.Dabaco
Trong mảng chăn nuôi heo, HĐQT Dabaco cũng đã thông qua chủ trương điều chỉnh tăng quy mô đầu tư, với mục tiêu mới là nâng tổng đàn lợn nái cơ bản lên 80.000 con và trên 2 triệu lợn thịt mỗi năm vào trước năm 2028. Bên cạnh đó, Dabaco cũng ghi nhận sự đóng góp từ các lĩnh vực sản xuất gà giống, dầu thực vật, thương mại dịch vụ và phân bón hữu cơ.
Về hoạt động đầu tư, Dabaco cho biết đang triển khai các dự án chiến lược. Trong quý III/2025, một loạt dự án đã được khởi công như Nhà máy thức ăn chăn nuôi Hà Tĩnh, Khu chăn nuôi lợn công nghệ cao tại Quảng Ninh và Ngọc Lặc (Thanh Hóa).
Doanh nghiệp cũng đang hoàn thiện thủ tục để khởi công các dự án tại Quảng Trị, Lào Cai, Lam Sơn Như Xuân trong quý IV/2025. Song song đó, nhà máy dầu thực vật giai đoạn II đang trong quá trình lắp đặt và dự kiến khánh thành vào cuối năm nay.
Đối với quý IV/2025, doanh nghiệp xác định các nhiệm vụ trọng tâm bao gồm việc đảm bảo an toàn dịch bệnh, tiết kiệm chi phí, ứng dụng khoa học công nghệ để nâng cao năng suất. Đồng thời, Dabaco sẽ tiếp tục mở rộng thị trường tiêu thụ sản phẩm, hướng tới khu vực Châu Á và khai thác nhu cầu của thị trường nội địa cho dịp Tết Nguyên đán 2026.",0.9507578650974943,0.048173800285340775,0.0010683056404592003
,Những doanh nghiệp đầu tiên báo lãi lớn quý III/2025,https://cafef.vn/nhung-doanh-nghiep-dau-tien-bao-lai-lon-quy-iii2025-188250929103022025.chn,,,,
2025-05-09 00:00:00,DBC: Báo cáo tiến độ sử dụng vốn thu được từ đợt chào bán,https://cafef.vn/du-lieu/DBC-2291046/dbc-bao-cao-tien-do-su-dung-von-thu-duoc-tu-dot-chao-ban.chn,,,,
,DBC: Giải trình chênh lệch LNST trên BCTC Hợp nhất và Công ty mẹ bán niên năm 2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/DBC-2288216/dbc-giai-trinh-chenh-lech-lnst-tren-bctc-hop-nhat-va-cong-ty-me-ban-nien-nam-2025-so-voi-cung-ky-nam-truoc.chn,,,,
,"DBC: 27.8.2025, niêm yết bổ sung 50.197.522 cp",https://cafef.vn/du-lieu/DBC-2282433/dbc-2782025-niem-yet-bo-sung-50197522-cp.chn,,,,
,"DBC: 4.9.2025, giao dịch 50.197.522 cp niêm yết bổ sung",https://cafef.vn/du-lieu/DBC-2282443/dbc-492025-giao-dich-50197522-cp-niem-yet-bo-sung.chn,,,,
,DBC: CBTT nhận chuyển nhượng cổ phần của CNC Lam Sơn Như Xuân,https://cafef.vn/du-lieu/DBC-2278256/dbc-cbtt-nhan-chuyen-nhuong-co-phan-cua-cnc-lam-son-nhu-xuan.chn,,,,
,DBC: Ông Lê Quốc Đoàn - Thành viên HĐQT đã bán 500.000 cp,https://cafef.vn/du-lieu/DBC-2277613/dbc-ong-le-quoc-doan-thanh-vien-hdqt-da-ban-500000-cp.chn,,,,
,DBC: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 25,https://cafef.vn/du-lieu/DBC-2275479/dbc-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-25.chn,,,,
,DBC: Quyết định của HĐQT về việc thay đổi mẫu con dấu của Công ty,https://cafef.vn/du-lieu/DBC-2275499/dbc-quyet-dinh-cua-hdqt-ve-viec-thay-doi-mau-con-dau-cua-cong-ty.chn,,,,
,DBC: Quyết định của HĐQT về việc đăng ký thay đổi vốn Điều lệ công ty,https://cafef.vn/du-lieu/DBC-2270669/dbc-quyet-dinh-cua-hdqt-ve-viec-dang-ky-thay-doi-von-dieu-le-cong-ty.chn,,,,
,DBC: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 384.866.667 cp,https://cafef.vn/du-lieu/DBC-2270536/dbc-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-384866667-cp.chn,,,,
,DBC: Đã phát hành 50.197.522 cổ phiếu để trả cổ tức năm 2024,https://cafef.vn/du-lieu/DBC-2270537/dbc-da-phat-hanh-50197522-co-phieu-de-tra-co-tuc-nam-2024.chn,,,,
2025-12-08 20:24:00,Lãnh đạo Dabaco Việt Nam đăng ký bán nửa triệu cổ phiếu DBC sau đà tăng 60% trong 4 tháng,https://cafef.vn/lanh-dao-dabaco-viet-nam-dang-ky-ban-nua-trieu-co-phieu-dbc-sau-da-tang-60-trong-4-thang-188250812202410675.chn,,,,
,"DBC: 7.8.2025, ngày GDKHQ trả cổ tức năm 2024 bằng cổ phiếu (tỷ lệ 100:15)",https://cafef.vn/du-lieu/DBC-2270538/dbc-782025-ngay-gdkhq-tra-co-tuc-nam-2024-bang-co-phieu-ty-le-10015.chn,,,,
,Doanh nghiệp chăn nuôi lãi 'khủng' bất chấp dịch tả lợn châu Phi,https://cafef.vn/doanh-nghiep-chan-nuoi-lai-khung-bat-chap-dich-ta-lon-chau-phi-188250730081343103.chn,,,,
,"Vaccine bảo hộ hiệu quả giữa bão dịch tả lợn, Dabaco (DBC) báo lãi quý 2 tăng trưởng 250%",https://cafef.vn/vaccine-bao-ho-hieu-qua-giua-bao-dich-ta-lon-dabaco-dbc-bao-lai-quy-2-tang-truong-250-188250728225321445.chn,,,,
,DBC: Báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,https://cafef.vn/du-lieu/DBC-2282498/dbc-bao-cao-tinh-hinh-quan-tri-cong-ty-06-thang-dau-nam-2025.chn,,,,
,DBC: Giải trình chênh lệch LNST BCTC HN và Công ty mẹ quý 2/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/DBC-2270701/dbc-giai-trinh-chenh-lech-lnst-bctc-hn-va-cong-ty-me-quy-22025-so-voi-cung-ky-nam-truoc.chn,,,,
,"Dabaco phát hành hơn 50 triệu cổ phiếu trả cổ tức, Chủ tịch Nguyễn Như So nhận về bao nhiêu?",https://cafef.vn/dabaco-phat-hanh-hon-50-trieu-co-phieu-tra-co-tuc-chu-tich-nguyen-nhu-so-nhan-ve-bao-nhieu-188250725135328333.chn,,,,
,"Dabaco (DBC) nộp tài liệu chia cổ tức, chuẩn bị phát hành hơn 50 triệu cổ phiếu",https://cafef.vn/dabaco-dbc-nop-tai-lieu-chia-co-tuc-chuan-bi-phat-hanh-hon-50-trieu-co-phieu-188250724090624704.chn,,,,
,DBC: Quyết định của HĐQT về ngày ĐKCC để thực hiện quyền nhận cổ tức năm 2024 bằng cổ phiếu,https://cafef.vn/du-lieu/DBC-2255646/dbc-quyet-dinh-cua-hdqt-ve-ngay-dkcc-de-thuc-hien-quyen-nhan-co-tuc-nam-2024-bang-co-phieu.chn,,,,
,DBC: Thông báo phát hành cổ phiếu để trả cổ tức 2024,https://cafef.vn/du-lieu/DBC-2255671/dbc-thong-bao-phat-hanh-co-phieu-de-tra-co-tuc-2024.chn,,,,
