Thời gian,positive,neutral,negative,số_bài_báo
2024-03-01,0.2842,0.5868,0.129,1
2024-03-04,0.5274,0.471,0.0015,1
2024-04-02,0.8139,0.1826,0.0035,1
2024-05-02,0.6577,0.3396,0.0028,1
2024-07-05,0.3769,0.6222,0.0009,1
2024-08-08,0.6331,0.3654,0.0015,2
2024-10-01,0.2789,0.6783,0.0429,1
2024-11-05,0.6703,0.2528,0.0769,1
2024-11-07,0.2273,0.7543,0.0185,1
2025-01-02,0.8522,0.1436,0.0042,1
2025-01-04,0.7657,0.2331,0.0011,2
2025-01-07,0.9323,0.0669,0.0008,1
2025-02-04,0.0812,0.6582,0.2606,1
2025-02-05,0.8221,0.169,0.0089,1
2025-04-06,0.263,0.2847,0.4523,1
2025-05-10,0.9508,0.0482,0.0011,1
2025-06-03,0.2711,0.7181,0.0108,1
2025-07-01,0.9656,0.0336,0.0008,1
2025-07-03,0.3215,0.6648,0.0137,1
2025-08-01,0.75,0.0852,0.1648,1
2025-09-07,0.8244,0.1741,0.0016,1
2025-10-04,0.9818,0.0178,0.0004,1
