Thời gian,positive,neutral,negative,số_bài_báo
2024-01-03,0.0016,0.0028,0.9957,1
2024-01-04,0.0283,0.3599,0.6118,2
2024-01-12,0.2312,0.765,0.0038,1
2024-01-30,0.6745,0.3242,0.0013,1
2024-02-02,0.4247,0.5544,0.0209,2
2024-02-08,0.4741,0.5241,0.0018,1
2024-02-16,0.0977,0.8794,0.0229,1
2024-03-19,0.4476,0.402,0.1504,1
2024-03-31,0.3279,0.6635,0.0085,1
2024-04-04,0.6448,0.2622,0.093,1
2024-04-05,0.0432,0.8263,0.1305,1
2024-04-08,0.8369,0.1618,0.0012,1
2024-04-22,0.3687,0.6288,0.0025,1
2024-04-26,0.4659,0.5305,0.0036,1
2024-04-29,0.5328,0.3524,0.1148,3
2024-06-22,0.4494,0.2498,0.3008,1
2024-07-07,0.2201,0.7483,0.0316,1
2024-07-28,0.6817,0.2915,0.0268,1
2024-08-11,0.9359,0.0498,0.0143,2
2024-08-12,0.6077,0.2212,0.1711,1
2024-08-18,0.5372,0.3376,0.1252,1
2024-08-19,0.5443,0.4554,0.0003,1
2024-08-20,0.9511,0.0454,0.0035,1
2024-08-28,0.1943,0.4132,0.3925,2
2024-08-29,0.1638,0.5937,0.2425,1
2024-09-03,0.3194,0.4281,0.2524,1
2024-09-13,0.4669,0.5321,0.001,1
2024-09-20,0.3568,0.6425,0.0007,1
2024-10-16,0.6955,0.303,0.0015,1
2024-11-10,0.5443,0.4546,0.001,1
2024-11-20,0.4191,0.5727,0.0082,1
2024-11-24,0.5582,0.4197,0.022,1
2024-12-16,0.3505,0.6472,0.0023,1
2024-12-22,0.0809,0.9168,0.0023,1
2024-12-23,0.0118,0.9879,0.0003,1
2024-12-25,0.0931,0.8983,0.0086,1
2024-12-28,0.5771,0.4065,0.0164,1
2025-01-02,0.764,0.2338,0.0021,1
2025-03-11,0.133,0.8626,0.0044,1
2025-03-17,0.276,0.6616,0.0624,1
2025-03-28,0.3035,0.6836,0.0129,1
2025-04-08,0.199,0.7952,0.0057,1
2025-04-09,0.0849,0.9132,0.0019,1
2025-04-10,0.0801,0.9101,0.0099,1
2025-04-15,0.4465,0.5517,0.0019,1
2025-04-21,0.8652,0.1334,0.0014,1
2025-04-23,0.0054,0.994,0.0006,1
2025-05-01,0.1593,0.4391,0.4017,2
2025-05-03,0.0677,0.9305,0.0018,1
2025-05-16,0.0535,0.7585,0.188,1
2025-06-19,0.9065,0.0913,0.0023,1
2025-06-30,0.1652,0.8292,0.0055,1
2025-07-30,0.446,0.5041,0.0499,1
2025-08-11,0.5588,0.108,0.3332,1
2025-08-17,0.2933,0.6951,0.0116,1
2025-09-01,0.6984,0.1697,0.1319,1
2025-09-18,0.3324,0.6666,0.001,1
2025-09-19,0.6248,0.3747,0.0005,1
2025-09-28,0.4292,0.4995,0.0713,2
2025-09-29,0.679,0.3184,0.0026,1
2025-10-16,0.0245,0.9492,0.0262,1
