Thời gian,positive,neutral,negative,số_bài_báo
2024-01-10,0.5143,0.4852,0.0005,1
2024-01-11,0.312,0.6872,0.0008,1
2024-01-17,0.3527,0.6462,0.0011,1
2024-01-26,0.4848,0.5138,0.0014,1
2024-01-29,0.5912,0.3911,0.0177,1
2024-02-01,0.4895,0.5083,0.0022,1
2024-02-06,0.7403,0.2536,0.0061,1
2024-02-26,0.3685,0.3104,0.3211,1
2024-02-27,0.5297,0.4671,0.0032,3
2024-02-28,0.8526,0.146,0.0014,1
2024-03-01,0.5798,0.4188,0.0015,1
2024-03-04,0.5743,0.4185,0.0072,1
2024-03-18,0.7898,0.1803,0.03,3
2024-03-19,0.7784,0.1963,0.0252,2
2024-03-20,0.112,0.8872,0.0008,1
2024-03-27,0.1014,0.5097,0.3889,1
2024-04-06,0.3335,0.6541,0.0124,1
2024-04-07,0.4034,0.5944,0.0022,1
2024-04-10,0.6644,0.3328,0.0027,1
2024-04-13,0.6203,0.3762,0.0035,1
2024-04-15,0.2446,0.7411,0.0143,1
2024-04-21,0.4094,0.5794,0.0112,1
2024-05-09,0.5413,0.4002,0.0586,1
2024-05-13,0.2064,0.456,0.3376,1
2024-05-29,0.1009,0.8941,0.005,1
2024-06-05,0.2099,0.6371,0.153,1
2024-06-06,0.3422,0.6535,0.0043,1
2024-06-17,0.2936,0.7003,0.0061,1
2024-06-26,0.9392,0.0537,0.0071,1
2024-06-27,0.9439,0.0557,0.0004,1
2024-07-26,0.843,0.144,0.0129,1
2024-08-21,0.063,0.9078,0.0292,1
2024-09-16,0.053,0.9447,0.0023,1
2024-10-26,0.1475,0.2044,0.648,1
2024-10-30,0.6209,0.3784,0.0006,1
2024-11-25,0.6466,0.3158,0.0376,1
2025-01-16,0.979,0.0204,0.0006,1
2025-01-23,0.5925,0.4065,0.001,1
2025-02-04,0.8221,0.1333,0.0446,1
2025-02-21,0.0208,0.9767,0.0025,1
2025-02-24,0.2956,0.702,0.0024,1
2025-02-26,0.274,0.7181,0.0079,1
2025-03-18,0.4822,0.3255,0.1924,4
2025-03-21,0.5866,0.4052,0.0082,1
2025-04-01,0.0027,0.9949,0.0024,1
2025-04-04,0.1749,0.8186,0.0064,1
2025-04-09,0.156,0.8277,0.0163,1
2025-04-17,0.35,0.6492,0.0008,1
2025-04-18,0.4966,0.4992,0.0042,1
2025-04-23,0.8299,0.1693,0.0008,1
2025-05-07,0.1625,0.5059,0.3316,1
2025-05-14,0.6538,0.3453,0.001,1
2025-06-02,0.7556,0.244,0.0003,1
2025-06-04,0.4251,0.572,0.0029,1
2025-06-11,0.8561,0.1431,0.0008,2
2025-06-30,0.6123,0.3857,0.0021,1
2025-07-02,0.7044,0.2944,0.0012,1
2025-07-11,0.6044,0.3579,0.0377,2
2025-07-15,0.8796,0.1198,0.0005,1
2025-08-05,0.7897,0.2099,0.0004,1
2025-08-06,0.8535,0.1407,0.0058,1
2025-08-22,0.8126,0.1864,0.001,1
2025-08-29,0.7949,0.2048,0.0003,1
2025-09-03,0.5485,0.4479,0.0035,1
2025-09-07,0.6758,0.1012,0.223,1
2025-10-04,0.4757,0.5174,0.0069,1
2025-10-15,0.8931,0.1054,0.0015,1
