Thời gian,positive,neutral,negative,số_bài_báo
2024-02-04,0.3708,0.3131,0.3161,1
2024-02-12,0.0027,0.0025,0.9948,1
2024-03-06,0.7219,0.173,0.105,1
2024-03-20,0.112,0.8872,0.0008,1
2024-04-09,0.6682,0.3259,0.0059,1
2024-04-12,0.3043,0.6354,0.0603,1
2024-04-17,0.477,0.4922,0.0308,1
2024-05-02,0.4991,0.495,0.0059,1
2024-05-29,0.1009,0.8941,0.005,1
2024-06-17,0.2936,0.7003,0.0061,1
2024-08-01,0.3146,0.2038,0.4816,1
2024-08-21,0.063,0.9078,0.0292,1
2024-09-24,0.7896,0.2077,0.0028,1
2024-10-03,0.5499,0.4416,0.0085,1
2024-10-30,0.1942,0.2567,0.5491,1
2024-12-30,0.0853,0.0399,0.8748,1
2025-01-31,0.0499,0.5387,0.4114,1
2025-04-21,0.3461,0.479,0.1749,1
2025-04-29,0.0616,0.3491,0.5893,1
2025-05-15,0.192,0.7311,0.0769,1
2025-05-28,0.4839,0.4829,0.0332,1
2025-08-13,0.0496,0.0708,0.8796,1
2025-09-09,0.7165,0.1756,0.1079,1
2025-09-16,0.0843,0.0555,0.8602,1
2025-09-17,0.0281,0.6355,0.3364,2
2025-09-26,0.304,0.6951,0.0009,1
