Thời gian,positive,neutral,negative,số_bài_báo
2020-01-20,0.3036,0.693,0.0034,1
2020-02-08,0.3537,0.6056,0.0407,1
2020-02-14,0.2014,0.793,0.0056,1
2020-02-18,0.0968,0.8976,0.0056,1
2020-03-08,0.3779,0.3991,0.2229,1
2020-03-12,0.0642,0.9346,0.0012,1
2020-04-06,0.088,0.9054,0.0066,1
2020-04-20,0.1262,0.8597,0.0141,1
2020-06-03,0.65,0.3478,0.0022,1
2020-06-27,0.5038,0.257,0.2391,1
2020-07-10,0.1905,0.8072,0.0023,1
2020-07-11,0.0006,0.9992,0.0002,1
2020-07-16,0.6406,0.3266,0.0328,1
2020-07-20,0.4048,0.593,0.0022,2
2020-07-27,0.7474,0.1981,0.0545,1
2020-07-31,0.9119,0.0874,0.0007,1
2020-09-15,0.2519,0.5897,0.1585,1
2020-10-14,0.2892,0.7095,0.0014,1
2020-10-19,0.8508,0.1475,0.0017,2
2020-11-20,0.5314,0.4676,0.001,1
2020-12-27,0.9347,0.0647,0.0006,1
2021-01-20,0.6086,0.3359,0.0556,2
2021-02-14,0.5098,0.3672,0.1229,1
2021-03-05,0.2095,0.7853,0.0052,1
2021-03-16,0.7735,0.221,0.0055,1
2021-03-25,0.0796,0.895,0.0254,1
2021-04-05,0.6065,0.3931,0.0004,1
2021-04-19,0.7644,0.2043,0.0313,1
2021-04-29,0.4967,0.503,0.0003,1
2021-05-20,0.9774,0.0217,0.0009,1
2021-05-22,0.6758,0.3017,0.0225,1
2021-05-25,0.4977,0.5006,0.0017,1
2021-05-31,0.2228,0.5914,0.1858,1
2021-06-01,0.6364,0.3606,0.003,1
2021-06-04,0.128,0.87,0.002,1
2021-06-05,0.0019,0.9976,0.0005,1
2021-06-13,0.1558,0.8393,0.0049,1
2021-07-04,0.8912,0.104,0.0048,1
2021-07-06,0.3385,0.2413,0.4202,1
2021-07-15,0.5512,0.3603,0.0884,1
2021-07-20,0.9882,0.0109,0.0008,1
2021-07-26,0.7503,0.2487,0.0009,1
2021-08-13,0.6684,0.3304,0.0012,1
2021-08-14,0.2114,0.625,0.1636,1
2021-08-20,0.3155,0.674,0.0105,1
2021-08-21,0.2569,0.738,0.0051,1
2021-09-05,0.0666,0.9285,0.0048,1
2021-09-20,0.9345,0.0552,0.0104,1
2021-10-06,0.517,0.4761,0.0069,1
2021-10-09,0.6662,0.22,0.1139,1
2021-10-18,0.9275,0.0569,0.0155,1
2021-11-03,0.0421,0.9565,0.0014,1
2021-11-05,0.6173,0.2048,0.1779,1
2021-11-10,0.6108,0.1968,0.1924,1
2021-11-17,0.2753,0.65,0.0747,2
2021-11-18,0.3436,0.6184,0.038,1
2021-11-25,0.9898,0.0091,0.001,1
2021-12-01,0.3028,0.4699,0.2274,1
2021-12-02,0.6079,0.3892,0.0029,1
2021-12-25,0.0815,0.917,0.0015,1
2021-12-31,0.4951,0.4974,0.0076,1
2022-01-11,0.6251,0.3737,0.0011,1
2022-01-19,0.6884,0.3107,0.0009,2
2022-02-10,0.4099,0.5894,0.0008,1
2022-04-04,0.6617,0.3242,0.0141,2
2022-04-06,0.3707,0.3873,0.242,1
2022-04-09,0.7682,0.2311,0.0006,1
2022-04-13,0.7818,0.2175,0.0007,1
2022-04-20,0.904,0.0949,0.0011,1
2022-05-05,0.036,0.7129,0.2511,1
2022-05-07,0.4077,0.3166,0.2756,2
2022-05-18,0.5326,0.4418,0.0256,1
2022-06-03,0.7174,0.2813,0.0013,1
2022-06-05,0.1332,0.8594,0.0074,1
2022-06-10,0.1701,0.8236,0.0062,1
2022-08-09,0.9705,0.0288,0.0007,1
2022-08-21,0.1246,0.6461,0.2293,1
2022-08-26,0.3261,0.6729,0.001,1
2022-09-11,0.2868,0.6376,0.0757,1
2022-09-21,0.4486,0.5477,0.0037,1
2022-09-22,0.4303,0.5662,0.0036,1
2022-10-20,0.0976,0.5615,0.3409,1
2022-10-25,0.1454,0.6571,0.1975,1
2022-11-02,0.304,0.5057,0.1903,1
2022-11-16,0.4307,0.5638,0.0055,1
2023-02-09,0.7237,0.2752,0.0011,1
2023-03-09,0.3131,0.685,0.0019,1
2023-06-12,0.674,0.3192,0.0068,1
2023-07-01,0.7319,0.2637,0.0044,1
2023-07-19,0.3307,0.6219,0.0474,1
2023-09-25,0.1896,0.6791,0.1312,1
2023-10-18,0.9366,0.0424,0.0209,1
2023-11-23,0.6261,0.3683,0.0056,1
2023-12-04,0.7563,0.2427,0.001,1
2023-12-21,0.504,0.4952,0.0008,1
2024-01-05,0.1998,0.7864,0.0138,1
2024-01-18,0.7847,0.2129,0.0024,1
2024-02-20,0.7801,0.2189,0.001,1
2024-03-19,0.7166,0.2727,0.0107,1
2024-04-17,0.8783,0.1204,0.0012,1
2024-04-25,0.4648,0.5333,0.0019,1
2024-04-26,0.8383,0.1609,0.0008,1
2024-07-18,0.8798,0.1168,0.0034,1
2024-08-06,0.8582,0.141,0.0008,1
2024-10-13,0.8888,0.1102,0.001,1
2024-10-18,0.7882,0.2068,0.005,1
2024-12-25,0.6215,0.3774,0.0011,1
2025-09-08,0.5979,0.401,0.0012,1
2025-09-10,0.434,0.5605,0.0055,1
2025-09-12,0.0214,0.9773,0.0013,1
