Thời gian,positive,neutral,negative,số_bài_báo
2020-01-10,0.8785,0.0132,0.1083,1
2020-01-12,0.7607,0.2384,0.0009,1
2020-01-21,0.721,0.1947,0.0842,1
2020-01-30,0.9944,0.0047,0.0009,1
2020-02-06,0.1471,0.8292,0.0238,1
2020-02-25,0.3422,0.5386,0.1192,1
2020-03-25,0.0457,0.9354,0.0189,1
2020-04-10,0.9791,0.011,0.0098,1
2020-04-15,0.2751,0.7111,0.0138,1
2020-04-20,0.0125,0.1112,0.8763,1
2020-05-04,0.7371,0.2559,0.007,1
2020-06-17,0.0886,0.9081,0.0033,1
2020-06-26,0.3602,0.551,0.0888,4
2020-07-11,0.9629,0.0363,0.0009,1
2020-07-30,0.4866,0.3593,0.1541,1
2020-08-05,0.5734,0.2432,0.1834,1
2020-08-19,0.9888,0.0084,0.0028,1
2020-10-10,0.2275,0.7703,0.0022,1
2020-10-21,0.2337,0.0751,0.6913,1
2020-10-28,0.6945,0.1354,0.1701,1
2020-11-02,0.4228,0.2482,0.329,1
2020-11-04,0.8839,0.1087,0.0074,1
2020-12-09,0.0156,0.9722,0.0122,1
2020-12-11,0.2859,0.7106,0.0035,1
2020-12-15,0.4292,0.5374,0.0334,4
2020-12-21,0.1397,0.8569,0.0034,1
2021-01-17,0.3427,0.4371,0.2202,1
2021-01-21,0.5335,0.3199,0.1465,1
2021-01-25,0.42,0.5272,0.0528,1
2021-02-05,0.0833,0.9042,0.0124,1
2021-02-14,0.5098,0.3672,0.1229,1
2021-02-16,0.4024,0.4842,0.1134,1
2021-02-22,0.3185,0.613,0.0685,1
2021-03-01,0.6845,0.3121,0.0035,1
2021-04-04,0.7516,0.2441,0.0043,1
2021-04-23,0.6172,0.3731,0.0097,2
2021-05-12,0.5212,0.4705,0.0083,1
2021-05-26,0.9857,0.0136,0.0007,1
2021-06-18,0.7694,0.2246,0.006,2
2021-07-01,0.7014,0.2971,0.0014,1
2021-07-02,0.9031,0.0891,0.0078,1
2021-07-03,0.8561,0.1255,0.0184,1
2021-07-05,0.5997,0.3992,0.0012,1
2021-07-08,0.8165,0.1723,0.0112,1
2021-07-09,0.7726,0.2262,0.0012,1
2021-07-12,0.8615,0.1373,0.0013,1
2021-07-19,0.8705,0.1228,0.0067,1
2021-07-30,0.1596,0.8006,0.0399,1
2021-08-03,0.4207,0.3876,0.1917,1
2021-08-04,0.6113,0.3385,0.0503,2
2021-08-16,0.7491,0.2151,0.0358,1
2021-08-19,0.3649,0.6336,0.0015,1
2021-08-25,0.2925,0.7046,0.0029,1
2021-08-30,0.1699,0.8282,0.002,1
2021-09-02,0.9085,0.0896,0.0019,1
2021-09-16,0.5597,0.4353,0.005,2
2021-09-18,0.6302,0.202,0.1678,1
2021-09-20,0.9843,0.0101,0.0056,1
2021-09-30,0.0265,0.7571,0.2164,1
2021-10-08,0.4962,0.393,0.1108,1
2021-10-10,0.3567,0.3295,0.3139,1
2021-10-23,0.4303,0.5647,0.0051,1
2021-10-24,0.7626,0.2322,0.0051,1
2021-10-29,0.5408,0.3782,0.081,1
2021-10-30,0.8459,0.1111,0.043,1
2021-11-01,0.5175,0.1798,0.3028,1
2021-11-05,0.5217,0.3841,0.0942,2
2021-11-07,0.3725,0.3417,0.2857,1
2021-11-09,0.4758,0.5217,0.0025,1
2021-11-12,0.0496,0.9152,0.0352,1
2021-12-01,0.5316,0.3111,0.1573,1
2021-12-09,0.0487,0.8069,0.1444,1
2021-12-17,0.0016,0.9981,0.0004,1
2021-12-19,0.0242,0.9733,0.0025,1
2022-01-10,0.4865,0.4916,0.0219,1
2022-01-12,0.9062,0.092,0.0018,1
2022-01-25,0.6514,0.3467,0.002,1
2022-01-29,0.6085,0.3024,0.0892,1
2022-04-12,0.3655,0.6332,0.0012,1
2022-04-15,0.6765,0.32,0.0035,2
2022-04-22,0.5131,0.4764,0.0104,1
2022-04-27,0.9138,0.0847,0.0014,1
2022-04-29,0.5868,0.3733,0.0399,4
2022-05-04,0.6324,0.3589,0.0087,1
2022-05-05,0.6041,0.367,0.029,1
