Thời gian,positive,neutral,negative,số_bài_báo
2024-01-03,0.2434,0.7561,0.0006,1
2024-01-09,0.9975,0.0023,0.0002,1
2024-01-30,0.9933,0.0063,0.0004,1
2024-02-05,0.2785,0.2899,0.4316,1
2024-02-12,0.4963,0.5023,0.0014,1
2024-02-19,0.8194,0.1725,0.008,2
2024-02-20,0.7403,0.2241,0.0356,1
2024-02-26,0.4643,0.5349,0.0008,2
2024-02-28,0.5009,0.4974,0.0017,1
2024-03-25,0.609,0.3029,0.088,2
2024-03-27,0.2187,0.2769,0.5044,2
2024-04-03,0.7168,0.2823,0.0009,2
2024-04-08,0.8369,0.1618,0.0012,1
2024-04-09,0.635,0.3633,0.0018,1
2024-04-16,0.1766,0.5769,0.2465,1
2024-04-17,0.4714,0.5272,0.0014,1
2024-04-24,0.6657,0.2317,0.1026,3
2024-04-26,0.9428,0.0565,0.0007,1
2024-05-10,0.5761,0.4231,0.0008,1
2024-05-16,0.9658,0.0333,0.0008,1
2024-05-17,0.5061,0.4927,0.0013,1
2024-05-23,0.9956,0.0041,0.0003,1
2024-06-28,0.8464,0.1498,0.0038,1
2024-06-29,0.5244,0.4747,0.0009,1
2024-07-02,0.9215,0.0756,0.0029,1
2024-07-18,0.9883,0.0111,0.0006,1
2024-07-22,0.8331,0.1653,0.0016,1
2024-07-25,0.8325,0.1613,0.0062,1
2024-08-07,0.4848,0.5127,0.0026,2
2024-08-13,0.782,0.2147,0.0033,1
2024-08-15,0.9184,0.0794,0.0022,1
2024-08-16,0.3119,0.6851,0.003,1
2024-08-22,0.8476,0.15,0.0024,1
2024-08-24,0.8214,0.1782,0.0005,1
2024-08-27,0.7062,0.2911,0.0028,1
2024-09-02,0.4946,0.5045,0.0009,1
2024-09-16,0.8231,0.1764,0.0006,1
2024-09-17,0.749,0.25,0.001,1
2024-09-21,0.552,0.4449,0.0031,1
2024-09-23,0.428,0.2645,0.3075,1
2024-09-24,0.5182,0.4676,0.0143,1
2024-10-05,0.1579,0.5282,0.3139,1
