Thời gian,positive,neutral,negative,số_bài_báo
2021-09-07,0.5672,0.4266,0.0063,1
2021-09-12,0.9653,0.0342,0.0005,1
2021-09-15,0.9641,0.0352,0.0007,1
2021-09-20,0.6683,0.3312,0.0006,1
2021-09-21,0.4488,0.547,0.0042,1
2021-09-29,0.5945,0.4044,0.001,1
2021-10-21,0.0706,0.9287,0.0007,1
2021-10-30,0.9772,0.022,0.0009,1
2021-11-03,0.2248,0.7681,0.0071,1
2021-11-05,0.6173,0.2048,0.1779,1
2021-11-11,0.7732,0.2261,0.0007,1
2021-11-30,0.5742,0.2632,0.1626,2
2021-12-04,0.9736,0.0257,0.0007,1
2021-12-05,0.5999,0.3964,0.0037,1
2021-12-21,0.3901,0.6091,0.0008,1
2021-12-24,0.977,0.0221,0.0009,1
2024-01-06,0.991,0.0087,0.0003,1
2024-01-10,0.6179,0.3097,0.0724,1
2024-01-14,0.9962,0.0034,0.0004,1
2024-01-23,0.47,0.5295,0.0006,1
2024-01-31,0.9062,0.0927,0.0012,3
2024-02-16,0.9728,0.0261,0.0011,2
2024-02-19,0.9461,0.0528,0.0011,2
2024-02-20,0.7403,0.2241,0.0356,1
2024-02-21,0.9931,0.0065,0.0004,1
2024-02-22,0.9514,0.0475,0.0011,1
2024-02-24,0.079,0.5518,0.3692,1
2024-02-28,0.7997,0.1998,0.0005,1
2024-03-03,0.866,0.1334,0.0006,1
2024-03-11,0.3793,0.583,0.0376,1
2024-03-19,0.6709,0.2892,0.0399,1
2024-04-01,0.6699,0.3293,0.0008,2
2024-04-03,0.9414,0.0579,0.0007,1
2024-04-05,0.9726,0.0269,0.0005,1
2024-04-10,0.7835,0.2009,0.0156,2
2024-04-14,0.8094,0.1891,0.0015,1
2024-04-15,0.1362,0.6361,0.2278,1
2024-04-17,0.6817,0.2011,0.1172,1
2024-04-22,0.5408,0.4538,0.0053,1
2024-04-24,0.6372,0.2698,0.093,1
2024-04-25,0.8982,0.0961,0.0057,3
2024-04-26,0.6878,0.2167,0.0956,2
2024-05-01,0.8067,0.1914,0.0019,1
2024-05-14,0.9203,0.0551,0.0247,2
2024-05-28,0.9255,0.0738,0.0007,1
2024-05-30,0.9511,0.0485,0.0004,1
2024-06-06,0.4611,0.4126,0.1263,1
2024-06-08,0.9258,0.0737,0.0005,1
2024-06-21,0.8853,0.1139,0.0007,1
2024-07-01,0.9282,0.0714,0.0004,1
2024-07-11,0.3645,0.62,0.0155,1
2024-07-19,0.9917,0.0078,0.0006,1
2024-07-21,0.9851,0.0136,0.0013,1
2024-07-22,0.8201,0.169,0.0108,1
2024-08-02,0.8935,0.0803,0.0262,1
2024-08-07,0.4604,0.5381,0.0015,1
2024-08-12,0.7791,0.2188,0.0021,1
2024-08-15,0.9184,0.0794,0.0022,1
2024-08-22,0.7886,0.2109,0.0005,1
2024-08-27,0.7062,0.2911,0.0028,1
2024-08-28,0.651,0.3479,0.0012,1
2024-08-29,0.7044,0.2943,0.0013,1
2024-09-01,0.3186,0.42,0.2615,1
2024-09-04,0.538,0.459,0.003,2
2024-09-05,0.9245,0.0749,0.0006,1
2024-09-06,0.6266,0.366,0.0074,2
2024-09-12,0.9975,0.0015,0.001,1
2024-10-09,0.8866,0.1101,0.0034,1
2024-10-16,0.6529,0.3449,0.0022,1
2024-10-21,0.9469,0.0507,0.0023,1
2024-10-22,0.7576,0.1863,0.056,1
2024-10-28,0.9253,0.0738,0.0009,2
2024-10-30,0.9618,0.037,0.0012,1
2024-11-01,0.9735,0.0209,0.0056,1
2024-11-07,0.83,0.1628,0.0072,1
2024-11-12,0.8032,0.1964,0.0004,1
2024-11-13,0.5074,0.4909,0.0016,1
2024-11-20,0.9427,0.0568,0.0005,1
2024-11-22,0.4679,0.5307,0.0014,1
2024-11-26,0.9949,0.0046,0.0004,1
2024-11-27,0.9015,0.0978,0.0007,2
2024-11-30,0.4115,0.5875,0.001,1
2024-12-01,0.6774,0.3221,0.0005,2
2024-12-03,0.2787,0.7197,0.0016,1
2024-12-11,0.8886,0.1104,0.0009,1
2024-12-13,0.741,0.258,0.0009,1
2024-12-14,0.787,0.2126,0.0004,1
2024-12-20,0.9946,0.005,0.0004,2
2024-12-26,0.8161,0.1673,0.0167,1
2024-12-29,0.9229,0.0746,0.0024,1
2025-01-05,0.9964,0.0033,0.0003,1
2025-01-07,0.9191,0.0799,0.001,1
2025-01-10,0.7644,0.2351,0.0005,1
2025-01-11,0.9897,0.01,0.0003,1
2025-01-12,0.6429,0.349,0.0081,1
2025-01-15,0.9089,0.0907,0.0004,1
2025-01-19,0.6789,0.3202,0.0008,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-01-24,0.9178,0.0817,0.0005,2
2025-01-25,0.9616,0.0376,0.0008,2
2025-01-26,0.8825,0.1143,0.0031,1
2025-01-29,0.7326,0.2667,0.0007,1
2025-02-03,0.6078,0.3902,0.0021,1
2025-02-11,0.9716,0.028,0.0005,1
2025-02-13,0.6827,0.315,0.0023,1
2025-02-15,0.3414,0.6314,0.0271,1
2025-02-19,0.9425,0.0567,0.0008,1
2025-02-24,0.9163,0.0832,0.0005,1
2025-02-26,0.9344,0.0652,0.0003,1
2025-02-27,0.6221,0.3763,0.0016,1
2025-03-03,0.6938,0.3054,0.0008,3
2025-03-07,0.7359,0.2623,0.0018,1
2025-03-09,0.8274,0.1706,0.002,1
2025-03-10,0.7991,0.197,0.0039,2
2025-03-13,0.721,0.2754,0.0036,4
2025-03-14,0.8194,0.1492,0.0314,2
2025-03-15,0.4568,0.5405,0.0027,1
2025-03-19,0.4607,0.4442,0.0951,2
2025-03-21,0.7167,0.2821,0.0012,1
2025-03-22,0.9665,0.0325,0.001,1
2025-03-23,0.537,0.4619,0.001,1
2025-03-24,0.8234,0.1746,0.002,1
2025-03-25,0.5159,0.4828,0.0013,2
2025-03-26,0.991,0.0086,0.0004,1
2025-03-27,0.6177,0.1555,0.2268,2
2025-03-28,0.2391,0.7602,0.0008,1
2025-03-29,0.5261,0.4728,0.0011,1
2025-03-30,0.9276,0.0655,0.0068,2
2025-03-31,0.1522,0.5181,0.3297,1
2025-04-01,0.9611,0.0291,0.0098,2
2025-04-02,0.8768,0.1201,0.0031,1
2025-04-04,0.7671,0.2304,0.0026,1
2025-04-10,0.5281,0.471,0.0009,2
2025-04-12,0.546,0.4534,0.0006,1
2025-04-14,0.8995,0.0886,0.0118,2
2025-04-15,0.8553,0.1439,0.0008,1
2025-04-17,0.8824,0.1159,0.0017,2
2025-04-18,0.8537,0.0674,0.0789,1
2025-04-24,0.8535,0.1282,0.0183,5
2025-05-01,0.9945,0.005,0.0004,1
2025-05-02,0.8221,0.169,0.0089,1
2025-05-03,0.9836,0.0156,0.0007,2
2025-05-06,0.9932,0.0065,0.0003,1
2025-05-07,0.7253,0.273,0.0017,2
2025-05-09,0.8337,0.1656,0.0007,2
2025-05-11,0.8117,0.1852,0.003,1
2025-05-13,0.7534,0.245,0.0016,3
2025-05-14,0.7314,0.2679,0.0007,1
2025-05-15,0.8306,0.169,0.0004,2
2025-05-17,0.5305,0.4685,0.001,1
2025-05-19,0.6194,0.3802,0.0004,1
2025-05-21,0.3562,0.6348,0.009,1
2025-05-22,0.8794,0.12,0.0006,1
2025-05-28,0.414,0.3658,0.2202,3
2025-05-31,0.547,0.4464,0.0066,1
2025-06-02,0.4624,0.5369,0.0007,1
2025-06-05,0.9052,0.0911,0.0037,1
2025-06-06,0.8877,0.1117,0.0006,1
2025-06-09,0.3017,0.6699,0.0283,1
2025-06-11,0.1435,0.8545,0.002,1
