Thời gian,positive,neutral,negative,số_bài_báo
2024-01-05,0.1998,0.7864,0.0138,1
2024-02-27,0.5208,0.4775,0.0018,1
2024-02-29,0.2011,0.7978,0.001,1
2024-03-19,0.4639,0.5292,0.0069,1
2024-04-04,0.2842,0.7147,0.0011,1
2024-04-26,0.4971,0.3748,0.1281,1
2024-07-03,0.5974,0.2527,0.1499,1
2024-08-06,0.8582,0.141,0.0008,1
2024-11-09,0.2341,0.4989,0.2671,1
2025-01-16,0.1668,0.5658,0.2674,1
2025-03-06,0.8155,0.182,0.0025,1
2025-04-02,0.236,0.7625,0.0015,1
2025-06-04,0.4421,0.5564,0.0016,1
2025-06-26,0.013,0.6916,0.2954,1
2025-07-23,0.3483,0.6371,0.0147,2
2025-08-06,0.4963,0.5029,0.0009,2
2025-08-18,0.9855,0.0142,0.0003,1
2025-09-09,0.4149,0.5783,0.0067,1
