Thời gian,positive,neutral,negative,số_bài_báo
2025-01-22,0.6205,0.3406,0.0389,1
2025-01-24,0.8642,0.1336,0.0022,1
2025-02-03,0.6078,0.3902,0.0021,1
2025-02-05,0.7462,0.2532,0.0006,1
2025-02-09,0.6361,0.2229,0.141,1
2025-02-18,0.3764,0.6231,0.0005,1
2025-03-05,0.9746,0.021,0.0044,1
2025-03-06,0.1784,0.8061,0.0155,1
2025-03-26,0.9508,0.044,0.0052,1
2025-03-27,0.8843,0.1132,0.0026,2
2025-04-02,0.5742,0.1616,0.2642,1
2025-04-09,0.342,0.632,0.0259,2
2025-04-11,0.6253,0.3057,0.069,2
2025-04-24,0.8802,0.1169,0.0029,1
2025-04-25,0.8653,0.0532,0.0815,3
2025-05-03,0.9767,0.0225,0.0008,1
2025-06-10,0.3864,0.4966,0.117,1
2025-06-20,0.9106,0.0887,0.0006,1
2025-06-21,0.3325,0.6666,0.0009,1
2025-06-24,0.8863,0.1123,0.0013,1
2025-06-26,0.4957,0.5031,0.0012,3
2025-06-27,0.8769,0.1122,0.0109,2
2025-07-03,0.8984,0.099,0.0026,1
2025-07-10,0.4924,0.5064,0.0012,2
2025-07-11,0.5384,0.4603,0.0012,1
2025-07-13,0.241,0.7267,0.0323,1
2025-07-14,0.3961,0.6031,0.0008,2
2025-07-20,0.5172,0.4716,0.0112,1
2025-07-21,0.9835,0.0161,0.0005,1
2025-07-28,0.5251,0.4723,0.0026,1
2025-07-29,0.7718,0.2163,0.0118,2
2025-08-03,0.9977,0.002,0.0003,1
2025-08-05,0.5324,0.4656,0.002,2
2025-08-08,0.8147,0.0821,0.1032,1
2025-08-11,0.719,0.2517,0.0294,1
2025-08-18,0.5978,0.3865,0.0157,1
2025-08-28,0.6736,0.3258,0.0006,1
2025-09-15,0.8398,0.1591,0.0011,1
2025-09-23,0.8251,0.1745,0.0004,1
2025-10-07,0.1128,0.8775,0.0096,1
