Thời gian,positive,neutral,negative,số_bài_báo
2024-10-07,0.8982,0.1006,0.0012,1
2024-10-21,0.8621,0.1368,0.0011,1
2024-10-24,0.7177,0.2816,0.0008,1
2024-10-26,0.9585,0.0403,0.0013,2
2024-10-29,0.9317,0.0678,0.0005,1
2024-11-01,0.9735,0.0209,0.0056,1
2024-11-10,0.982,0.0174,0.0006,1
2024-11-14,0.9867,0.0124,0.0009,1
2024-11-28,0.9564,0.0404,0.0031,1
2024-12-05,0.633,0.3665,0.0005,1
2024-12-25,0.8358,0.1605,0.0038,1
2025-01-20,0.7675,0.1377,0.0949,2
2025-02-03,0.6078,0.3902,0.0021,1
2025-02-18,0.7384,0.2592,0.0024,1
2025-03-04,0.5789,0.4191,0.002,1
2025-03-19,0.9762,0.0233,0.0005,2
2025-03-21,0.7167,0.2821,0.0012,1
2025-03-24,0.9959,0.0038,0.0003,1
2025-04-03,0.9345,0.0644,0.0011,2
2025-04-15,0.9578,0.0418,0.0004,1
2025-04-21,0.9859,0.0135,0.0006,1
2025-04-22,0.8034,0.196,0.0006,1
2025-04-25,0.9923,0.0073,0.0004,1
2025-04-26,0.9169,0.0707,0.0124,2
2025-04-29,0.6185,0.3813,0.0002,1
2025-05-03,0.9767,0.0225,0.0008,1
2025-05-07,0.9456,0.0539,0.0005,1
2025-05-12,0.8134,0.1853,0.0013,2
2025-05-14,0.971,0.0286,0.0005,1
2025-05-16,0.9996,0.0002,0.0002,1
2025-05-19,0.7357,0.2626,0.0017,2
2025-05-23,0.9978,0.0014,0.0008,1
2025-05-27,0.9422,0.0573,0.0006,1
2025-05-30,0.9122,0.0551,0.0327,2
2025-06-03,0.9953,0.0043,0.0005,1
2025-06-11,0.6452,0.3525,0.0023,1
2025-06-12,0.8869,0.1108,0.0022,1
2025-06-19,0.9032,0.0958,0.0011,1
2025-06-26,0.9008,0.0973,0.002,1
2025-06-27,0.7964,0.1892,0.0144,2
2025-06-30,0.868,0.0653,0.0667,1
2025-07-02,0.8405,0.1588,0.0007,1
2025-07-10,0.9983,0.0014,0.0003,1
2025-07-15,0.885,0.1145,0.0006,1
2025-07-22,0.8941,0.1021,0.0038,1
2025-07-29,0.7094,0.2878,0.0027,2
2025-07-30,0.8314,0.1681,0.0006,2
2025-08-01,0.9628,0.0365,0.0007,1
2025-08-02,0.6233,0.3757,0.001,1
2025-08-05,0.9478,0.0514,0.0008,3
2025-08-11,0.9943,0.0052,0.0005,1
2025-08-18,0.5978,0.3865,0.0157,1
2025-08-19,0.9977,0.002,0.0003,1
2025-08-20,0.9014,0.0975,0.001,1
2025-08-22,0.7422,0.2559,0.0019,1
2025-08-26,0.5327,0.4665,0.0008,1
2025-08-27,0.9938,0.0056,0.0006,2
2025-08-28,0.9933,0.006,0.0007,1
2025-08-30,0.7459,0.2535,0.0006,1
2025-09-08,0.9949,0.0047,0.0004,1
2025-09-12,0.9123,0.0869,0.0007,2
2025-09-15,0.3927,0.6065,0.0008,1
2025-10-07,0.1128,0.8775,0.0096,1
