Thời gian,positive,neutral,negative,số_bài_báo
2025-01-16,0.1668,0.5658,0.2674,1
2025-01-20,0.8927,0.1054,0.0019,1
2025-01-21,0.952,0.0476,0.0004,1
2025-01-22,0.6205,0.3406,0.0389,1
2025-03-06,0.497,0.4941,0.009,2
2025-03-22,0.8136,0.1852,0.0013,1
2025-03-30,0.1214,0.865,0.0136,1
2025-04-03,0.1415,0.8566,0.0018,1
2025-04-17,0.6622,0.3363,0.0015,1
2025-04-18,0.3706,0.5973,0.0321,1
2025-04-21,0.7772,0.1581,0.0646,1
2025-05-16,0.7331,0.2569,0.0101,1
2025-05-20,0.0238,0.9586,0.0176,1
2025-07-02,0.8405,0.1588,0.0007,1
2025-07-19,0.8543,0.1429,0.0027,1
2025-07-20,0.463,0.5308,0.0062,1
2025-07-21,0.8649,0.1332,0.0019,1
2025-07-23,0.6337,0.3643,0.002,1
2025-08-06,0.4963,0.5029,0.0009,2
2025-08-18,0.9855,0.0142,0.0003,1
2025-08-26,0.6409,0.3581,0.001,1
2025-09-08,0.4956,0.5036,0.0008,1
2025-09-10,0.5829,0.4137,0.0035,1
2025-09-12,0.0958,0.9021,0.0022,1
2025-09-26,0.6165,0.3809,0.0026,1
