Thời gian,positive,neutral,negative,số_bài_báo
2024-01-19,0.4604,0.4739,0.0658,1
2024-03-12,0.5998,0.3934,0.0068,1
2024-04-02,0.3481,0.5435,0.1085,1
2024-04-22,0.9772,0.0215,0.0014,1
2024-05-04,0.5938,0.3433,0.0629,1
2024-07-04,0.2112,0.7883,0.0005,1
2024-07-26,0.7725,0.2161,0.0114,1
2024-08-06,0.8582,0.141,0.0008,1
2025-01-16,0.1668,0.5658,0.2674,1
2025-03-08,0.6969,0.302,0.0011,1
2025-03-09,0.607,0.3906,0.0024,1
2025-03-19,0.3677,0.445,0.1873,1
2025-04-01,0.3372,0.662,0.0009,1
2025-06-19,0.0572,0.4216,0.5212,1
2025-06-27,0.8613,0.1218,0.0169,1
2025-07-04,0.4287,0.5595,0.0118,1
2025-07-14,0.4454,0.5532,0.0013,1
2025-07-21,0.6054,0.3879,0.0067,1
2025-07-22,0.7011,0.2959,0.0031,1
2025-07-23,0.6337,0.3643,0.002,1
2025-08-06,0.4963,0.5029,0.0009,2
2025-08-18,0.9855,0.0142,0.0003,1
