Thời gian,positive,neutral,negative,số_bài_báo
2024-01-05,0.1998,0.7864,0.0138,1
2024-01-21,0.0787,0.7826,0.1387,1
2024-01-22,0.4153,0.4013,0.1833,1
2024-01-23,0.3627,0.3238,0.3135,1
2024-03-25,0.1917,0.6552,0.153,4
2024-03-26,0.5246,0.4473,0.028,5
2024-03-27,0.2866,0.6632,0.0502,1
2024-03-28,0.475,0.5234,0.0016,2
2024-03-29,0.425,0.3976,0.1774,2
2024-04-01,0.3905,0.6036,0.0059,2
2024-04-20,0.1266,0.5526,0.3208,1
2024-05-16,0.3798,0.543,0.0772,1
2024-05-21,0.0263,0.9721,0.0016,1
2024-06-03,0.2262,0.7729,0.0009,1
2024-07-19,0.1573,0.2844,0.5583,1
2024-07-22,0.4147,0.4208,0.1645,1
2024-08-06,0.8582,0.141,0.0008,1
2024-08-29,0.0634,0.9303,0.0063,1
2024-12-27,0.0204,0.9791,0.0005,1
2025-01-12,0.4711,0.5015,0.0274,1
2025-01-16,0.2105,0.6976,0.0919,3
2025-01-21,0.2976,0.6679,0.0346,1
2025-01-23,0.0962,0.828,0.0758,1
2025-01-24,0.1495,0.7775,0.073,1
2025-02-04,0.8911,0.1066,0.0022,1
2025-03-06,0.1784,0.8061,0.0155,1
2025-03-19,0.3677,0.445,0.1873,1
2025-05-09,0.4295,0.5698,0.0008,1
2025-05-28,0.5874,0.4099,0.0027,1
2025-05-29,0.3387,0.618,0.0433,1
2025-06-14,0.3425,0.6547,0.0028,1
2025-06-16,0.4557,0.503,0.0413,1
2025-07-20,0.463,0.5308,0.0062,1
2025-07-22,0.7011,0.2959,0.0031,1
2025-07-23,0.6337,0.3643,0.002,1
2025-08-06,0.4963,0.5029,0.0009,2
2025-08-13,0.1785,0.8203,0.0012,1
2025-08-18,0.9855,0.0142,0.0003,1
