Thời gian,positive,neutral,negative,số_bài_báo
2024-01-05,0.3227,0.4579,0.2195,1
2024-01-09,0.1156,0.5795,0.3049,1
2024-01-10,0.0089,0.9867,0.0044,1
2024-01-18,0.0119,0.9466,0.0414,2
2024-01-31,0.0261,0.9732,0.0006,1
2024-02-20,0.0262,0.9165,0.0573,2
2024-02-23,0.4987,0.4971,0.0042,1
2024-02-28,0.7605,0.2222,0.0174,1
2024-02-29,0.0803,0.7543,0.1654,1
2024-03-15,0.0071,0.9907,0.0022,1
2024-03-19,0.6614,0.3363,0.0023,2
2024-03-26,0.0005,0.9851,0.0144,1
2024-04-01,0.0019,0.2217,0.7764,1
2024-04-03,0.0029,0.9871,0.0099,1
2024-04-04,0.0029,0.9139,0.0832,1
2024-04-05,0.1326,0.8621,0.0053,1
2024-04-15,0.6893,0.3099,0.0008,1
2024-04-17,0.2095,0.7022,0.0883,5
2024-04-25,0.9923,0.0062,0.0014,1
2024-04-26,0.5149,0.0064,0.4788,1
2024-05-02,0.0577,0.498,0.4443,2
2024-05-10,0.0011,0.9955,0.0033,1
2024-05-17,0.1475,0.5088,0.3437,3
2024-05-20,0.0021,0.9973,0.0005,1
2024-05-21,0.0047,0.96,0.0353,1
2024-05-24,0.0328,0.9598,0.0074,1
2024-06-04,0.0026,0.0089,0.9885,1
2024-06-21,0.0023,0.9962,0.0015,2
2024-06-26,0.0009,0.9938,0.0053,1
2024-07-02,0.0429,0.9537,0.0034,1
2024-07-18,0.1172,0.2984,0.5844,1
2024-07-26,0.0083,0.9847,0.007,1
2024-07-30,0.0028,0.9902,0.007,1
2024-08-06,0.3565,0.5703,0.0731,3
2024-08-15,0.115,0.0007,0.8843,2
2024-08-26,0.0254,0.7062,0.2684,2
2024-08-29,0.0218,0.6286,0.3496,1
2024-09-04,0.0034,0.9931,0.0035,1
2024-09-06,0.0283,0.6041,0.3676,4
2024-09-13,0.0073,0.9338,0.0589,1
2024-10-02,0.0926,0.8982,0.0092,3
2024-10-13,0.6435,0.0375,0.319,1
2024-10-15,0.0006,0.9616,0.0378,1
2024-10-18,0.0129,0.051,0.936,1
2024-10-21,0.0004,0.9989,0.0007,1
2024-10-22,0.0915,0.636,0.2725,4
2024-10-23,0.0483,0.6677,0.284,3
2024-10-25,0.0023,0.9973,0.0004,1
2024-10-29,0.0022,0.4238,0.574,1
2024-10-30,0.0197,0.7291,0.2511,6
2024-10-31,0.0454,0.8438,0.1108,2
2024-11-04,0.0008,0.9986,0.0006,1
2024-11-05,0.4823,0.5124,0.0053,2
2024-11-07,0.1678,0.4171,0.4151,14
2024-11-18,0.0773,0.8668,0.0559,3
2024-11-19,0.0025,0.0118,0.9858,1
2024-11-22,0.0188,0.7237,0.2576,7
2024-12-25,0.539,0.4593,0.0017,2
2024-12-27,0.0019,0.9977,0.0004,1
2024-12-30,0.0289,0.9678,0.0033,1
2024-12-31,0.0023,0.9975,0.0002,1
2025-01-02,0.0115,0.9422,0.0463,1
2025-01-08,0.0042,0.0173,0.9785,1
2025-01-16,0.1668,0.5658,0.2674,1
2025-01-17,0.0177,0.0714,0.9109,1
2025-01-20,0.8927,0.1054,0.0019,1
2025-01-21,0.952,0.0476,0.0004,1
2025-01-22,0.6205,0.3406,0.0389,1
2025-01-24,0.0198,0.979,0.0012,1
2025-02-12,0.0036,0.9945,0.002,1
2025-02-14,0.4085,0.5697,0.0218,1
2025-02-19,0.1222,0.8708,0.007,1
2025-02-24,0.0023,0.0531,0.9446,1
2025-02-28,0.013,0.9851,0.0019,1
2025-03-06,0.497,0.4941,0.009,2
2025-03-21,0.0862,0.7861,0.1277,3
2025-03-22,0.8136,0.1852,0.0013,1
2025-03-28,0.0693,0.7487,0.182,3
2025-03-30,0.1214,0.865,0.0136,1
2025-04-01,0.0146,0.0638,0.9216,1
2025-04-03,0.1415,0.8566,0.0018,1
2025-04-04,0.4616,0.5362,0.0022,1
2025-04-09,0.9722,0.027,0.0008,1
2025-04-17,0.6622,0.3363,0.0015,1
2025-04-18,0.1917,0.7917,0.0166,2
2025-04-21,0.298,0.6675,0.0345,3
2025-04-22,0.4442,0.4785,0.0773,1
2025-05-08,0.0247,0.3081,0.6673,1
2025-05-16,0.7331,0.2569,0.0101,1
2025-05-19,0.0471,0.0921,0.8609,1
2025-05-20,0.0118,0.9815,0.0067,3
2025-05-23,0.0095,0.8617,0.1288,2
2025-06-03,0.0028,0.953,0.0442,1
2025-06-04,0.045,0.9488,0.0061,1
2025-06-06,0.2208,0.7731,0.006,3
2025-06-09,0.0031,0.0795,0.9174,1
2025-06-17,0.0009,0.9962,0.0029,1
2025-06-23,0.0074,0.866,0.1266,1
2025-06-25,0.002,0.9948,0.0032,1
2025-06-27,0.0055,0.9933,0.0013,1
2025-07-02,0.8405,0.1588,0.0007,1
2025-07-03,0.0514,0.2666,0.682,1
2025-07-08,0.0017,0.998,0.0003,1
2025-07-10,0.0047,0.96,0.0353,1
2025-07-17,0.0476,0.95,0.0024,1
2025-07-19,0.8543,0.1429,0.0027,1
2025-07-20,0.463,0.5308,0.0062,1
2025-07-21,0.2973,0.6618,0.0409,3
2025-07-23,0.3218,0.6758,0.0023,2
2025-07-25,0.0019,0.9948,0.0032,1
2025-07-30,0.0224,0.9677,0.0099,1
2025-07-31,0.0021,0.9946,0.0033,1
2025-08-05,0.0377,0.9218,0.0405,1
2025-08-06,0.4963,0.5029,0.0009,2
2025-08-12,0.0012,0.9934,0.0054,1
2025-08-13,0.0043,0.989,0.0067,1
2025-08-15,0.0756,0.8343,0.0902,1
2025-08-18,0.9855,0.0142,0.0003,1
2025-08-20,0.0011,0.9769,0.022,1
2025-08-25,0.003,0.6575,0.3395,3
2025-08-26,0.3213,0.6778,0.0009,2
2025-08-28,0.0623,0.7373,0.2004,2
2025-09-03,0.0024,0.9914,0.0062,3
2025-09-04,0.0088,0.9711,0.02,1
2025-09-05,0.0365,0.9609,0.0026,1
2025-09-08,0.4956,0.5036,0.0008,1
2025-09-10,0.5829,0.4137,0.0035,1
2025-09-12,0.0506,0.9481,0.0013,2
2025-09-16,0.0055,0.9942,0.0003,1
2025-09-17,0.0041,0.227,0.769,1
2025-09-19,0.0022,0.9975,0.0002,1
2025-09-22,0.0011,0.9769,0.022,1
2025-09-26,0.6165,0.3809,0.0026,1
