Thời gian,positive,neutral,negative,số_bài_báo
2024-09-26,0.0006,0.9983,0.0011,2
2024-09-27,0.0023,0.9916,0.0061,2
2024-10-01,0.0005,0.9973,0.0022,1
2024-10-07,0.4492,0.5469,0.0039,2
2024-10-08,0.0078,0.9876,0.0046,3
2024-10-09,0.0554,0.929,0.0156,3
2024-10-21,0.432,0.5643,0.0037,2
2024-10-22,0.0023,0.9954,0.0023,5
2024-10-24,0.7177,0.2816,0.0008,1
2024-10-26,0.9585,0.0403,0.0013,2
2024-10-29,0.4664,0.5332,0.0005,2
2024-11-01,0.9735,0.0209,0.0056,1
2024-11-08,0.0076,0.9891,0.0033,1
2024-11-10,0.982,0.0174,0.0006,1
2024-11-13,0.0019,0.9967,0.0014,2
2024-11-14,0.1293,0.8506,0.0201,9
2024-11-15,0.0255,0.9655,0.0091,2
2024-11-25,0.0035,0.9812,0.0153,1
2024-11-28,0.1196,0.8549,0.0255,11
2024-12-02,0.0033,0.8011,0.1956,1
2024-12-03,0.0199,0.979,0.0011,3
2024-12-04,0.0004,0.9637,0.0359,1
2024-12-05,0.633,0.3665,0.0005,1
2024-12-06,0.0005,0.9982,0.0013,1
2024-12-10,0.0019,0.8204,0.1777,2
2024-12-18,0.0249,0.9632,0.012,1
2024-12-23,0.0014,0.9475,0.0512,3
2024-12-24,0.0155,0.9744,0.0101,1
2024-12-25,0.8358,0.1605,0.0038,1
2025-01-07,0.0008,0.9987,0.0005,1
2025-01-10,0.0008,0.9567,0.0424,3
2025-01-16,0.0006,0.9844,0.015,1
2025-01-20,0.7675,0.1377,0.0949,2
2025-01-21,0.0031,0.9911,0.0058,2
2025-01-24,0.0323,0.9304,0.0373,4
2025-02-03,0.3077,0.691,0.0014,2
2025-02-04,0.0039,0.995,0.0012,1
2025-02-13,0.0886,0.9105,0.001,2
2025-02-14,0.0018,0.7256,0.2725,1
2025-02-17,0.0007,0.9989,0.0004,1
2025-02-18,0.7384,0.2592,0.0024,1
2025-02-20,0.0018,0.9936,0.0045,2
2025-02-24,0.0153,0.9828,0.0019,1
2025-02-25,0.0486,0.9509,0.0005,1
2025-02-26,0.0008,0.9986,0.0006,1
2025-02-28,0.0914,0.892,0.0166,1
2025-03-04,0.5789,0.4191,0.002,1
2025-03-05,0.0027,0.9906,0.0067,1
2025-03-06,0.0018,0.9949,0.0033,1
2025-03-10,0.0189,0.9683,0.0128,1
2025-03-12,0.0047,0.9806,0.0146,2
2025-03-13,0.0008,0.9973,0.0019,1
2025-03-19,0.9762,0.0233,0.0005,2
2025-03-20,0.0022,0.9292,0.0686,3
2025-03-21,0.1545,0.8441,0.0014,5
2025-03-24,0.4982,0.5013,0.0004,2
2025-03-25,0.0008,0.9964,0.0028,1
