Thời gian,positive,neutral,negative,số_bài_báo
2024-01-03,0.0453,0.7758,0.1789,1
2024-01-14,0.9962,0.0034,0.0004,1
2024-01-31,0.655,0.1923,0.1527,3
2024-02-04,0.4628,0.2749,0.2623,1
2024-02-22,0.9991,0.0005,0.0003,1
2024-03-05,0.0011,0.9977,0.0012,1
2024-03-06,0.8159,0.1665,0.0176,1
2024-03-15,0.9834,0.0135,0.0031,1
2024-04-01,0.041,0.6358,0.3232,1
2024-04-02,0.9958,0.0037,0.0005,1
2024-04-04,0.923,0.0753,0.0016,1
2024-04-17,0.4449,0.5309,0.0242,1
2024-04-26,0.7289,0.2552,0.0159,3
2024-04-28,0.9982,0.0013,0.0005,1
2024-05-02,0.2359,0.4954,0.2687,2
2024-05-06,0.6028,0.0978,0.2994,1
2024-05-11,0.3512,0.6227,0.0261,1
2024-06-11,0.7881,0.1916,0.0204,1
2024-06-28,0.0121,0.9863,0.0016,2
2024-07-23,0.9959,0.0037,0.0004,1
2024-07-25,0.9933,0.0058,0.0009,1
2024-07-30,0.4947,0.2783,0.2271,3
2024-08-02,0.8935,0.0803,0.0262,1
2024-08-08,0.9973,0.0021,0.0006,1
2024-08-09,0.8741,0.0895,0.0363,2
2024-08-30,0.015,0.9839,0.0011,1
2024-09-05,0.0082,0.0271,0.9647,1
2024-09-10,0.6599,0.3346,0.0055,1
2024-09-24,0.997,0.0027,0.0003,1
2024-09-26,0.0153,0.982,0.0028,1
2024-09-27,0.7256,0.2716,0.0028,1
2024-10-07,0.0071,0.988,0.0049,1
2024-10-16,0.0082,0.9842,0.0077,1
2024-10-25,0.0135,0.9829,0.0036,1
2024-10-30,0.993,0.0063,0.0006,1
2024-10-31,0.4281,0.3325,0.2393,1
2024-11-07,0.8266,0.0251,0.1483,1
2024-11-08,0.1221,0.0406,0.8373,1
2024-11-18,0.0153,0.9778,0.0069,1
2024-11-22,0.0496,0.9469,0.0036,1
2024-11-26,0.0226,0.9768,0.0005,1
2024-11-29,0.6821,0.0091,0.3089,2
2024-12-17,0.9937,0.004,0.0023,1
2024-12-19,0.9626,0.0364,0.0011,1
2024-12-20,0.9555,0.0435,0.0009,1
2024-12-25,0.0105,0.9862,0.0033,1
2024-12-31,0.3373,0.6495,0.0131,2
2025-01-01,0.3333,0.6585,0.0082,1
2025-01-07,0.099,0.8997,0.0013,1
2025-01-12,0.9993,0.0003,0.0003,1
2025-01-13,0.4059,0.5811,0.013,1
2025-01-20,0.5573,0.2544,0.1883,1
2025-01-22,0.6205,0.3406,0.0389,1
2025-02-03,0.654,0.2797,0.0663,3
2025-02-04,0.9961,0.0033,0.0006,1
2025-02-15,0.6998,0.2883,0.0119,1
2025-02-19,0.0069,0.9899,0.0032,1
2025-02-20,0.4752,0.5234,0.0014,1
2025-03-04,0.6603,0.3201,0.0196,1
2025-03-07,0.976,0.021,0.003,1
2025-03-19,0.5183,0.4773,0.0044,1
2025-03-24,0.8191,0.1626,0.0183,1
2025-03-27,0.9928,0.0019,0.0053,1
2025-04-03,0.0019,0.9956,0.0025,1
2025-04-10,0.9947,0.0049,0.0004,2
2025-04-14,0.8783,0.1193,0.0024,3
2025-04-15,0.7579,0.2389,0.0032,1
2025-04-17,0.8826,0.1161,0.0013,1
2025-04-18,0.4285,0.4832,0.0882,2
2025-04-22,0.7917,0.177,0.0313,2
2025-04-23,0.4684,0.0422,0.4894,2
2025-04-24,0.9597,0.0359,0.0044,1
2025-04-26,0.0406,0.9523,0.007,3
2025-04-28,0.0809,0.8488,0.0703,1
2025-05-05,0.5188,0.1471,0.3341,2
2025-05-08,0.8964,0.0348,0.0688,1
2025-05-12,0.7714,0.2266,0.0021,2
2025-05-16,0.8451,0.1541,0.0008,2
2025-05-26,0.9985,0.0011,0.0004,1
2025-05-30,0.9986,0.001,0.0004,1
2025-06-02,0.1899,0.8088,0.0013,1
2025-06-04,0.5092,0.0532,0.4377,2
2025-06-06,0.9921,0.0068,0.0011,1
2025-06-11,0.0343,0.9613,0.0043,1
2025-06-16,0.9508,0.0429,0.0064,1
2025-06-19,0.4379,0.4241,0.1379,1
2025-06-20,0.6227,0.3284,0.049,1
2025-06-26,0.0218,0.6695,0.3087,3
2025-06-27,0.8322,0.1501,0.0178,1
2025-07-03,0.9973,0.0023,0.0004,1
2025-07-07,0.2135,0.5617,0.2248,1
2025-07-09,0.998,0.0017,0.0003,1
2025-07-14,0.7022,0.2965,0.0013,1
2025-07-20,0.5172,0.4716,0.0112,1
2025-07-22,0.7528,0.2454,0.0018,1
2025-07-23,0.8017,0.1949,0.0034,1
2025-07-24,0.7087,0.2733,0.018,1
2025-07-25,0.8725,0.1255,0.0021,1
2025-07-28,0.5757,0.3796,0.0447,2
2025-07-31,0.5358,0.2624,0.2018,3
2025-08-05,0.9651,0.0339,0.001,1
2025-08-12,0.9755,0.0236,0.0009,1
2025-08-22,0.9889,0.0104,0.0007,1
2025-08-25,0.2908,0.0141,0.695,2
2025-08-26,0.5377,0.2979,0.1643,1
2025-08-29,0.4249,0.543,0.0321,2
2025-08-30,0.9988,0.0005,0.0007,1
2025-09-03,0.0652,0.8664,0.0684,1
2025-09-09,0.9903,0.0086,0.001,1
2025-09-12,0.9968,0.0025,0.0007,1
2025-09-16,0.0983,0.1152,0.7865,1
2025-09-18,0.054,0.945,0.001,1
2025-09-19,0.9928,0.003,0.0042,1
2025-09-22,0.3511,0.6449,0.004,3
2025-09-23,0.0657,0.9326,0.0018,1
2025-09-24,0.9975,0.002,0.0005,1
2025-09-26,0.1381,0.8589,0.003,1
2025-09-28,0.0809,0.9168,0.0023,1
2025-10-10,0.0077,0.9386,0.0536,1
2025-10-15,0.1097,0.0346,0.8557,1
2025-10-16,0.901,0.017,0.082,1
2025-10-17,0.617,0.3811,0.0019,1
2025-10-20,0.0318,0.1656,0.8026,1
2025-10-21,0.0902,0.8044,0.1054,2
2025-10-24,0.1819,0.8168,0.0013,1
2025-10-25,0.2231,0.1484,0.6286,1
2025-10-26,0.9006,0.0693,0.0301,1
