Thời gian,Tiêu đề,URL,Nội dung
2025-09-16 15:23:00,"Hoá chất Đức Giang (DGC) tăng vốn cho 'quả đấm thép' ở Nghi Sơn lên 2.900 tỷ, 50% sản lượng có đối tác bao tiêu",https://cafef.vn/hoa-chat-duc-giang-dgc-tang-von-cho-qua-dam-thep-o-nghi-son-len-2900-ty-50-san-luong-co-doi-tac-bao-tieu-188250916152314367.chn,"HĐQT CTCP Tập đoàn Hóa chất Đức Giang vừa thông qua nghị quyết điều chỉnh Giấy chứng nhận đăng ký đầu tư cho dự án số 1 tại Tổ hợp Hóa chất Đức Giang Nghi Sơn. Theo đó, tổng vốn đầu tư được nâng từ 2.400 tỷ lên 2.900 tỷ đồng, đồng thời bổ sung các sản phẩm mới cho giai đoạn 2 của nhà máy
CTCP Tập đoàn Hóa chất Đức Giang (DGC)
Dự án số 1 là một phần trong đại dự án tổ hợp hóa chất Đức Giang Nghi Sơn có tổng vốn đầu tư lên tới 12.000 tỷ đồng, được chia làm 3 phân kỳ. Trên quy mô 30ha tại Khu kinh tế Nghi Sơn (Thanh Hóa), dự án này đã được khởi công vào ngày 17/2 vừa qua.
Tổ hợp Hoá chất Nghi Sơn Đức Giang  được xây dựng tại Khu kinh tế Nghi Sơn, tỉnh Thanh Hóa.
Trong một động thái mới nhất vào ngày 15/9/2025, HĐQT Hóa chất Đức Giang đã phê duyệt một loạt thay đổi quan trọng cho dự án. Lý do cho việc mở rộng được Công ty đưa ra là do nhu cầu thị trường đối với các loại hóa chất như Kali Sunfat (K2SO4), H2O2, và đặc biệt là ắc quy bình đang ở mức cao.
Cụ thể, dự án sẽ được mở rộng thêm giai đoạn 2, bổ sung công suất thiết kế 75.500 tấn hóa chất/năm và sản phẩm ắc quy bình. Các sản phẩm mới bao gồm Kali Sunfat (20.000 tấn/năm), H2O2 (15.000 tấn/năm), hóa chất tinh khiết cơ bản (500 tấn/năm) và ắc quy bình (2.000.000 kWh/năm, tương đương 40.000 tấn/năm). Để thực hiện giai đoạn 2, DGC đã điều chỉnh tổng vốn đầu tư cho cả hai giai đoạn lên 2.900 tỷ đồng , tăng 500 tỷ đồng so với kế hoạch ban đầu.
Sản phẩm DGC tại Triễn lãm Thành Tựu 2025. Ảnh DGC
Về mặt thương mại, dự án đã có đầu ra tương đối chắc chắn. Theo cập nhật từ Chứng khoán MB (MBS), Tổng Công ty Hóa chất và Dịch vụ Dầu khí (PVC) đã ký hợp đồng bao tiêu 30% sản lượng giai đoạn 1. Cùng với cam kết từ các khách hàng khác, tổng sản lượng đã có hợp đồng bao tiêu đã lên đến 50% công suất. MBS nhận định đây sẽ là động lực tăng trưởng chủ chốt cho DGC trong năm 2026, dự kiến đóng góp khoảng 1.200 tỷ đồng doanh thu.
Tiến độ dự án cũng được điều chỉnh lại. Giai đoạn 1 dự kiến sẽ hoàn thành và đi vào hoạt động trong quý II/2026. Giai đoạn 2 sẽ bắt đầu thủ tục đầu tư từ quý III/2025 và dự kiến đi vào hoạt động từ quý IV/2027. Riêng dây chuyền sản xuất ắc quy bình sẽ được triển khai theo 3 đợt, kéo dài từ quý III/2026 đến quý I/2033.
Động thái mở rộng đầu tư của DGC diễn ra trong bối cảnh kết quả kinh doanh nửa đầu năm 2025 ghi nhận sự tăng trưởng. Doanh thu 6 tháng đạt hơn 5.700 tỷ đồng, tăng 16,6% và lợi nhuận sau thuế đạt 1.728 tỷ đồng, tăng 9% so với cùng kỳ. Với kết quả này, DGC đã hoàn thành 57,6% kế hoạch lợi nhuận cả năm.
Nhà máy DGC ở Lào Cai. Ảnh DGC
Nền tảng cho các kế hoạch đầu tư này là sức khỏe tài chính vững chắc. Tại ngày 30/6/2025, tổng tài sản của DGC đạt 18.098 tỷ đồng, trong đó lượng tiền và tiền gửi ngân hàng lên tới 12.178 tỷ đồng, chiếm đến 66% tổng tài sản.
Cũng trong ngày 15/9, HĐQT DGC đã thông qua việc giải tỏa 8.537.213 cổ phiếu ESOP phát hành năm 2022. Thời gian giải tỏa bắt đầu từ ngày 23/09/2025, sau khi kết thúc thời gian hạn chế chuyển nhượng 3 năm."
2025-09-15 17:34:00,DGC: Nghị quyết HĐQT về việc thông qua giải tỏa cổ phiếu ESOP 2022,https://cafef.vn/du-lieu/DGC-2296572/dgc-nghi-quyet-hdqt-ve-viec-thong-qua-giai-toa-co-phieu-esop-2022.chn,
2025-09-15 00:00:00,"DGC: Nghị quyết HĐQT thông qua điều chỉnh GCN Đăng ký Đầu tư ""Dự án số 1, Tổ hợp hóa chất Đức Giang Nghi Sơn""",https://cafef.vn/du-lieu/DGC-2297070/dgc-nghi-quyet-hdqt-thong-qua-dieu-chinh-gcn-dang-ky-dau-tu-du-an-so-1-to-hop-hoa-chat-duc-giang-nghi-son.chn,
2025-08-21 00:08:00,"Nỗi buồn giữa uptrend: FPT, DGC cùng mất mốc 100.000 đồng/cp trong một ngày",https://cafef.vn/noi-buon-giua-uptrend-fpt-dgc-cung-mat-moc-100000-dongcp-trong-mot-ngay-188250821000843529.chn,"Bữa tiệc chứng khoán thời gian qua không dành cho tất cả khi các cổ phiếu như FPT, DGC đứng ngoài cuộc vui.
Thị trường chứng khoán Việt Nam đang trải qua khoảng thời gian từng bừng nhất trong nhiều năm trở lại đây. VN-Index đi lên mạnh mẽ bất chấp rung lắc và đang ở đỉnh cao nhất từ trước đến nay trên 1.664 điểm.
Thế nhưng, bữa tiệc không dành cho tất cả. Cổ đông của nhiều doanh nghiệp lại đành ngậm ngùi nhìn tài khoản “bốc hơi” từng ngày, trong đó có cả những tên tuổi đầu ngành như FPT hay Đức Giang (DGC).
Phiên 20/8, FPT tiếp tục mất thêm 2,6% kéo dài chuỗi giảm lên 6 phiên liên tiếp, chính thức thủng mốc 100.000 đồng/cp đồng thời rơi xuống vùng giá thấp nhất kể từ đầu tháng 5. Cùng ngày, DGC cũng “bốc hơi” hơn 3% thị giá, còn 99.000 đồng/cp, thấp nhất kể từ cuối tháng 6.
Từ đầu năm, FPT là cổ phiếu có hiệu suất kém nhất trong nhóm VN30 với mức giảm gần 26%. Vốn hóa thị trường của tập đoàn công nghệ hàng đầu Việt Nam hiện chỉ còn khoảng 166.000 tỷ đồng, không đủ lọt vào top 10 sàn chứng khoán.
Trong khi đó, DGC cũng mất 15% thị giá từ đầu năm 2025 đến nay. Vốn hóa thị trường của nhà sản xuất phốt pho vàng lớn nhất Châu Á chỉ còn chưa đến 38.000 tỷ đồng.
Đáng chú ý, tình trạng trên lại diễn ra trong bối cảnh VN-Index đã tăng hơn 30% từ đầu năm. Điều này càng làm cho cổ đông FPT và DGC thêm buồn. Thực tế, không chỉ có 2 cái tên này mà nhiều cổ phiếu đầu ngành trong các lĩnh vực sản xuất, công nghiệp, viễn thông,… như VGI, BMP, VCS, MCH,… cũng gần như bị lãng quên.
Dòng tiền tập trung chủ yếu trên nhóm tài chính (ngân hàng, chứng khoán và bảo hiểm). Các cổ phiếu nhóm này đua nhau tăng trần, đua nhau vượt đỉnh với thanh khoản bùng nổ. Kém tưng bừng hơn nhưng một số cổ phiếu nhóm thép, bất động sản, dầu khí cũng có những nhịp tăng khá. Chỉ có FPT, DGC là “chật vật”.
Cổ phiếu cùng mang đến nỗi buồn cho nhà đầu tư nhưng tình hình kinh doanh của FPT và DGC lại có những điểm khác biệt nhất định. FPT dù vẫn duy trì tăng trưởng lợi nhuận hàng quý quanh mức 20% nhưng việc doanh thu tăng chậm lại do triển vọng chi tiêu công nghệ toàn cầu yếu đi là một thách thức không nhỏ.
Còn với DGC, lợi nhuận của doanh nghiệp này đã tăng trưởng chậm lại. Tuy nhiên, báo cáo phân tích mới đây của Agriseco lại đánh giá khả quan triển vọng của DGC với xu hướng tích cực của giá phốt pho vàng và Luật VAT sửa đổi.
Nhìn chung, đây đang là giai đoạn thị trường đi lên bằng sức mạnh của dòng tiền nhiều hơn là các yếu tố cơ bản. Các luồng thông tin bất thường như IPO công ty con, tham gia lĩnh vực tài sản số,… lại mang đến những tác động trực diện hơn lên diễn biến giá cổ phiếu.
Ngoài ra, nhóm tài chính đặc biệt là ngân hàng còn có nhiều câu chuyện đáng chờ đợi như việc thí điểm bỏ room tín dụng, giảm tỷ lệ dự trữ bắt buộc,… Vì thế, không bất ngờ khi nhóm này hút tiền rất mạnh. Trong khi đó, mùa báo cáo tài chính quý 2 đã qua và các cổ phiếu cơ bản như FPT và DGC nhìn chung đang rơi vào vùng trũng thông tin.
Tóm lại, thị trường tăng nóng, dòng tiền tìm đến các nhóm cổ phiếu có độ nhạy cao là điều dễ hiểu. Do đó, áp lực đè nặng lên các cổ phiếu ít mang tính thị trường là điều khó tránh khỏi. Dù vậy, trong dài hạn khi những câu chuyện “hot” hạ nhiệt, dòng tiền có thể sẽ cân nhắc đến các yếu tố cơ bản nhiều hơn."
2025-08-19 07:15:00,Những ‘đại gia’ đem tiền mặt đi trả hết nợ vẫn còn hơn chục nghìn tỷ,https://cafef.vn/nhung-dai-gia-dem-tien-mat-di-tra-het-no-van-con-hon-chuc-nghin-ty-188250819071520593.chn,"Đứng đầu danh sách doanh nghiệp đang sở hữu số tiền thừa để trả nợ là Tổng Công ty Khí Việt Nam - PV Gas (GAS). Dù trả hết mọi khoản nợ với các bên, GAS vẫn còn 21.247 tỷ đồng
Theo thông tin trên báo cáo tài chính quý 2/2025 của các doanh nghiệp trên sàn chứng khoán Việt Nam, tại thời điểm 30/06/2025, có 10 doanh nghiệp nắm giữ lượng tiền, tương đương tiền và tiền gửi ngắn hạn trên 1 tỷ USD.
Top 5 doanh nghiệp đứng đầu bao gồm Tập đoàn Bảo Việt (BVH), Tập đoàn Vingroup (VIC), Công ty Cổ phần Vinhomes (VHM), Lọc hóa Dầu Bình Sơn (BSR) và Tổng công ty Cổ phần Đầu tư Quốc tế Viettel (VGI). Trong đó, VGI sở hữu hơn 41.000 tỷ tiền, chiếm tới hơn 60% tổng tài sản.
Trong giai đoạn các kênh huy động vốn đang gặp khó khăn, những doanh nghiệp nắm nhiều tiền mặt được đánh giá là doanh nghiệp có lợi thế hơn cả. Tuy nhiên, doanh nghiệp có “sức mạnh” thực sự nên được đo lường bằng con số chênh lệch giữa tiền và nợ phải trả (tiền ròng), thể hiện cho việc doanh nghiệp có đủ tiền để trả cho tất cả các khoản nợ hiện hữu của mình hay không.
Theo đó, đứng đầu danh sách doanh nghiệp đang sở hữu số tiền thừa để trả nợ là Tổng Công ty Khí Việt Nam - PV Gas (GAS). Dù trả hết mọi khoản nợ với các bên, GAS vẫn còn 21.247 tỷ đồng
Các ông lớn nhiều tiền xếp sau đó Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - VEAM (VEA), Lọc hóa dầu Bình Sơn (BSR), Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel - Viettel Global (VGI) và Sabeco (SAB). Trả hết nợ, các doanh nghiệp này vẫn còn hơn 10.000 tỷ đồng tiền.
Trong top các doanh nghiệp nhiều tiền có sự xuất hiện của 4 cái tên không có cổ phần của nhà nước là Sabeco, Hóa chất Đức Giang, Vinamilk và QNS.
Nếu đem chia số tiền ròng của các doanh nghiệp cho các cổ đông, mỗi cổ phần của DGC được hưởng tới 24.452 đồng trên mỗi cổ phần, cao nhất trong 10 doanh nghiệp trên. Sau đó là Đạm Phú Mỹ với 13.448 đồng/cp và VEAM với 11.587 đồng/cp."
2025-08-15 00:00:00,DGC: Giải trình chênh lệch LNST 6 tháng đầu năm 2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/DGC-2271893/dgc-giai-trinh-chenh-lech-lnst-6-thang-dau-nam-2025-so-voi-cung-ky-nam-truoc.chn,
2025-08-14 00:00:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,https://cafef.vn/du-lieu/DGC-2271362/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai-co-lien-quan-la-co-dong-lon.chn,
2025-08-06 16:07:00,Hóa chất Đức Giang đặt mục tiêu lãi 880 tỷ đồng trong quý III/2025,https://cafef.vn/hoa-chat-duc-giang-dat-muc-tieu-lai-880-ty-dong-trong-quy-iii2025-188250806155615065.chn,"Hóa chất Đức Giang đặt kế hoạch tổng doanh thu quý III/2025 dự kiến 2.907 tỷ đồng; lợi nhuận sau thuế dự kiến 880 tỷ đồng, tăng 19,2% so với cùng kỳ năm ngoái.
CTCP Tập đoàn Hóa chất Đức Giang (mã DGC, sàn HoSE) công bố nghị quyết thông qua kế hoạch sản xuất kinh doanh trong quý III/2025.
Theo đó, Hóa chất Đức Giang đặt kế hoạch tổng doanh thu quý III/2025 dự kiến 2.907 tỷ đồng; lợi nhuận sau thuế dự kiến 880 tỷ đồng, tăng 19,2% so với cùng kỳ năm ngoái.
Về kế hoạch đầu tư, Hóa chất Đức Giang lên kế hoạch đầu tư gồm đầu tư 600 tỷ đồng vào dự án Nghi Sơn, 35 tỷ đồng vào dự án nhà máy Cồn Đắk Nông, 20 tỷ đồng nâng cấp và mở rộng khai thác mỏ, và 15 tỷ đồng vào Đức Giang Lào Cai.
Theo báo cáo tài chính hợp nhất quý II/2025, Hóa chất Đức Giang mang về doanh thu thuần 2.894 tỷ đồng, tăng 15,6% so với cùng kỳ. Tuy nhiên, giá vốn tăng mạnh tới 26%, dẫn đến lãi gộp chỉ còn 981 tỷ đồng, gần như đi ngang so với cùng kỳ.
Doanh thu tài chính tiếp tục neo cao ở ngưỡng 186 tỷ đồng, tăng 12%. Chi phí tài chính tăng mạnh lên 45 tỷ đồng, gấp 2,8 lần cùng kỳ. Tuy nhiên, các chi phí bán hàng và quản lý doanh nghiệp lại giảm mạnh.
Do đó, DGC báo lãi sau thuế 891 tỷ đồng, tăng nhẹ 2,3% so với cùng kỳ năm trước.
Luỹ kế trong nửa đầu năm 2025, Hoá chất Đức Giang ghi nhận doanh thu đạt 5.705 tỷ đồng, tăng 16,7% so với cùng kỳ; lợi nhuận sau thuế đạt 1.728 tỷ đồng, tăng 9% so với cùng kỳ năm trước.
Năm 2025, Hoá chất Đức Giang đặt mục tiêu tổng doanh thu hợp nhất 10.385 tỷ đồng, tăng 5% so với thực hiện 2024 song lợi nhuận sau thuế dự kiến giảm 3,4% còn 3.000 tỷ đồng.
Như vậy, kết thúc nửa đầu năm 2025 với lãi sau thuế đạt 1.727,57 tỷ đồng, Công ty đã hoàn thành 57,6% so với kế hoạch năm 2025.
Tính đến ngày 30/6/2025, tổng tài sản của Hóa chất Đức Giang tăng 14,4% so với đầu năm, lên mức gần 18.098,4 tỷ đồng.
Trong đó, doanh nghiệp đang có gần 12.030,6 tỷ đồng là tiền gửi ngân hàng có kỳ hạn, tăng 13,8%. Hàng tồn kho ghi nhận hơn 1.285,4 tỷ đồng, tăng 30,5%.
Bên kia bảng cân đối kế toán, tổng nợ phải trả của Hóa chất Đức Giang đang ở mức gần 2.892,4 tỷ đồng, tăng 36,4% so với đầu năm. Trong đó, vay và nợ thuê tài chính ngắn hạn gần 1.577,1 tỷ đồng."
2025-08-05 00:00:00,"DGC: Nghị quyết HĐQT thông qua kết quả SXKD quý 2/2025, kế hoạch SXKD quý 3/2025",https://cafef.vn/du-lieu/DGC-2268374/dgc-nghi-quyet-hdqt-thong-qua-ket-qua-sxkd-quy-22025-ke-hoach-sxkd-quy-32025.chn,
2025-07-30 00:00:00,DGC: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/DGC-2282630/dgc-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,
