Thời gian,Tiêu đề,URL,Nội dung,title
16/09/2025 00:00,VNM: Công ty TNHH MTV Đầu tư SCIC (SIC) đăng ký bán 1.450.000 cp,https://cafef.vn/du-lieu/VNM-2297896/vnm-cong-ty-tnhh-mtv-dau-tu-scic-sic-dang-ky-ban-1450000-cp.chn,,"VNM: SCIC Investment Company Limited (sic) registered to sell 1,450,000 shares"
04/09/2025 00:00,VNM: Platinum Victory Pte Ltd chưa mua cp,https://cafef.vn/du-lieu/VNM-2290688/vnm-platinum-victory-pte-ltd-chua-mua-cp.chn,,
04/09/2025 00:00,VNM: Platinum Victory Pte Ltd đăng ký mua 20.899.554 cp,https://cafef.vn/du-lieu/VNM-2290690/vnm-platinum-victory-pte-ltd-dang-ky-mua-20899554-cp.chn,,
04/09/2025 00:00,VNM: Công ty TNHH một thành viên Đầu tư SCIC (SIC) chưa bán cp,https://cafef.vn/du-lieu/VNM-2290806/vnm-cong-ty-tnhh-mot-thanh-vien-dau-tu-scic-sic-chua-ban-cp.chn,,
03/09/2025 00:00,VNM: F&N Dairy Investments Pte.Ltd - CĐL chưa mua cp,https://cafef.vn/du-lieu/VNM-2290574/vnm-fn-dairy-investments-pteltd-cdl-chua-mua-cp.chn,,
03/09/2025 00:00,VNM: F&N Dairy Investments Pte.Ltd - CĐL đăng ký mua 20.899.554 cp,https://cafef.vn/du-lieu/VNM-2290579/vnm-fn-dairy-investments-pteltd-cdl-dang-ky-mua-20899554-cp.chn,,
30/08/2025 00:10,"Tập đoàn chi hàng tỷ USD vào Thaco, Vinamilk, REE báo lãi ròng nửa đầu năm 2025 giảm 23%: Thị trường Việt Nam tỏa sáng, lãi từ REE tăng gần 50%",https://cafef.vn/tap-doan-chi-hang-ty-usd-vao-thaco-vinamilk-ree-bao-lai-rong-nua-dau-nam-2025-giam-23-thi-truong-viet-nam-toa-sang-lai-tu-ree-tang-gan-50-188250829224928494.chn,"Thị trường Việt Nam đóng góp 36 triệu USD (hơn 900 tỷ đồng) vào lợi nhuận cơ bản của Tập đoàn, tăng 17% so với cùng kỳ. Tất cả các khoản đầu tư tại Việt Nam đều mang về lợi nhuận tích cực cho JC&C.",
19/08/2025 07:15,Những ‘đại gia’ đem tiền mặt đi trả hết nợ vẫn còn hơn chục nghìn tỷ,https://cafef.vn/nhung-dai-gia-dem-tien-mat-di-tra-het-no-van-con-hon-chuc-nghin-ty-188250819071520593.chn,"Đứng đầu danh sách doanh nghiệp đang sở hữu số tiền thừa để trả nợ là Tổng Công ty Khí Việt Nam - PV Gas (GAS). Dù trả hết mọi khoản nợ với các bên, GAS vẫn còn 21.247 tỷ đồng",
18/08/2025 08:08,"Công bố 100 doanh nghiệp tư nhân nộp ngân sách lớn nhất Việt Nam: Tổng nộp 244.400 tỷ đồng, 48 đơn vị nộp trên nghìn tỷ",https://cafef.vn/cong-bo-100-doanh-nghiep-tu-nhan-nop-ngan-sach-lon-nhat-viet-nam-tong-nop-244400-ty-dong-48-don-vi-nop-tren-nghin-ty-188250817184036191.chn,"Sau lần đầu tiên công bố đầu tiên vào tháng 8/2024 đã nhận được sự quan tâm rộng rãi của đông đảo các doanh nghiệp và doanh nhân, ngày 18/8/2025, CafeF chính thức công bố danh sách PRVIATE 100 năm 2025, vinh danh các doanh nghiệp tư nhân nộp ngân sách lớn nhất Việt Nam.
PRIVATE 100 cùng với VNTAX 200 nằm trong hệ thống vinh danh CafeF Lists, tôn vinh các doanh nghiệp có đóng góp ngân sách lớn nhất cho Việt Nam, ghi nhận vai trò quan trọng của các doanh nghiệp này trong công cuộc phát triển kinh tế và tinh thần phụng sự xã hội.
Trong đó, VNTAX 200 là danh sách quy tụ tất cả các doanh nghiệp có mức nộp ngân sách trong năm tài chính từ 200 tỷ đồng trở lên (bao gồm cả các doanh nghiệp nhà nước, tư nhân, FDI, liên doanh). Còn PRIVATE 100 là danh sách dành riêng cho khối doanh nghiệp tư nhân với mức nộp ngân sách từ 100 tỷ đồng trở lên.
Với tổng cộng hàng trăm nghìn tỷ đồng đóng góp từ các doanh nghiệp hàng đầu, đây là bảng vinh danh nộp ngân sách duy nhất phản ánh toàn diện mức độ đóng góp của doanh nghiệp trên mọi lĩnh vực kinh tế.
Danh sách VNTAX 200 sẽ được công bố sau đây 1 tuần.
Mười cái tên dẫn đầu đều là những tập đoàn tư nhân quen thuộc, với một nửa trong số đó là doanh nghiệp của các tỷ phú đô la trong danh sách gồm Vingroup, THACO, Hòa Phát, Techcombank và Masan Group.
Để đứng trong trong Top10, các doanh nghiệp phải có số nộp ngân sách từ 4.800 tỷ đồng trở lên. Có 4 doanh nghiệp nộp trên 10.000 tỷ đồng gồm Vingroup, THACO, TC Group và Hòa Phát. Đây đều là 4 tập đoàn tư nhân đa ngành.
Trong đó, Vingroup đã công bố 5 lĩnh vực trụ cột là công nghệ - công nghiệp (sản xuất ô tô điện, xe máy điện, robot, AI…), thương mại dịch vụ (bất động sản, du lịch – vui chơi giải trí), thiện nguyện xã hội (y tế, giáo dục, chương trình thúc đẩy giao thông xanh), hạ tầng (đường sắt tốc độ cao, cầu, bến cảng, logistics…), năng lượng xanh (dự án năng lượng mặt trời, năng lượng gió…).
Một điểm thú vị là cả 3 đơn vị đứng đầu đều có những đơn vị chủ chốt trong ngành ô tô Việt Nam: Vingroup có VinFast hiện đang đứng số 1 thị trường về doanh số bán xe ô tô, trong khi THACO và TC Group chủ yếu sản xuất, phân phối các thương hiệu xe nước ngoài.
Tập đoàn công nghệ FPT ở vị trí thứ 5. Bốn vị trí tiếp theo đều là các ngân hàng gồm Techcombank, HDBank, VPBank và ACB; ở vị trí thứ 10 là Masan Group.
Tổng cộng 10 doanh nghiệp dẫn đầu của danh sách Private 100 đã nộp ngân sách tổng cộng gần 148.000 tỷ đồng trong năm 2024, tăng 36% so với tổng nộp gần 109.000 tỷ đồng của năm trước.
Mức tăng trưởng ấn tượng này có sự đóng góp đáng kể của Vingroup với mức nộp tăng 82% từ 30.900 tỷ lên 56.200 tỷ đồng. Hòa Phát, HDBank cũng là những đơn vị có mức tăng trưởng ấn tượng lần lượt là 48% và 101% so với năm trước.
Theo danh sách đã được chốt, 100 doanh nghiệp dẫn đầu của PRIVATE 100 có tổng nộp ngân sách năm 2024 đạt 244.400 tỷ đồng – tăng hơn 70.000 tỷ với danh sách của năm trước. Doanh nghiệp thấp nhất có mức nộp hơn 321 tỷ đồng.
Nửa trên của danh sách, bao gồm 48 doanh nghiệp là những đơn vị có mức nộp đạt trên 1.000 tỷ đồng – tăng đáng kể so với chỉ 30 doanh nghiệp của danh sách năm trước.
Mức độ chênh lệch giữa số nộp của các doanh nghiệp tốp đầu với phía sau là rất lớn: Trong đó 4 doanh nghiệp đứng đầu có tổng mức nộp chiếm 45%; 6 doanh nghiệp còn lại của Top 10 chiếm 16%. 50 doanh nghiệp ở nửa cuối danh sách chỉ chiếm hơn 10% tổng mức nộp của Top 100.
Bất động sản – xây dựng là lĩnh vực đóng góp lớn nhất vào tổng mức nộp của Top100 doanh nghiệp trong danh sách PRIVATE 100 với số nộp khoảng 65.000 tỷ đồng.
Trong đó, Vinhomes (bao gồm số nộp từ dự án Vinhomes Global Gate) - công ty thành viên của Vingroup trong lĩnh vực phát triển bất đồn sản - đã nộp 40.100 tỷ đồng trong năm ngoái. Trong danh sách Top 20 công ty bất động sản tư nhân nộp ngân sách lớn nhất đã được công bố ngày 4/8, có 13 doanh nghiệp đã nộp ngân sách trên 1.000 tỷ đồng, với sự góp mặt của nhiều đơn vị tên tuổi khác như Tập đoàn Nam Long, BIM Group…
Các doanh nghiệp xây dựng thuần túy thường không có mức nộp lớn trừ khi có mức nộp bất thường từ nộp thuế đất hoặc kinh doanh dự án bất động sản. Dù vậy với vị thế là một trong những đơn vị đứng đầu ngành xây dựng, CTCP Xây dựng Coteccons cũng đã nộp ngân sách gần 300 tỷ đồng trong năm tài chính kết thúc ngày 30/6/2024.
Nhóm Ngân hàng tư nhân có tổng cộng 16 đại diện trong Top 100 với tổng nộp đạt gần 46.300 tỷ đồng. Bốn ngân hàng dẫn đầu với mức nộp trên 5.000 tỷ đồng gồm Techcombank, HDBank, VPBank và ACB cũng đồng thời đứng trong Top10 của PRIVATE 100. TPBank cũng ghi dấu với việc 2 năm liên tiếp có mức nộp ngân sách trên 2.000 tỷ đồng.
Ngành thép, dù chỉ với 3 đại diện trong Top 100 gồm Tập đoàn Hòa Phát, Tập đoàn Hoa Sen và Nam Kim nhưng có mức đóng góp khá lớn lên đến 16.200 tỷ đồng. Năm ngoái, mức nộp ngân sách của Tập đoàn Hoa Sen đã tăng gần 60% lên hơn 1.600 tỷ đồng.
Lĩnh vực hàng tiêu dùng – bán lẻ cũng là một trong những nhóm ngành đáng chú ý với số lượng đông đảo gần đóng góp hơn 25.500 tỷ đồng. Trong đó tập đoàn tiêu dùng - bán lẻ Masan đóng góp hơn 4.800 tỷ đồng.
Các doanh nghiệp ngành sữa đóng góp 6.600 tỷ, chủ yếu đến từ Vinamilk với gần 4.600 tỷ và Sữa Quốc tế LOF với gần 800 tỷ đồng.
Cả 2 doanh nghiệp hàng đầu lĩnh vực bán lẻ trang sức là CTCP Vàng bạc Đá quý Phú Nhuận (PNJ) và CTCP Tập đoàn vàng bạc đá quý DOJI cũng tiếp tục là những cái tên đóng góp ngân sách hàng đầu của ngành bán lẻ với mức nộp hàng tỷ đồng mỗi năm. PNJ ghi nhận bốn năm liên tiếp nộp ngân sách trên 1.000 tỷ đồng. Hai đại diện của lĩnh vực phân phối ô tô là Tasco và Vimid cũng góp mặt trong danh sách.
Lĩnh vực chứng khoán cũng ghi nhận số lượng đông đảo với 10 doanh nghiệp trong danh sách PRIVATE 100 với ba doanh nghiệp dẫn đầu có số nộp trên 1.000 tỷ gồm VPS, TCBS và SSI.
Lĩnh vực công nghệ dù số lượng công ty tư nhân lớn khá khiêm tốn nhưng cũng đã có 3 đại diện là FPT, VNG Group và CMC Group. VNG Group đã ghi nhận ba năm liên tiếp nộp ngân sách trên 1.000 tỷ đồng.
Bên cạnh những lĩnh vực lớn trên, danh sách PRIVATE 100 còn có sự hiện diện của các doanh nghiệp đến từ hầu hết các lĩnh vực quan trọng trong nền kinh tế.",
18/08/2025 00:00,VNM: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 30,https://cafef.vn/du-lieu/VNM-2277554/vnm-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-30.chn,,
