Thời gian,positive,neutral,negative,số_bài_báo,sentiment_score,dominant_sentiment
2025-01-16,0.1668,0.5658,0.2674,1,-0.10060000000000002,neutral
2025-01-20,0.8927,0.1054,0.0019,1,0.8908,positive
2025-01-21,0.952,0.0476,0.0004,1,0.9516,positive
2025-01-22,0.6205,0.3406,0.0389,1,0.5816,positive
2025-03-06,0.497,0.4941,0.009,2,0.488,positive
2025-03-22,0.8136,0.1852,0.0013,1,0.8123,positive
2025-03-30,0.1214,0.865,0.0136,1,0.10779999999999999,neutral
2025-04-03,0.1415,0.8566,0.0018,1,0.1397,neutral
2025-04-17,0.6622,0.3363,0.0015,1,0.6607000000000001,positive
2025-04-18,0.3706,0.5973,0.0321,1,0.33849999999999997,neutral
2025-04-21,0.7772,0.1581,0.0646,1,0.7126,positive
2025-05-16,0.7331,0.2569,0.0101,1,0.723,positive
2025-05-20,0.0238,0.9586,0.0176,1,0.006200000000000001,neutral
2025-07-02,0.8405,0.1588,0.0007,1,0.8398,positive
2025-07-19,0.8543,0.1429,0.0027,1,0.8515999999999999,positive
2025-07-20,0.463,0.5308,0.0062,1,0.45680000000000004,neutral
2025-07-21,0.8649,0.1332,0.0019,1,0.863,positive
2025-07-23,0.6337,0.3643,0.002,1,0.6317,positive
2025-08-06,0.4963,0.5029,0.0009,2,0.4954,neutral
2025-08-18,0.9855,0.0142,0.0003,1,0.9852000000000001,positive
2025-08-26,0.6409,0.3581,0.001,1,0.6399,positive
2025-09-08,0.4956,0.5036,0.0008,1,0.49479999999999996,neutral
2025-09-10,0.5829,0.4137,0.0035,1,0.5794,positive
2025-09-12,0.0958,0.9021,0.0022,1,0.0936,neutral
